ISO3,year,CA_GDP,source,nGDP,CA
ABW,1986,-4.600551,Derived using data on current account balance to GDP from WDI and the spliced GDP,812.0444,-37.35852
ABW,1987,-4.62772,Derived using data on current account balance to GDP from WDI and the spliced GDP,976.5489,-45.19195
ABW,1988,-7.425094,Derived using data on current account balance to GDP from WDI and the spliced GDP,1194.491,-88.69209
ABW,1989,-6.714859,Derived using data on current account balance to GDP from WDI and the spliced GDP,1392.525,-93.5061
ABW,1990,-20.67933,Derived using data on current account balance to GDP from WDI and the spliced GDP,1531.882,-316.783
ABW,1991,-24.02306,Derived using data on current account balance to GDP from WDI and the spliced GDP,1746.681,-419.6063
ABW,1992,4.568765,Derived using data on current account balance to GDP from WDI and the spliced GDP,1919.568,87.70055
ABW,1993,3.852501,Derived using data on current account balance to GDP from WDI and the spliced GDP,2168.944,83.55861
ABW,1994,6.506726,Derived using data on current account balance to GDP from WDI and the spliced GDP,2495.054,162.3463
ABW,1995,-.0211506,Derived using data on current account balance to GDP from WDI and the spliced GDP,2477.24,-.5239508
ABW,1996,-5.008097,Derived using data on current account balance to GDP from WDI and the spliced GDP,2588.317,-129.6254
ABW,1997,-12.78264,Derived using data on current account balance to GDP from WDI and the spliced GDP,2873.346,-367.2896
ABW,1998,-1.127138,Derived using data on current account balance to GDP from WDI and the spliced GDP,3123.795,-35.2095
ABW,1999,-25.27789,Derived using data on current account balance to GDP from WDI and the spliced GDP,3231.53,-816.8624
ABW,2000,11.05687,Derived using data on current account balance to GDP from WDI and the spliced GDP,3353.48,370.79
ABW,2001,16.28087,Derived using data on current account balance to GDP from WDI and the spliced GDP,3394.658,552.68
ABW,2002,-17.34345,Derived using data on current account balance to GDP from WDI and the spliced GDP,3511.7,-609.05
ABW,2003,-8.099023,Derived using data on current account balance to GDP from WDI and the spliced GDP,3658.96,-296.34
ABW,2004,12.01369,Derived using data on current account balance to GDP from WDI and the spliced GDP,4036.147,484.89
ABW,2005,4.447573,Derived using data on current account balance to GDP from WDI and the spliced GDP,4224.43,187.8846
ABW,2006,12.57421,Derived using data on current account balance to GDP from WDI and the spliced GDP,4420.91,555.8946
ABW,2007,9.64536,Derived using data on current account balance to GDP from WDI and the spliced GDP,4792.98,462.3002
ABW,2008,.00393,Derived using data on current account balance to GDP from WDI and the spliced GDP,5089.01,.1999998
