ISO3,year,source,CA,USDfx,CA_USD
ABW,1986,Derived using data on CA from Derived using data on current account balance to GDP from WDI and the spliced GDP and the spliced USD exchange rate,-37.35852,1.79,-20.87068
ABW,1987,Derived using data on CA from Derived using data on current account balance to GDP from WDI and the spliced GDP and the spliced USD exchange rate,-45.19195,1.79,-25.2469
ABW,1988,Derived using data on CA from Derived using data on current account balance to GDP from WDI and the spliced GDP and the spliced USD exchange rate,-88.69209,1.79,-49.54865
ABW,1989,Derived using data on CA from Derived using data on current account balance to GDP from WDI and the spliced GDP and the spliced USD exchange rate,-93.5061,1.79,-52.23805
ABW,1990,Derived using data on CA from Derived using data on current account balance to GDP from WDI and the spliced GDP and the spliced USD exchange rate,-316.783,1.79,-176.9738
ABW,1991,Derived using data on CA from Derived using data on current account balance to GDP from WDI and the spliced GDP and the spliced USD exchange rate,-419.6063,1.79,-234.4169
ABW,1992,Derived using data on CA from Derived using data on current account balance to GDP from WDI and the spliced GDP and the spliced USD exchange rate,87.70055,1.79,48.99472
ABW,1993,Derived using data on CA from Derived using data on current account balance to GDP from WDI and the spliced GDP and the spliced USD exchange rate,83.55861,1.79,46.68079
ABW,1994,Derived using data on CA from Derived using data on current account balance to GDP from WDI and the spliced GDP and the spliced USD exchange rate,162.3463,1.79,90.69627
ABW,1995,Derived using data on CA from Derived using data on current account balance to GDP from WDI and the spliced GDP and the spliced USD exchange rate,-.5239508,1.79,-.2927099
ABW,1996,Derived using data on CA from Derived using data on current account balance to GDP from WDI and the spliced GDP and the spliced USD exchange rate,-129.6254,1.79,-72.41645
ABW,1997,Derived using data on CA from Derived using data on current account balance to GDP from WDI and the spliced GDP and the spliced USD exchange rate,-367.2896,1.79,-205.1897
ABW,1998,Derived using data on CA from Derived using data on current account balance to GDP from WDI and the spliced GDP and the spliced USD exchange rate,-35.2095,1.79,-19.67011
ABW,1999,Derived using data on CA from Derived using data on current account balance to GDP from WDI and the spliced GDP and the spliced USD exchange rate,-816.8624,1.79,-456.3477
ABW,2000,Derived using data on CA from Derived using data on current account balance to GDP from WDI and the spliced GDP and the spliced USD exchange rate,370.79,1.79,207.1453
ABW,2001,Derived using data on CA from Derived using data on current account balance to GDP from WDI and the spliced GDP and the spliced USD exchange rate,552.68,1.79,308.7598
ABW,2002,Derived using data on CA from Derived using data on current account balance to GDP from WDI and the spliced GDP and the spliced USD exchange rate,-609.05,1.79,-340.2514
ABW,2003,Derived using data on CA from Derived using data on current account balance to GDP from WDI and the spliced GDP and the spliced USD exchange rate,-296.34,1.79,-165.5531
ABW,2004,Derived using data on CA from Derived using data on current account balance to GDP from WDI and the spliced GDP and the spliced USD exchange rate,484.89,1.79,270.8883
ABW,2005,Derived using data on CA from Derived using data on current account balance to GDP from WDI and the spliced GDP and the spliced USD exchange rate,187.8846,1.79,104.9635
ABW,2006,Derived using data on CA from Derived using data on current account balance to GDP from WDI and the spliced GDP and the spliced USD exchange rate,555.8946,1.79,310.5556
ABW,2007,Derived using data on CA from Derived using data on current account balance to GDP from WDI and the spliced GDP and the spliced USD exchange rate,462.3002,1.79,258.2682
ABW,2008,Derived using data on CA from Derived using data on current account balance to GDP from WDI and the spliced GDP and the spliced USD exchange rate,.1999998,1.79,.1117318
ABW,2009,Derived using data on CA from Derived using data on current account balance to GDP from WDI and the spliced GDP and the spliced USD exchange rate,307.3,1.79,171.676
ABW,2010,Derived using data on CA from Derived using data on current account balance to GDP from WDI and the spliced GDP and the spliced USD exchange rate,-823.6002,1.79,-460.1118
ABW,2011,Derived using data on CA from Derived using data on current account balance to GDP from WDI and the spliced GDP and the spliced USD exchange rate,-466.4002,1.79,-260.5588
ABW,2012,Derived using data on CA from Derived using data on current account balance to GDP from WDI and the spliced GDP and the spliced USD exchange rate,162.5999,1.79,90.83794
ABW,2013,Derived using data on CA from Derived using data on current account balance to GDP from WDI and the spliced GDP and the spliced USD exchange rate,-576.8213,1.79,-322.2466
ABW,2014,Derived using data on CA from Derived using data on current account balance to GDP from WDI and the spliced GDP and the spliced USD exchange rate,-232.7248,1.79,-130.0139
ABW,2015,Derived using data on CA from Derived using data on current account balance to GDP from WDI and the spliced GDP and the spliced USD exchange rate,211.8333,1.79,118.3427
ABW,2016,Derived using data on CA from Derived using data on current account balance to GDP from WDI and the spliced GDP and the spliced USD exchange rate,252.7103,1.79,141.179
ABW,2017,Derived using data on CA from Derived using data on current account balance to GDP from WDI and the spliced GDP and the spliced USD exchange rate,61.98574,1.79,34.62891
ABW,2018,Derived using data on CA from Derived using data on current account balance to GDP from WDI and the spliced GDP and the spliced USD exchange rate,-34.67992,1.79,-19.37426
ABW,2019,Derived using data on CA from Derived using data on current account balance to GDP from WDI and the spliced GDP and the spliced USD exchange rate,154.0167,1.79,86.04284
ABW,2020,Derived using data on CA from Derived using data on current account balance to GDP from WDI and the spliced GDP and the spliced USD exchange rate,-568.8478,1.79,-317.7921
ABW,2021,Derived using data on CA from Derived using data on current account balance to GDP from WDI and the spliced GDP and the spliced USD exchange rate,144.2607,1.79,80.59257
ABW,2022,Derived using data on CA from Derived using data on current account balance to GDP from WDI and the spliced GDP and the spliced USD exchange rate,407.1463,1.79,227.456
ABW,2023,Derived using data on CA from Derived using data on current account balance to GDP from WDI and the spliced GDP and the spliced USD exchange rate,331.2511,1.79,185.0565
ABW,2024,Derived using data on CA from Derived using data on current account balance to GDP from IMF_WEO_forecast and the spliced GDP and the spliced USD exchange rate,452.0916,1.79,252.5651
ABW,2025,Derived using data on CA from Derived using data on current account balance to GDP from IMF_WEO_forecast and the spliced GDP and the spliced USD exchange rate,441.2664,1.789876,246.5346
ABW,2026,Derived using data on CA from Derived using data on current account balance to GDP from IMF_WEO_forecast and the spliced GDP and the spliced USD exchange rate,435.7067,1.790091,243.3991
ABW,2027,Derived using data on CA from Derived using data on current account balance to GDP from IMF_WEO_forecast and the spliced GDP and the spliced USD exchange rate,387.9391,1.78996,216.7306
ABW,2028,Derived using data on CA from Derived using data on current account balance to GDP from IMF_WEO_forecast and the spliced GDP and the spliced USD exchange rate,328.4789,1.790008,183.5069
ABW,2029,Derived using data on CA from Derived using data on current account balance to GDP from IMF_WEO_forecast and the spliced GDP and the spliced USD exchange rate,259.8833,1.789908,145.1937
AFG,1979,Derived using data on CA from Derived using data on current account balance to GDP from WDI_ARC and the spliced GDP and the spliced USD exchange rate,-4.355583,33.84616,-.1286876
AFG,1980,Derived using data on CA from Derived using data on current account balance to GDP from WDI_ARC and the spliced GDP and the spliced USD exchange rate,2.365323,34.36946,.0688205
AFG,1981,Derived using data on CA from Derived using data on current account balance to GDP from WDI_ARC and the spliced GDP and the spliced USD exchange rate,-10.18296,38.56166,-.2640696
AFG,1982,Derived using data on CA from Derived using data on current account balance to GDP from ADB and the spliced GDP and the spliced USD exchange rate,,39.27643,
AFG,1983,Derived using data on CA from Derived using data on current account balance to GDP from ADB and the spliced GDP and the spliced USD exchange rate,,39.27643,
AFG,1984,Derived using data on CA from Derived using data on current account balance to GDP from ADB and the spliced GDP and the spliced USD exchange rate,,39.27643,
AFG,1985,Derived using data on CA from Derived using data on current account balance to GDP from ADB and the spliced GDP and the spliced USD exchange rate,,39.27643,
AFG,1986,Derived using data on CA from Derived using data on current account balance to GDP from ADB and the spliced GDP and the spliced USD exchange rate,,39.27643,
AFG,1987,Derived using data on CA from Derived using data on current account balance to GDP from ADB and the spliced GDP and the spliced USD exchange rate,,39.27643,
