ISO3,countryname,year,HPI,BIS,DallasFED,EUS,JST,OECD_HPI,CS2,CS1,chainlinking_ratio,source,source_change,source_change_count
AUS,Australia,1870,1.305379,,,,.1105002,,,,11.81336,JST,,
AUS,Australia,1871,1.246044,,,,.1054775,,,,11.81336,JST,,
AUS,Australia,1872,1.285601,,,,.108826,,,,11.81336,JST,,
AUS,Australia,1873,1.246044,,,,.1054775,,,,11.81336,JST,,
AUS,Australia,1874,1.503164,,,,.1272427,,,,11.81336,JST,,
AUS,Australia,1875,1.503164,,,,.1272427,,,,11.81336,JST,,
AUS,Australia,1876,1.384493,,,,.1171972,,,,11.81336,JST,,
AUS,Australia,1877,1.384493,,,,.1171972,,,,11.81336,JST,,
AUS,Australia,1878,1.562499,,,,.1322654,,,,11.81336,JST,,
AUS,Australia,1879,1.602056,,,,.1356139,,,,11.81336,JST,,
AUS,Australia,1880,1.522942,,,,.1289169,,,,11.81336,JST,,
AUS,Australia,1881,1.522942,,,,.1289169,,,,11.81336,JST,,
AUS,Australia,1882,1.588211,,,,.1344419,,,,11.81336,JST,,
AUS,Australia,1883,1.65348,,,,.1399669,,,,11.81336,JST,,
AUS,Australia,1884,1.740505,,,,.1473336,,,,11.81336,JST,,
AUS,Australia,1885,1.827531,,,,.1547003,,,,11.81336,JST,,
AUS,Australia,1886,1.936312,,,,.1639087,,,,11.81336,JST,,
AUS,Australia,1887,2.06685,,,,.1749587,,,,11.81336,JST,,
AUS,Australia,1888,2.262657,,,,.1915337,,,,11.81336,JST,,
AUS,Australia,1889,2.501976,,,,.2117921,,,,11.81336,JST,,
AUS,Australia,1890,2.175632,,,,.184167,,,,11.81336,JST,,
AUS,Australia,1891,2.153875,,,,.1823254,,,,11.81336,JST,,
AUS,Australia,1892,1.762262,,,,.1491753,,,,11.81336,JST,,
AUS,Australia,1893,1.435917,,,,.1215502,,,,11.81336,JST,,
AUS,Australia,1894,1.24011,,,,.1049752,,,,11.81336,JST,,
AUS,Australia,1895,1.087816,,,,.0920835,,,,11.81336,JST,,
AUS,Australia,1896,1.24011,,,,.1049752,,,,11.81336,JST,,
AUS,Australia,1897,1.414161,,,,.1197086,,,,11.81336,JST,,
AUS,Australia,1898,1.348892,,,,.1141836,,,,11.81336,JST,,
AUS,Australia,1899,1.305379,,,,.1105002,,,,11.81336,JST,,
AUS,Australia,1900,1.47943,,,,.1252336,,,,11.81336,JST,,
AUS,Australia,1901,1.621293,,,,.1372423,,,,11.81336,JST,,
