ISO3,countryname,year,M4,ADB,HFS,JST,chainlinking_ratio,source,source_change,source_change_count
GBR,United Kingdom,1870,500.611,,,500.611,1,JST,,
GBR,United Kingdom,1871,551.7738,,,551.7738,1,JST,,
GBR,United Kingdom,1872,572.4254,,,572.4254,1,JST,,
GBR,United Kingdom,1873,572.4601,,,572.4601,1,JST,,
GBR,United Kingdom,1874,591.3881,,,591.3881,1,JST,,
GBR,United Kingdom,1875,609.5998,,,609.5998,1,JST,,
GBR,United Kingdom,1876,611.5094,,,611.5094,1,JST,,
GBR,United Kingdom,1877,578.5834,,,578.5834,1,JST,,
GBR,United Kingdom,1878,548.7922,,,548.7922,1,JST,,
GBR,United Kingdom,1879,553.3827,,,553.3827,1,JST,,
GBR,United Kingdom,1880,550.9602,,,550.9602,1,JST,,
GBR,United Kingdom,1881,572.8495,,,572.8495,1,JST,,
GBR,United Kingdom,1882,591.5786,,,591.5786,1,JST,,
GBR,United Kingdom,1883,589.3738,,,589.3738,1,JST,,
GBR,United Kingdom,1884,592.2634,,,592.2634,1,JST,,
GBR,United Kingdom,1885,603.9833,,,603.9833,1,JST,,
GBR,United Kingdom,1886,606.4914,,,606.4914,1,JST,,
GBR,United Kingdom,1887,614.3774,,,614.3774,1,JST,,
GBR,United Kingdom,1888,635.9857,,,635.9857,1,JST,,
GBR,United Kingdom,1889,653.3096,,,653.3096,1,JST,,
GBR,United Kingdom,1890,674.8336,,,674.8336,1,JST,,
GBR,United Kingdom,1891,693.2811,,,693.2811,1,JST,,
GBR,United Kingdom,1892,696.3068,,,696.3068,1,JST,,
GBR,United Kingdom,1893,689.3604,,,689.3604,1,JST,,
GBR,United Kingdom,1894,705.8306,,,705.8306,1,JST,,
GBR,United Kingdom,1895,746.3706,,,746.3706,1,JST,,
GBR,United Kingdom,1896,779.8616,,,779.8616,1,JST,,
GBR,United Kingdom,1897,800.4603,,,800.4603,1,JST,,
GBR,United Kingdom,1898,812.2836,,,812.2836,1,JST,,
GBR,United Kingdom,1899,851.4523,,,851.4523,1,JST,,
GBR,United Kingdom,1900,866.2612,,,866.2612,1,JST,,
GBR,United Kingdom,1901,856.1306,,,856.1306,1,JST,,
GBR,United Kingdom,1902,881.4324,,,881.4324,1,JST,,
GBR,United Kingdom,1903,854.9294,,,854.9294,1,JST,,
GBR,United Kingdom,1904,854.4451,,,854.4451,1,JST,,
GBR,United Kingdom,1905,874.5401,,,874.5401,1,JST,,
GBR,United Kingdom,1906,902.5115,,,902.5115,1,JST,,
GBR,United Kingdom,1907,907.8123,,,907.8123,1,JST,,
GBR,United Kingdom,1908,933.5151,,,933.5151,1,JST,,
GBR,United Kingdom,1909,946.6183,,,946.6183,1,JST,,
GBR,United Kingdom,1910,972.91,,,972.91,1,JST,,
GBR,United Kingdom,1911,985.9061,,,985.9061,1,JST,,
GBR,United Kingdom,1912,1015.618,,,1015.618,1,JST,,
GBR,United Kingdom,1913,1075.182,,,1075.182,1,JST,,
GBR,United Kingdom,1914,1231.224,,,1231.224,1,JST,,
GBR,United Kingdom,1915,1323.874,,,1323.874,1,JST,,
GBR,United Kingdom,1916,1518.579,,,1518.579,1,JST,,
GBR,United Kingdom,1917,1770.063,,,1770.063,1,JST,,
GBR,United Kingdom,1918,2208.345,,,2208.345,1,JST,,
GBR,United Kingdom,1919,2546.16,,,2546.16,1,JST,,
GBR,United Kingdom,1920,2698.859,,,2698.859,1,JST,,
GBR,United Kingdom,1921,2608.208,,,2608.208,1,JST,,
GBR,United Kingdom,1922,2361.965,,,2361.965,1,JST,,
GBR,United Kingdom,1923,2324.28,,,2324.28,1,JST,,
GBR,United Kingdom,1924,2321.417,,,2321.417,1,JST,,
GBR,United Kingdom,1925,2319.972,,,2319.972,1,JST,,
GBR,United Kingdom,1926,2353.463,,,2353.463,1,JST,,
GBR,United Kingdom,1927,2414.281,,,2414.281,1,JST,,
GBR,United Kingdom,1928,2514.265,,,2514.265,1,JST,,
GBR,United Kingdom,1929,2518.809,,,2518.809,1,JST,,
GBR,United Kingdom,1930,2644.888,,,2644.888,1,JST,,
GBR,United Kingdom,1931,2565.912,,,2565.912,1,JST,,
GBR,United Kingdom,1932,2840.272,,,2840.272,1,JST,,
GBR,United Kingdom,1933,2883.206,,,2883.206,1,JST,,
GBR,United Kingdom,1934,2963.538,,,2963.538,1,JST,,
GBR,United Kingdom,1935,3142.832,,,3142.832,1,JST,,
GBR,United Kingdom,1936,3372.944,,,3372.944,1,JST,,
GBR,United Kingdom,1937,3475.407,,,3475.407,1,JST,,
GBR,United Kingdom,1938,3448.029,,,3448.029,1,JST,,
GBR,United Kingdom,1939,3637.879,,,3637.879,1,JST,,
GBR,United Kingdom,1940,3968.003,,,3968.003,1,JST,,
GBR,United Kingdom,1941,4638.71,,,4638.71,1,JST,,
GBR,United Kingdom,1942,5102.079,,,5102.079,1,JST,,
GBR,United Kingdom,1943,5683.408,,,5683.408,1,JST,,
GBR,United Kingdom,1944,6339.02,,,6339.02,1,JST,,
GBR,United Kingdom,1945,6835.164,,,6835.164,1,JST,,
GBR,United Kingdom,1946,7766.001,,,7766.001,1,JST,,
GBR,United Kingdom,1947,8074.578,,,8074.578,1,JST,,
GBR,United Kingdom,1948,8302.279,,,8302.279,1,JST,,
GBR,United Kingdom,1949,8406.703,,,8406.703,1,JST,,
GBR,United Kingdom,1950,8737.108,,,8737.108,1,JST,,
GBR,United Kingdom,1951,8735.878,,,8735.878,1,JST,,
GBR,United Kingdom,1952,8991.778,,,8991.778,1,JST,,
GBR,United Kingdom,1953,9439.282,,,9439.282,1,JST,,
GBR,United Kingdom,1954,9938.944,,,9938.944,1,JST,,
GBR,United Kingdom,1955,9867.379,,,9867.379,1,JST,,
GBR,United Kingdom,1956,10168.14,,,10168.14,1,JST,,
