ISO3,year,cgovdebt_GDP,source,nGDP,cgovdebt
AFG,2002,345.9775,Derived using data on central government debt to GDP from IMF_GDD and the spliced GDP,202531,700711.6
AFG,2003,270.6024,Derived using data on central government debt to GDP from IMF_GDD and the spliced GDP,238878.5,646411
AFG,2004,244.9667,Derived using data on central government debt to GDP from IMF_GDD and the spliced GDP,263344.1,645105.3
AFG,2005,206.356,Derived using data on central government debt to GDP from IMF_GDD and the spliced GDP,320476.5,661322.6
AFG,2006,22.98464,Derived using data on central government debt to GDP from IMF_GDD and the spliced GDP,364100.1,83687.11
AFG,2007,20.13663,Derived using data on central government debt to GDP from IMF_GDD and the spliced GDP,499587,100600
AFG,2008,19.05708,Derived using data on central government debt to GDP from IMF_GDD and the spliced GDP,517377.4,98597
AFG,2009,16.24726,Derived using data on central government debt to GDP from IMF_GDD and the spliced GDP,600457.8,97557.95
AFG,2010,7.709434,Derived using data on central government debt to GDP from IMF_GDD and the spliced GDP,703502.6,54236.06
AFG,2011,7.512624,Derived using data on central government debt to GDP from IMF_GDD and the spliced GDP,837851.3,62944.62
AFG,2012,6.769371,Derived using data on central government debt to GDP from IMF_GDD and the spliced GDP,1007959,68232.47
AFG,2013,6.914434,Derived using data on central government debt to GDP from IMF_GDD and the spliced GDP,1102256,76214.79
AFG,2014,8.700291,Derived using data on central government debt to GDP from IMF_GDD and the spliced GDP,1116353,97125.92
AFG,2015,9.144177,Derived using data on central government debt to GDP from IMF_GDD and the spliced GDP,1143357,104550.6
AFG,2016,7.823194,Derived using data on central government debt to GDP from IMF_GDD and the spliced GDP,1236815,96758.45
AFG,2017,7.452149,Derived using data on central government debt to GDP from IMF_GDD and the spliced GDP,1294845,96493.77
AFG,2018,6.89441,Derived using data on central government debt to GDP from IMF_GDD and the spliced GDP,1359225,93710.52
AGO,1995,181.602,Derived using data on central government debt to GDP from IMF_GDD and the spliced GDP,18.26765,33.17442
AGO,1996,120.9567,Derived using data on central government debt to GDP from IMF_GDD and the spliced GDP,1117.154,1351.272
AGO,1997,96.59251,Derived using data on central government debt to GDP from IMF_GDD and the spliced GDP,2342.345,2262.53
AGO,1998,126.6745,Derived using data on central government debt to GDP from IMF_GDD and the spliced GDP,3385.27,4288.272
AGO,1999,137.8328,Derived using data on central government debt to GDP from IMF_GDD and the spliced GDP,22959.67,31645.96
AGO,2000,133.9141,Derived using data on central government debt to GDP from IMF_GDD and the spliced GDP,122568.5,164136.5
AGO,2001,113.5046,Derived using data on central government debt to GDP from IMF_GDD and the spliced GDP,263560.6,299153.3
AGO,2002,73.73618,Derived using data on central government debt to GDP from IMF_GDD and the spliced GDP,665385,490629.4
AGO,2003,57.96784,Derived using data on central government debt to GDP from IMF_GDD and the spliced GDP,1328940,770357.8
AGO,2004,47.71707,Derived using data on central government debt to GDP from IMF_GDD and the spliced GDP,1967570,938866.7
AGO,2005,33.46404,Derived using data on central government debt to GDP from IMF_GDD and the spliced GDP,3222350,1078329
AGO,2006,18.72879,Derived using data on central government debt to GDP from IMF_GDD and the spliced GDP,4209762,788437.5
AGO,2007,21.0435,Derived using data on central government debt to GDP from IMF_GDD and the spliced GDP,5006335,1053508
AGO,2008,31.37823,Derived using data on central government debt to GDP from IMF_GDD and the spliced GDP,6643353,2084567
AGO,2009,56.30225,Derived using data on central government debt to GDP from IMF_GDD and the spliced GDP,5577341,3140168
AGO,2010,37.16284,Derived using data on central government debt to GDP from IMF_GDD and the spliced GDP,7701652,2862153
AGO,2011,29.55771,Derived using data on central government debt to GDP from IMF_GDD and the spliced GDP,1.05e+07,3103839
AGO,2012,26.69056,Derived using data on central government debt to GDP from IMF_GDD and the spliced GDP,1.22e+07,3262908
AGO,2013,33.14911,Derived using data on central government debt to GDP from IMF_GDD and the spliced GDP,1.32e+07,4374026
AGO,2014,39.80986,Derived using data on central government debt to GDP from IMF_GDD and the spliced GDP,1.43e+07,5702308
AGO,2015,57.09303,Derived using data on central government debt to GDP from IMF_GDD and the spliced GDP,1.40e+07,7964643
AGO,2016,75.66264,Derived using data on central government debt to GDP from IMF_GDD and the spliced GDP,1.65e+07,1.25e+07
AGO,2017,69.26495,Derived using data on central government debt to GDP from IMF_GDD and the spliced GDP,2.03e+07,1.40e+07
AGO,2018,89.00029,Derived using data on central government debt to GDP from IMF_GDD and the spliced GDP,2.56e+07,2.28e+07
ALB,1994,24.62986,Derived using data on central government debt to GDP from IMF_GDD and the spliced GDP,216090.8,53222.87
ALB,1995,29.35959,Derived using data on central government debt to GDP from IMF_GDD and the spliced GDP,269295.2,79063.95
ALB,1996,34.69009,Derived using data on central government debt to GDP from IMF_GDD and the spliced GDP,338000.3,117252.6
ALB,1997,51.40934,Derived using data on central government debt to GDP from IMF_GDD and the spliced GDP,336480.8,172982.6
ALB,1998,57.01023,Derived using data on central government debt to GDP from IMF_GDD and the spliced GDP,393070,224090.1
ALB,1999,57.78953,Derived using data on central government debt to GDP from IMF_GDD and the spliced GDP,453512.3,262082.6
ALB,2000,63.38013,Derived using data on central government debt to GDP from IMF_GDD and the spliced GDP,516206.8,327172.5
ALB,2001,60.61013,Derived using data on central government debt to GDP from IMF_GDD and the spliced GDP,583125.1,353432.9
ALB,2002,64.09956,Derived using data on central government debt to GDP from IMF_GDD and the spliced GDP,633932.6,406348
ALB,2003,60.24022,Derived using data on central government debt to GDP from IMF_GDD and the spliced GDP,700711.6,422110.2
ALB,2004,57.47035,Derived using data on central government debt to GDP from IMF_GDD and the spliced GDP,760444.8,437030.3
ALB,2005,58.19977,Derived using data on central government debt to GDP from IMF_GDD and the spliced GDP,824594.6,479912.2
ALB,2006,56.69032,Derived using data on central government debt to GDP from IMF_GDD and the spliced GDP,897697.7,508907.7
