ISO3,year,cgovdef_GDP,source,nGDP,cgovdef
AFG,2006,-2.06592,Derived using data on central government deficit to GDP from IMF_GFS and the spliced GDP,364100.1,-7522.018
AFG,2007,-1.985991,Derived using data on central government deficit to GDP from IMF_GFS and the spliced GDP,499587,-9921.752
AFG,2008,-2.321748,Derived using data on central government deficit to GDP from IMF_GFS and the spliced GDP,517377.4,-12012.2
AFG,2009,.2853447,Derived using data on central government deficit to GDP from IMF_GFS and the spliced GDP,600457.8,1713.375
AFG,2010,1.533686,Derived using data on central government deficit to GDP from IMF_GFS and the spliced GDP,703502.6,10789.52
AFG,2011,-.6414667,Derived using data on central government deficit to GDP from IMF_GFS and the spliced GDP,837851.3,-5374.537
AFG,2012,-.6377659,Derived using data on central government deficit to GDP from IMF_GFS and the spliced GDP,1007959,-6428.418
AFG,2013,2.327397,Derived using data on central government deficit to GDP from IMF_GFS and the spliced GDP,1102256,25653.88
AFG,2014,-1.984472,Derived using data on central government deficit to GDP from IMF_GFS and the spliced GDP,1116353,-22153.71
AFG,2015,-1.192752,Derived using data on central government deficit to GDP from IMF_GFS and the spliced GDP,1143357,-13637.41
AFG,2016,.6268157,Derived using data on central government deficit to GDP from IMF_GFS and the spliced GDP,1236815,7752.553
AFG,2017,.3318344,Derived using data on central government deficit to GDP from IMF_GFS and the spliced GDP,1294845,4296.741
AGO,1980,-9.858286,Derived using data on central government deficit to GDP from AFDB and the spliced GDP,.000214,-.0000211
AGO,1981,-12.50823,Derived using data on central government deficit to GDP from AFDB and the spliced GDP,.0002,-.000025
AGO,1982,-13.82488,Derived using data on central government deficit to GDP from AFDB and the spliced GDP,.0002,-.0000276
AGO,1983,-7.580544,Derived using data on central government deficit to GDP from AFDB and the spliced GDP,.000209,-.0000158
AGO,1984,-4.171633,Derived using data on central government deficit to GDP from AFDB and the spliced GDP,.000221,-9.22e-06
AGO,1985,-5.790588,Derived using data on central government deficit to GDP from AFDB and the spliced GDP,.000273,-.0000158
AGO,1986,-6.144025,Derived using data on central government deficit to GDP from AFDB and the spliced GDP,.000256,-.0000157
AGO,1987,-8.099542,Derived using data on central government deficit to GDP from AFDB and the spliced GDP,.000295,-.0000239
AGO,1988,-9.949482,Derived using data on central government deficit to GDP from AFDB and the spliced GDP,.000318,-.0000316
AGO,1989,-10.19683,Derived using data on central government deficit to GDP from AFDB and the spliced GDP,.00037,-.0000377
AGO,1990,-23.72002,Derived using data on central government deficit to GDP from AFDB and the spliced GDP,.000409,-.000097
AGO,1991,-25.98513,Derived using data on central government deficit to GDP from AFDB and the spliced GDP,.000892,-.0002318
AGO,1992,-31.98535,Derived using data on central government deficit to GDP from AFDB and the spliced GDP,.004673,-.0014947
AGO,1993,-13.762,Derived using data on central government deficit to GDP from AFDB and the spliced GDP,.035827,-.0049305
AGO,1994,-19.99119,Derived using data on central government deficit to GDP from AFDB and the spliced GDP,.824921,-.1649115
AGO,1995,-37.2536,Derived using data on central government deficit to GDP from AFDB and the spliced GDP,18.26765,-6.805358
AGO,1996,4.828476,Derived using data on central government deficit to GDP from AFDB and the spliced GDP,1117.154,53.9415
AGO,1997,-22.84403,Derived using data on central government deficit to GDP from AFDB and the spliced GDP,2342.345,-535.0861
AGO,1998,-8.800855,Derived using data on central government deficit to GDP from AFDB and the spliced GDP,3385.27,-297.9327
AGO,1999,-31.21113,Derived using data on central government deficit to GDP from AFDB and the spliced GDP,22959.67,-7165.972
AGO,2000,-7.04542,Derived using data on central government deficit to GDP from AFDB and the spliced GDP,122568.5,-8635.464
AGO,2001,-6.145731,Derived using data on central government deficit to GDP from AFDB and the spliced GDP,263560.6,-16197.73
AGO,2002,-7.065549,Derived using data on central government deficit to GDP from AFDB and the spliced GDP,665385,-47013.11
AGO,2003,-6.964581,Derived using data on central government deficit to GDP from AFDB and the spliced GDP,1328940,-92555.11
AGO,2004,1.076239,Derived using data on central government deficit to GDP from AFDB and the spliced GDP,1967570,21175.76
AGO,2005,9.190701,Derived using data on central government deficit to GDP from AFDB and the spliced GDP,3222350,296156.5
AGO,2006,9.422799,Derived using data on central government deficit to GDP from AFDB and the spliced GDP,4209762,396677.4
AGO,2007,4.312819,Derived using data on central government deficit to GDP from AFDB and the spliced GDP,5006335,215914.1
AGO,2008,-5.630357,Derived using data on central government deficit to GDP from AFDB and the spliced GDP,6643353,-374044.5
AGO,2009,-7.890158,Derived using data on central government deficit to GDP from AFDB and the spliced GDP,5577341,-440061
AGO,2010,3.388533,Derived using data on central government deficit to GDP from AFDB and the spliced GDP,7701652,260973
AGO,2011,8.074737,Derived using data on central government deficit to GDP from AFDB and the spliced GDP,1.05e+07,847923.4
AGO,2012,4.144475,Derived using data on central government deficit to GDP from AFDB and the spliced GDP,1.22e+07,506660
AGO,2013,.2326638,Derived using data on central government deficit to GDP from AFDB and the spliced GDP,1.32e+07,30700
AGO,2014,-5.719129,Derived using data on central government deficit to GDP from AFDB and the spliced GDP,1.43e+07,-819200
AGO,2015,-2.952075,Derived using data on central government deficit to GDP from AFDB and the spliced GDP,1.40e+07,-411823.1
AGO,2016,-5.122001,Derived using data on central government deficit to GDP from AFDB and the spliced GDP,1.65e+07,-847668.9
AGO,2017,-5.741602,Derived using data on central government deficit to GDP from AFDB and the spliced GDP,2.03e+07,-1163380
AGO,2018,2.020975,Derived using data on central government deficit to GDP from IMF_GFS and the spliced GDP,2.56e+07,517930.3
AGO,2019,-.1965092,Derived using data on central government deficit to GDP from IMF_GFS and the spliced GDP,3.03e+07,-59602.07
AGO,2020,-3.515548,Derived using data on central government deficit to GDP from IMF_GFS and the spliced GDP,3.17e+07,-1114456
AGO,2021,1.333476,Derived using data on central government deficit to GDP from IMF_GFS and the spliced GDP,4.41e+07,588615
AGO,2022,1.739527,Derived using data on central government deficit to GDP from IMF_GFS and the spliced GDP,5.22e+07,907754.6
AGO,2023,-2.568365,Derived using data on central government deficit to GDP from IMF_GFS and the spliced GDP,6.20e+07,-1593159
ALB,2002,-6.661294,Derived using data on central government deficit to GDP from IMF_GFS and the spliced GDP,633932.6,-42228.12
ALB,2003,-2.661895,Derived using data on central government deficit to GDP from IMF_GFS and the spliced GDP,700711.6,-18652.21
ALB,2004,-2.964368,Derived using data on central government deficit to GDP from IMF_GFS and the spliced GDP,760444.8,-22542.38
ALB,2005,,Derived using data on central government deficit to GDP from IMF_GFS and the spliced GDP,824594.6,
ALB,2006,,Derived using data on central government deficit to GDP from IMF_GFS and the spliced GDP,897697.7,
ALB,2007,,Derived using data on central government deficit to GDP from IMF_GFS and the spliced GDP,1005281,
ALB,2008,,Derived using data on central government deficit to GDP from IMF_GFS and the spliced GDP,1112317,
ALB,2009,,Derived using data on central government deficit to GDP from IMF_GFS and the spliced GDP,1171607,
ALB,2010,,Derived using data on central government deficit to GDP from IMF_GFS and the spliced GDP,1256235,
ALB,2011,-3.967062,Derived using data on central government deficit to GDP from IMF_GFS and the spliced GDP,1308998,-51928.75
ALB,2012,-3.873907,Derived using data on central government deficit to GDP from IMF_GFS and the spliced GDP,1324877,-51324.52
ALB,2013,-5.344538,Derived using data on central government deficit to GDP from IMF_GFS and the spliced GDP,1352247,-72271.34
ALB,2014,-3.627338,Derived using data on central government deficit to GDP from IMF_GFS and the spliced GDP,1402496,-50873.27
ALB,2015,-2.859484,Derived using data on central government deficit to GDP from IMF_GFS and the spliced GDP,1444802,-41313.89
ALB,2016,-2.668534,Derived using data on central government deficit to GDP from IMF_GFS and the spliced GDP,1488303,-39715.87
ALB,2017,-1.595981,Derived using data on central government deficit to GDP from IMF_GFS and the spliced GDP,1579056,-25201.42
ALB,2018,-1.448503,Derived using data on central government deficit to GDP from IMF_GFS and the spliced GDP,1660820,-24057.02
ALB,2019,-1.402307,Derived using data on central government deficit to GDP from IMF_GFS and the spliced GDP,1712037,-24008.01
ALB,2020,-6.52721,Derived using data on central government deficit to GDP from IMF_GFS and the spliced GDP,1655985,-108089.6
ALB,2021,-4.210191,Derived using data on central government deficit to GDP from IMF_GFS and the spliced GDP,1866672,-78590.45
ALB,2022,-2.841314,Derived using data on central government deficit to GDP from IMF_GFS and the spliced GDP,2149742,-61080.91
ALB,2023,-1.521764,Derived using data on central government deficit to GDP from IMF_GFS and the spliced GDP,2364276,-35978.7
AND,2018,.0783602,Derived using data on central government deficit to GDP from IMF_GFS and the spliced GDP,2725.27,2.135527
AND,2019,.3536676,Derived using data on central government deficit to GDP from IMF_GFS and the spliced GDP,2818.422,9.967847
AND,2020,-3.815623,Derived using data on central government deficit to GDP from IMF_GFS and the spliced GDP,2531.087,-96.57674
AND,2021,-2.611386,Derived using data on central government deficit to GDP from IMF_GFS and the spliced GDP,2810.965,-73.40517
AND,2022,2.945128,Derived using data on central government deficit to GDP from IMF_GFS and the spliced GDP,3210.31,94.54773
AND,2023,.715483,Derived using data on central government deficit to GDP from IMF_GFS and the spliced GDP,3500.58,25.04605
ARE,2011,-.1041396,Derived using data on central government deficit to GDP from IMF_GFS and the spliced GDP,1325158,-1380.014
ARE,2012,-.3212838,Derived using data on central government deficit to GDP from IMF_GFS and the spliced GDP,1412481,-4538.071
ARE,2013,.1608305,Derived using data on central government deficit to GDP from IMF_GFS and the spliced GDP,1469803,2363.891
ARE,2014,-.1767188,Derived using data on central government deficit to GDP from IMF_GFS and the spliced GDP,1520802,-2687.543
ARE,2015,-.0982862,Derived using data on central government deficit to GDP from IMF_GFS and the spliced GDP,1359837,-1336.532
ARE,2016,-.0127811,Derived using data on central government deficit to GDP from IMF_GFS and the spliced GDP,1356090,-173.3236
