ISO3,year,cgovexp_GDP,source,nGDP,cgovexp
AFG,2006,20.71095,Derived using data on central government expenditure to GDP from IMF_GFS and the spliced GDP,364100.1,75408.6
AFG,2007,27.52813,Derived using data on central government expenditure to GDP from IMF_GFS and the spliced GDP,499587,137527
AFG,2008,50.47796,Derived using data on central government expenditure to GDP from IMF_GFS and the spliced GDP,517377.4,261161.6
AFG,2009,44.64372,Derived using data on central government expenditure to GDP from IMF_GFS and the spliced GDP,600457.8,268066.7
AFG,2010,51.89717,Derived using data on central government expenditure to GDP from IMF_GFS and the spliced GDP,703502.6,365098
AFG,2011,60.48954,Derived using data on central government expenditure to GDP from IMF_GFS and the spliced GDP,837851.3,506812.4
AFG,2012,42.13279,Derived using data on central government expenditure to GDP from IMF_GFS and the spliced GDP,1007959,424681.2
AFG,2013,42.92222,Derived using data on central government expenditure to GDP from IMF_GFS and the spliced GDP,1102256,473112.9
AFG,2014,44.25866,Derived using data on central government expenditure to GDP from IMF_GFS and the spliced GDP,1116353,494082.7
AFG,2015,36.69831,Derived using data on central government expenditure to GDP from IMF_GFS and the spliced GDP,1143357,419592.6
AFG,2016,40.73931,Derived using data on central government expenditure to GDP from IMF_GFS and the spliced GDP,1236815,503870
AFG,2017,36.59862,Derived using data on central government expenditure to GDP from IMF_GFS and the spliced GDP,1294845,473895.3
AGO,1980,36.35243,Derived using data on central government expenditure to GDP from AFDB and the spliced GDP,.000214,.0000778
AGO,1981,42.79131,Derived using data on central government expenditure to GDP from AFDB and the spliced GDP,.0002,.0000856
AGO,1982,47.3996,Derived using data on central government expenditure to GDP from AFDB and the spliced GDP,.0002,.0000948
AGO,1983,42.95641,Derived using data on central government expenditure to GDP from AFDB and the spliced GDP,.000209,.0000898
AGO,1984,48.8677,Derived using data on central government expenditure to GDP from AFDB and the spliced GDP,.000221,.000108
AGO,1985,43.77648,Derived using data on central government expenditure to GDP from AFDB and the spliced GDP,.000273,.0001195
AGO,1986,42.93221,Derived using data on central government expenditure to GDP from AFDB and the spliced GDP,.000256,.0001099
AGO,1987,36.20449,Derived using data on central government expenditure to GDP from AFDB and the spliced GDP,.000295,.0001068
AGO,1988,40.48433,Derived using data on central government expenditure to GDP from AFDB and the spliced GDP,.000318,.0001287
AGO,1989,36.74891,Derived using data on central government expenditure to GDP from AFDB and the spliced GDP,.00037,.000136
AGO,1990,49.31081,Derived using data on central government expenditure to GDP from AFDB and the spliced GDP,.000409,.0002017
AGO,1991,47.94177,Derived using data on central government expenditure to GDP from AFDB and the spliced GDP,.000892,.0004276
AGO,1992,58.76971,Derived using data on central government expenditure to GDP from AFDB and the spliced GDP,.004673,.0027463
AGO,1993,52.74069,Derived using data on central government expenditure to GDP from AFDB and the spliced GDP,.035827,.0188954
AGO,1994,62.08797,Derived using data on central government expenditure to GDP from AFDB and the spliced GDP,.824921,.5121767
AGO,1995,67.2354,Derived using data on central government expenditure to GDP from AFDB and the spliced GDP,18.26765,12.28233
AGO,1996,42.99989,Derived using data on central government expenditure to GDP from AFDB and the spliced GDP,1117.154,480.3748
AGO,1997,65.50817,Derived using data on central government expenditure to GDP from AFDB and the spliced GDP,2342.345,1534.427
AGO,1998,42.59446,Derived using data on central government expenditure to GDP from AFDB and the spliced GDP,3385.27,1441.937
AGO,1999,81.51489,Derived using data on central government expenditure to GDP from AFDB and the spliced GDP,22959.67,18715.55
AGO,2000,54.25706,Derived using data on central government expenditure to GDP from AFDB and the spliced GDP,122568.5,66502.06
AGO,2001,50.6918,Derived using data on central government expenditure to GDP from AFDB and the spliced GDP,263560.6,133603.6
AGO,2002,45.40158,Derived using data on central government expenditure to GDP from AFDB and the spliced GDP,665385,302095.3
AGO,2003,44.89748,Derived using data on central government expenditure to GDP from AFDB and the spliced GDP,1328940,596660.5
AGO,2004,35.82762,Derived using data on central government expenditure to GDP from AFDB and the spliced GDP,1967570,704933.4
AGO,2005,34.9345,Derived using data on central government expenditure to GDP from AFDB and the spliced GDP,3222350,1125712
AGO,2006,30.60394,Derived using data on central government expenditure to GDP from AFDB and the spliced GDP,4209762,1288353
AGO,2007,38.12765,Derived using data on central government expenditure to GDP from AFDB and the spliced GDP,5006335,1908798
AGO,2008,56.57002,Derived using data on central government expenditure to GDP from AFDB and the spliced GDP,6643353,3758146
AGO,2009,44.95869,Derived using data on central government expenditure to GDP from AFDB and the spliced GDP,5577341,2507499
AGO,2010,39.40086,Derived using data on central government expenditure to GDP from AFDB and the spliced GDP,7701652,3034517
AGO,2011,37.40266,Derived using data on central government expenditure to GDP from AFDB and the spliced GDP,1.05e+07,3927632
AGO,2012,37.2067,Derived using data on central government expenditure to GDP from AFDB and the spliced GDP,1.22e+07,4548500
AGO,2013,36.50094,Derived using data on central government expenditure to GDP from AFDB and the spliced GDP,1.32e+07,4816301
AGO,2014,36.45177,Derived using data on central government expenditure to GDP from AFDB and the spliced GDP,1.43e+07,5221300
AGO,2015,27.29856,Derived using data on central government expenditure to GDP from AFDB and the spliced GDP,1.40e+07,3808228
AGO,2016,23.63885,Derived using data on central government expenditure to GDP from AFDB and the spliced GDP,1.65e+07,3912127
AGO,2017,24.67993,Derived using data on central government expenditure to GDP from AFDB and the spliced GDP,2.03e+07,5000721
AGO,2018,13.96091,Derived using data on central government expenditure to GDP from IMF_GFS and the spliced GDP,2.56e+07,3577866
AGO,2019,17.84698,Derived using data on central government expenditure to GDP from IMF_GFS and the spliced GDP,3.03e+07,5413066
AGO,2020,43.85287,Derived using data on central government expenditure to GDP from IMF_GFS and the spliced GDP,3.17e+07,1.39e+07
AGO,2021,17.93596,Derived using data on central government expenditure to GDP from IMF_GFS and the spliced GDP,4.41e+07,7917184
AGO,2022,19.48651,Derived using data on central government expenditure to GDP from IMF_GFS and the spliced GDP,5.22e+07,1.02e+07
AGO,2023,20.18139,Derived using data on central government expenditure to GDP from IMF_GFS and the spliced GDP,6.20e+07,1.25e+07
ALB,1998,23.7116,Derived using data on central government expenditure to GDP from IMF_GFS and the spliced GDP,393070,93203.19
ALB,1999,,Derived using data on central government expenditure to GDP from IMF_GFS and the spliced GDP,453512.3,
ALB,2000,,Derived using data on central government expenditure to GDP from IMF_GFS and the spliced GDP,516206.8,
ALB,2001,,Derived using data on central government expenditure to GDP from IMF_GFS and the spliced GDP,583125.1,
ALB,2002,20.50881,Derived using data on central government expenditure to GDP from IMF_GFS and the spliced GDP,633932.6,130012
ALB,2003,18.45922,Derived using data on central government expenditure to GDP from IMF_GFS and the spliced GDP,700711.6,129345.9
ALB,2004,18.16693,Derived using data on central government expenditure to GDP from IMF_GFS and the spliced GDP,760444.8,138149.4
ALB,2005,,Derived using data on central government expenditure to GDP from IMF_GFS and the spliced GDP,824594.6,
ALB,2006,,Derived using data on central government expenditure to GDP from IMF_GFS and the spliced GDP,897697.7,
ALB,2007,,Derived using data on central government expenditure to GDP from IMF_GFS and the spliced GDP,1005281,
ALB,2008,,Derived using data on central government expenditure to GDP from IMF_GFS and the spliced GDP,1112317,
ALB,2009,,Derived using data on central government expenditure to GDP from IMF_GFS and the spliced GDP,1171607,
ALB,2010,,Derived using data on central government expenditure to GDP from IMF_GFS and the spliced GDP,1256235,
ALB,2011,18.87036,Derived using data on central government expenditure to GDP from IMF_GFS and the spliced GDP,1308998,247012.5
ALB,2012,18.78324,Derived using data on central government expenditure to GDP from IMF_GFS and the spliced GDP,1324877,248854.9
ALB,2013,19.87885,Derived using data on central government expenditure to GDP from IMF_GFS and the spliced GDP,1352247,268811.1
ALB,2014,19.89481,Derived using data on central government expenditure to GDP from IMF_GFS and the spliced GDP,1402496,279024
ALB,2015,19.44181,Derived using data on central government expenditure to GDP from IMF_GFS and the spliced GDP,1444802,280895.7
ALB,2016,18.87308,Derived using data on central government expenditure to GDP from IMF_GFS and the spliced GDP,1488303,280888.7
ALB,2017,18.48617,Derived using data on central government expenditure to GDP from IMF_GFS and the spliced GDP,1579056,291906.9
ALB,2018,17.84307,Derived using data on central government expenditure to GDP from IMF_GFS and the spliced GDP,1660820,296341.3
ALB,2019,17.39054,Derived using data on central government expenditure to GDP from IMF_GFS and the spliced GDP,1712037,297732.4
ALB,2020,19.34376,Derived using data on central government expenditure to GDP from IMF_GFS and the spliced GDP,1655985,320329.7
ALB,2021,18.91989,Derived using data on central government expenditure to GDP from IMF_GFS and the spliced GDP,1866672,353172.2
ALB,2022,18.16318,Derived using data on central government expenditure to GDP from IMF_GFS and the spliced GDP,2149742,390461.4
ALB,2023,17.33384,Derived using data on central government expenditure to GDP from IMF_GFS and the spliced GDP,2364276,409819.8
AND,2018,17.83043,Derived using data on central government expenditure to GDP from IMF_GFS and the spliced GDP,2725.27,485.9274
AND,2019,16.82904,Derived using data on central government expenditure to GDP from IMF_GFS and the spliced GDP,2818.422,474.3135
AND,2020,21.45902,Derived using data on central government expenditure to GDP from IMF_GFS and the spliced GDP,2531.087,543.1465
AND,2021,19.66388,Derived using data on central government expenditure to GDP from IMF_GFS and the spliced GDP,2810.965,552.7448
AND,2022,17.0148,Derived using data on central government expenditure to GDP from IMF_GFS and the spliced GDP,3210.31,546.2279
AND,2023,17.28261,Derived using data on central government expenditure to GDP from IMF_GFS and the spliced GDP,3500.58,604.9915
ARE,2011,3.862909,Derived using data on central government expenditure to GDP from IMF_GFS and the spliced GDP,1325158,51189.66
ARE,2012,3.976281,Derived using data on central government expenditure to GDP from IMF_GFS and the spliced GDP,1412481,56164.2
ARE,2013,3.676861,Derived using data on central government expenditure to GDP from IMF_GFS and the spliced GDP,1469803,54042.59
ARE,2014,3.593102,Derived using data on central government expenditure to GDP from IMF_GFS and the spliced GDP,1520802,54643.96
ARE,2015,3.94507,Derived using data on central government expenditure to GDP from IMF_GFS and the spliced GDP,1359837,53646.5
ARE,2016,4.089139,Derived using data on central government expenditure to GDP from IMF_GFS and the spliced GDP,1356090,55452.41
ARE,2017,3.765001,Derived using data on central government expenditure to GDP from IMF_GFS and the spliced GDP,1434173,53996.63
ARE,2018,3.693218,Derived using data on central government expenditure to GDP from IMF_GFS and the spliced GDP,1568339,57922.18
ARE,2019,4.02298,Derived using data on central government expenditure to GDP from IMF_GFS and the spliced GDP,1535067,61755.45
ARE,2020,4.615885,Derived using data on central government expenditure to GDP from IMF_GFS and the spliced GDP,1283440,59242.1
ARE,2021,3.704055,Derived using data on central government expenditure to GDP from IMF_GFS and the spliced GDP,1524744,56477.36
ARE,2022,3.608097,Derived using data on central government expenditure to GDP from IMF_GFS and the spliced GDP,1846283,66615.69
ARE,2023,3.558059,Derived using data on central government expenditure to GDP from IMF_GFS and the spliced GDP,1888144,67181.27
ARG,1935,10.54839,Derived using data on central government expenditure to GDP from Mitchell and the spliced GDP,1.21e-09,1.28e-10
ARG,1936,10.73469,Derived using data on central government expenditure to GDP from Mitchell and the spliced GDP,1.28e-09,1.38e-10
ARG,1937,10.80531,Derived using data on central government expenditure to GDP from Mitchell and the spliced GDP,1.48e-09,1.60e-10
ARG,1938,11.61818,Derived using data on central government expenditure to GDP from Mitchell and the spliced GDP,1.44e-09,1.67e-10
ARG,1939,12.58621,Derived using data on central government expenditure to GDP from Mitchell and the spliced GDP,1.52e-09,1.91e-10
ARG,1940,11.01667,Derived using data on central government expenditure to GDP from Mitchell and the spliced GDP,1.56e-09,1.72e-10
ARG,1941,10.62791,Derived using data on central government expenditure to GDP from Mitchell and the spliced GDP,1.68e-09,1.79e-10
ARG,1942,10.64384,Derived using data on central government expenditure to GDP from Mitchell and the spliced GDP,1.90e-09,2.02e-10
ARG,1943,11.6732,Derived using data on central government expenditure to GDP from Mitchell and the spliced GDP,2.00e-09,2.34e-10
ARG,1944,14.23429,Derived using data on central government expenditure to GDP from Mitchell and the spliced GDP,2.29e-09,3.25e-10
ARG,1945,14.58549,Derived using data on central government expenditure to GDP from Mitchell and the spliced GDP,2.53e-09,3.68e-10
ARG,1946,12.67557,Derived using data on central government expenditure to GDP from Mitchell and the spliced GDP,3.42e-09,4.33e-10
ARG,1947,11.75487,Derived using data on central government expenditure to GDP from Mitchell and the spliced GDP,4.69e-09,5.52e-10
ARG,1948,16.15525,Derived using data on central government expenditure to GDP from Mitchell and the spliced GDP,5.72e-09,9.25e-10
ARG,1949,14.79658,Derived using data on central government expenditure to GDP from Mitchell and the spliced GDP,6.86e-09,1.02e-09
ARG,1950,13.98714,Derived using data on central government expenditure to GDP from Mitchell and the spliced GDP,8.13e-09,1.14e-09
ARG,1951,13.95833,Derived using data on central government expenditure to GDP from Mitchell and the spliced GDP,1.16e-08,1.62e-09
ARG,1952,13.75,Derived using data on central government expenditure to GDP from Mitchell and the spliced GDP,1.34e-08,1.84e-09
ARG,1953,12.71318,Derived using data on central government expenditure to GDP from Mitchell and the spliced GDP,1.52e-08,1.93e-09
