ISO3,year,cgovrev_GDP,source,nGDP,cgovrev
AFG,2006,29.89284,Derived using data on central government revenue to GDP from IMF_GFS and the spliced GDP,364100.1,108839.9
AFG,2007,36.34986,Derived using data on central government revenue to GDP from IMF_GFS and the spliced GDP,499587,181599.2
AFG,2008,87.58479,Derived using data on central government revenue to GDP from IMF_GFS and the spliced GDP,517377.4,453143.9
AFG,2009,74.1031,Derived using data on central government revenue to GDP from IMF_GFS and the spliced GDP,600457.8,444957.8
AFG,2010,85.47652,Derived using data on central government revenue to GDP from IMF_GFS and the spliced GDP,703502.6,601329.6
AFG,2011,95.39289,Derived using data on central government revenue to GDP from IMF_GFS and the spliced GDP,837851.3,799250.6
AFG,2012,66.53925,Derived using data on central government revenue to GDP from IMF_GFS and the spliced GDP,1007959,670688.3
AFG,2013,68.45599,Derived using data on central government revenue to GDP from IMF_GFS and the spliced GDP,1102256,754560.5
AFG,2014,57.22219,Derived using data on central government revenue to GDP from IMF_GFS and the spliced GDP,1116353,638801.5
AFG,2015,53.91817,Derived using data on central government revenue to GDP from IMF_GFS and the spliced GDP,1143357,616476.9
AFG,2016,48.09279,Derived using data on central government revenue to GDP from IMF_GFS and the spliced GDP,1236815,594819
AFG,2017,44.90629,Derived using data on central government revenue to GDP from IMF_GFS and the spliced GDP,1294845,581466.8
AGO,1980,26.49415,Derived using data on central government revenue to GDP from AFDB and the spliced GDP,.000214,.0000567
AGO,1981,30.28308,Derived using data on central government revenue to GDP from AFDB and the spliced GDP,.0002,.0000606
AGO,1982,33.57472,Derived using data on central government revenue to GDP from AFDB and the spliced GDP,.0002,.0000671
AGO,1983,35.37587,Derived using data on central government revenue to GDP from AFDB and the spliced GDP,.000209,.0000739
AGO,1984,44.69607,Derived using data on central government revenue to GDP from AFDB and the spliced GDP,.000221,.0000988
AGO,1985,37.98589,Derived using data on central government revenue to GDP from AFDB and the spliced GDP,.000273,.0001037
AGO,1986,36.78818,Derived using data on central government revenue to GDP from AFDB and the spliced GDP,.000256,.0000942
AGO,1987,28.10495,Derived using data on central government revenue to GDP from AFDB and the spliced GDP,.000295,.0000829
AGO,1988,30.53484,Derived using data on central government revenue to GDP from AFDB and the spliced GDP,.000318,.0000971
AGO,1989,26.55207,Derived using data on central government revenue to GDP from AFDB and the spliced GDP,.00037,.0000982
AGO,1990,25.59079,Derived using data on central government revenue to GDP from AFDB and the spliced GDP,.000409,.0001047
AGO,1991,21.95665,Derived using data on central government revenue to GDP from AFDB and the spliced GDP,.000892,.0001959
AGO,1992,26.78436,Derived using data on central government revenue to GDP from AFDB and the spliced GDP,.004673,.0012516
AGO,1993,38.97868,Derived using data on central government revenue to GDP from AFDB and the spliced GDP,.035827,.0139649
AGO,1994,42.09678,Derived using data on central government revenue to GDP from AFDB and the spliced GDP,.824921,.3472652
AGO,1995,29.9818,Derived using data on central government revenue to GDP from AFDB and the spliced GDP,18.26765,5.476971
AGO,1996,47.82837,Derived using data on central government revenue to GDP from AFDB and the spliced GDP,1117.154,534.3163
AGO,1997,42.66413,Derived using data on central government revenue to GDP from AFDB and the spliced GDP,2342.345,999.3411
AGO,1998,33.7936,Derived using data on central government revenue to GDP from AFDB and the spliced GDP,3385.27,1144.005
AGO,1999,50.30377,Derived using data on central government revenue to GDP from AFDB and the spliced GDP,22959.67,11549.58
AGO,2000,47.21165,Derived using data on central government revenue to GDP from AFDB and the spliced GDP,122568.5,57866.6
AGO,2001,44.54606,Derived using data on central government revenue to GDP from AFDB and the spliced GDP,263560.6,117405.9
AGO,2002,38.33603,Derived using data on central government revenue to GDP from AFDB and the spliced GDP,665385,255082.2
AGO,2003,37.9329,Derived using data on central government revenue to GDP from AFDB and the spliced GDP,1328940,504105.4
AGO,2004,36.90386,Derived using data on central government revenue to GDP from AFDB and the spliced GDP,1967570,726109.3
AGO,2005,44.1252,Derived using data on central government revenue to GDP from AFDB and the spliced GDP,3222350,1421868
AGO,2006,40.02674,Derived using data on central government revenue to GDP from AFDB and the spliced GDP,4209762,1685031
AGO,2007,40.02674,Derived using data on central government revenue to GDP from AFDB and the spliced GDP,5006335,2003873
AGO,2008,42.44047,Derived using data on central government revenue to GDP from AFDB and the spliced GDP,6643353,2819470
AGO,2009,37.06853,Derived using data on central government revenue to GDP from AFDB and the spliced GDP,5577341,2067438
AGO,2010,42.78939,Derived using data on central government revenue to GDP from AFDB and the spliced GDP,7701652,3295490
AGO,2011,45.4774,Derived using data on central government revenue to GDP from AFDB and the spliced GDP,1.05e+07,4775555
AGO,2012,41.35117,Derived using data on central government revenue to GDP from AFDB and the spliced GDP,1.22e+07,5055161
AGO,2013,36.7336,Derived using data on central government revenue to GDP from AFDB and the spliced GDP,1.32e+07,4847000
AGO,2014,30.73264,Derived using data on central government revenue to GDP from AFDB and the spliced GDP,1.43e+07,4402100
AGO,2015,24.34648,Derived using data on central government revenue to GDP from AFDB and the spliced GDP,1.40e+07,3396405
AGO,2016,18.51685,Derived using data on central government revenue to GDP from AFDB and the spliced GDP,1.65e+07,3064458
AGO,2017,18.93833,Derived using data on central government revenue to GDP from AFDB and the spliced GDP,2.03e+07,3837341
AGO,2018,20.0491,Derived using data on central government revenue to GDP from IMF_GFS and the spliced GDP,2.56e+07,5138133
AGO,2019,20.78333,Derived using data on central government revenue to GDP from IMF_GFS and the spliced GDP,3.03e+07,6303672
AGO,2020,49.31284,Derived using data on central government revenue to GDP from IMF_GFS and the spliced GDP,3.17e+07,1.56e+07
AGO,2021,23.74664,Derived using data on central government revenue to GDP from IMF_GFS and the spliced GDP,4.41e+07,1.05e+07
AGO,2022,26.01035,Derived using data on central government revenue to GDP from IMF_GFS and the spliced GDP,5.22e+07,1.36e+07
