ISO3,year,cgovtax_GDP,source,nGDP,cgovtax
AFG,2006,7.012556,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,364100.1,25532.72
AFG,2007,5.999345,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,499587,29971.95
AFG,2008,6.058997,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,517377.4,31347.88
AFG,2009,8.544127,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,600457.8,51303.88
AFG,2010,9.356195,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,703502.6,65821.08
AFG,2011,9.06741,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,837851.3,75971.41
AFG,2012,7.672027,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,1007959,77330.88
AFG,2013,7.262972,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,1102256,80056.58
AFG,2014,6.840275,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,1116353,76361.59
AFG,2015,7.555844,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,1143357,86390.24
AFG,2016,8.813914,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,1236815,109011.8
AFG,2017,9.236835,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,1294845,119602.7
AGO,2018,9.928881,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,2.56e+07,2544548
AGO,2019,11.28885,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,3.03e+07,3423957
AGO,2020,20.51761,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,3.17e+07,6504240
AGO,2021,10.70333,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,4.41e+07,4724600
AGO,2022,12.72829,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,5.22e+07,6642129
AGO,2023,9.242218,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,6.20e+07,5732954
ALB,1998,14.56893,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,393070,57266.09
ALB,1999,,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,453512.3,
ALB,2000,,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,516206.8,
ALB,2001,,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,583125.1,
ALB,2002,16.48424,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,633932.6,104498.9
ALB,2003,17.19615,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,700711.6,120495.4
ALB,2004,17.96509,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,760444.8,136614.6
ALB,2005,,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,824594.6,
ALB,2006,,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,897697.7,
ALB,2007,,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,1005281,
ALB,2008,,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,1112317,
ALB,2009,,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,1171607,
ALB,2010,,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,1256235,
ALB,2011,18.02201,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,1308998,235907.8
ALB,2012,17.48279,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,1324877,231625.6
ALB,2013,16.50328,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,1352247,223165
ALB,2014,18.30194,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,1402496,256684
ALB,2015,18.5158,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,1444802,267516.6
ALB,2016,17.59023,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,1488303,261796
ALB,2017,18.88749,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,1579056,298243.9
ALB,2018,18.54597,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,1660820,308015.2
ALB,2019,18.14438,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,1712037,310638.4
ALB,2020,16.98326,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,1655985,281240.1
ALB,2021,18.1986,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,1866672,339708
ALB,2022,18.15708,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,2149742,390330.3
ALB,2023,18.20005,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,2364276,430299.3
AND,2018,14.122,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,2725.27,384.8627
AND,2019,13.7653,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,2818.422,387.9642
AND,2020,12.65872,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,2531.087,320.4032
AND,2021,13.1107,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,2810.965,368.5372
AND,2022,14.98604,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,3210.31,481.0985
AND,2023,14.15999,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,3500.58,495.6816
ARE,2011,.0527288,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,1325158,698.7407
ARE,2012,.0607124,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,1412481,857.5503
ARE,2013,.07692,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,1469803,1130.572
ARE,2014,.0658084,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,1520802,1000.815
ARE,2015,.0814013,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,1359837,1106.924
ARE,2016,.0501469,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,1356090,680.0366
ARE,2017,.0656214,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,1434173,941.1244
ARE,2018,.0586389,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,1568339,919.6563
ARE,2019,.9722384,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,1535067,14924.51
ARE,2020,.6820883,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,1283440,8754.191
ARE,2021,.5352437,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,1524744,8161.097
