ISO3,year,cons,source,nGDP,cons_GDP
ABW,1970,236.4856,Derived using data on consumption from UN and the spliced GDP,353.7469,.6685165
ABW,1971,249.0922,Derived using data on consumption from UN and the spliced GDP,372.6045,.6685163
ABW,1972,262.3709,Derived using data on consumption from UN and the spliced GDP,392.4673,.6685165
ABW,1973,276.3574,Derived using data on consumption from UN and the spliced GDP,413.389,.6685166
ABW,1974,291.0893,Derived using data on consumption from UN and the spliced GDP,435.4261,.668516
ABW,1975,306.6071,Derived using data on consumption from UN and the spliced GDP,458.6378,.6685169
ABW,1976,322.9518,Derived using data on consumption from UN and the spliced GDP,483.0869,.6685169
ABW,1977,340.1663,Derived using data on consumption from UN and the spliced GDP,508.8394,.668514
ABW,1978,358.3029,Derived using data on consumption from UN and the spliced GDP,535.9647,.6685196
ABW,1979,377.402,Derived using data on consumption from UN and the spliced GDP,564.536,.6685171
ABW,1980,397.5136,Derived using data on consumption from UN and the spliced GDP,594.6304,.6685054
ABW,1981,418.7238,Derived using data on consumption from UN and the spliced GDP,626.329,.6685364
ABW,1982,441.0275,Derived using data on consumption from UN and the spliced GDP,659.7175,.6685096
ABW,1983,464.5103,Derived using data on consumption from UN and the spliced GDP,694.8858,.66847
ABW,1984,489.3894,Derived using data on consumption from UN and the spliced GDP,731.9289,.6686296
ABW,1985,515.3232,Derived using data on consumption from UN and the spliced GDP,770.9467,.6684292
ABW,1986,542.7307,Derived using data on consumption from UN and the spliced GDP,812.0444,.6683511
ABW,1987,653.4175,Derived using data on consumption from UN and the spliced GDP,976.5489,.6691089
ABW,1988,797.714,Derived using data on consumption from UN and the spliced GDP,1194.491,.6678275
ABW,1989,930.3693,Derived using data on consumption from UN and the spliced GDP,1392.525,.6681167
ABW,1990,1028.479,Derived using data on consumption from UN and the spliced GDP,1531.882,.6713825
ABW,1991,1159.767,Derived using data on consumption from UN and the spliced GDP,1746.681,.6639833
ABW,1992,1284.161,Derived using data on consumption from UN and the spliced GDP,1919.568,.6689844
ABW,1993,1477.441,Derived using data on consumption from UN and the spliced GDP,2168.944,.6811798
ABW,1994,1601.29,Derived using data on consumption from UN and the spliced GDP,2495.054,.6417856
ABW,1995,1694.401,Derived using data on consumption from UN and the spliced GDP,2477.24,.6839877
ABW,1996,1857.807,Derived using data on consumption from UN and the spliced GDP,2588.317,.7177662
ABW,1997,2020.761,Derived using data on consumption from UN and the spliced GDP,2873.346,.7032778
ABW,1998,2176.357,Derived using data on consumption from UN and the spliced GDP,3123.795,.696703
ABW,1999,2305.663,Derived using data on consumption from UN and the spliced GDP,3231.53,.7134897
ABW,2000,2374.49,Derived using data on consumption from UN and the spliced GDP,3353.48,.7080674
ABW,2001,2525.57,Derived using data on consumption from UN and the spliced GDP,3394.658,.7439837
ABW,2002,2720.59,Derived using data on consumption from UN and the spliced GDP,3511.7,.7747217
ABW,2003,2870.46,Derived using data on consumption from UN and the spliced GDP,3658.96,.7845016
ABW,2004,3012.92,Derived using data on consumption from UN and the spliced GDP,4036.147,.7464842
ABW,2005,3199.55,Derived using data on consumption from UN and the spliced GDP,4224.43,.7573921
ABW,2006,3418.92,Derived using data on consumption from UN and the spliced GDP,4420.91,.773352
ABW,2007,3743.47,Derived using data on consumption from UN and the spliced GDP,4792.98,.7810318
ABW,2008,3865.03,Derived using data on consumption from UN and the spliced GDP,5089.01,.7594857
ABW,2009,3751.99,Derived using data on consumption from UN and the spliced GDP,4571.29,.8207727
ABW,2010,3809.8,Derived using data on consumption from UN and the spliced GDP,4391.94,.8674527
ABW,2011,4132.45,Derived using data on consumption from UN and the spliced GDP,4721.77,.8751909
ABW,2012,4068.71,Derived using data on consumption from UN and the spliced GDP,4681.22,.8691559
ABW,2013,4148.9,Derived using data on consumption from UN and the spliced GDP,4882.85,.8496882
ABW,2014,4157.34,Derived using data on consumption from UN and the spliced GDP,4995.62,.832197
ABW,2015,4168.04,Derived using data on consumption from UN and the spliced GDP,5303.6,.7858889
ABW,2016,4167.03,Derived using data on consumption from UN and the spliced GDP,5340.71,.7802389
ABW,2017,4326.27,Derived using data on consumption from UN and the spliced GDP,5535.45,.781557
ABW,2018,4592.17,Derived using data on consumption from UN and the spliced GDP,5864.37,.7830628
ABW,2019,4646.13,Derived using data on consumption from UN and the spliced GDP,6078.48,.7643572
ABW,2020,4174.786,Derived using data on consumption from UN and the spliced GDP,4442.524,.9397327
ABW,2021,4391.465,Derived using data on consumption from UN and the spliced GDP,5243.709,.837473
ABW,2022,4509.71,Derived using data on consumption from UN and the spliced GDP,5870.025,.7682609
ABW,2023,4679.404,Derived using data on consumption from UN and the spliced GDP,6530.946,.7164971
ABW,2024,4859.746,Derived using data on consumption from WDI and the spliced GDP,7264.85,.6689397
AFG,1960,20.99927,Derived using data on consumption from WDI and the spliced GDP,24.2,.8677382
AFG,1961,21.49925,Derived using data on consumption from WDI and the spliced GDP,24.7,.8704148
AFG,1962,20.99927,Derived using data on consumption from WDI and the spliced GDP,24.6,.8536287
AFG,1963,31.5989,Derived using data on consumption from WDI and the spliced GDP,33.8,.9348785
AFG,1964,34.2988,Derived using data on consumption from WDI and the spliced GDP,36,.9527444
AFG,1965,44.79844,Derived using data on consumption from WDI and the spliced GDP,45.3,.988928
AFG,1966,63.99776,Derived using data on consumption from WDI and the spliced GDP,63,1.015838
AFG,1967,76.99731,Derived using data on consumption from WDI and the spliced GDP,75.3,1.022541
AFG,1968,61.69785,Derived using data on consumption from WDI and the spliced GDP,61.8,.998347
AFG,1969,62.39782,Derived using data on consumption from WDI and the spliced GDP,63.4,.9841928
AFG,1970,76.09724,Derived using data on consumption from UN and the spliced GDP,78.69714,.9669632
AFG,1971,82.19702,Derived using data on consumption from UN and the spliced GDP,82.39703,.9975727
AFG,1972,69.49757,Derived using data on consumption from UN and the spliced GDP,71.79749,.9679667
AFG,1973,73.69743,Derived using data on consumption from UN and the spliced GDP,77.99727,.9448719
