ISO3,year,cons,source,USDfx,cons_USD
ABW,1970,236.4856,Derived using data on consumption from UN and the spliced USD exchange rate,1.79,132.1149
ABW,1971,249.0922,Derived using data on consumption from UN and the spliced USD exchange rate,1.79,139.1576
ABW,1972,262.3709,Derived using data on consumption from UN and the spliced USD exchange rate,1.79,146.5759
ABW,1973,276.3574,Derived using data on consumption from UN and the spliced USD exchange rate,1.79,154.3896
ABW,1974,291.0893,Derived using data on consumption from UN and the spliced USD exchange rate,1.79,162.6197
ABW,1975,306.6071,Derived using data on consumption from UN and the spliced USD exchange rate,1.79,171.2889
ABW,1976,322.9518,Derived using data on consumption from UN and the spliced USD exchange rate,1.79,180.42
ABW,1977,340.1663,Derived using data on consumption from UN and the spliced USD exchange rate,1.79,190.037
ABW,1978,358.3029,Derived using data on consumption from UN and the spliced USD exchange rate,1.79,200.1692
ABW,1979,377.402,Derived using data on consumption from UN and the spliced USD exchange rate,1.79,210.8391
ABW,1980,397.5136,Derived using data on consumption from UN and the spliced USD exchange rate,1.79,222.0746
ABW,1981,418.7238,Derived using data on consumption from UN and the spliced USD exchange rate,1.79,233.9239
ABW,1982,441.0275,Derived using data on consumption from UN and the spliced USD exchange rate,1.79,246.3841
ABW,1983,464.5103,Derived using data on consumption from UN and the spliced USD exchange rate,1.79,259.503
ABW,1984,489.3894,Derived using data on consumption from UN and the spliced USD exchange rate,1.79,273.4019
ABW,1985,515.3232,Derived using data on consumption from UN and the spliced USD exchange rate,1.79,287.8901
ABW,1986,542.7307,Derived using data on consumption from UN and the spliced USD exchange rate,1.79,303.2015
ABW,1987,653.4175,Derived using data on consumption from UN and the spliced USD exchange rate,1.79,365.0378
ABW,1988,797.714,Derived using data on consumption from UN and the spliced USD exchange rate,1.79,445.6503
ABW,1989,930.3693,Derived using data on consumption from UN and the spliced USD exchange rate,1.79,519.7594
ABW,1990,1028.479,Derived using data on consumption from UN and the spliced USD exchange rate,1.79,574.5693
ABW,1991,1159.767,Derived using data on consumption from UN and the spliced USD exchange rate,1.79,647.9147
ABW,1992,1284.161,Derived using data on consumption from UN and the spliced USD exchange rate,1.79,717.4084
ABW,1993,1477.441,Derived using data on consumption from UN and the spliced USD exchange rate,1.79,825.3862
ABW,1994,1601.29,Derived using data on consumption from UN and the spliced USD exchange rate,1.79,894.5753
ABW,1995,1694.401,Derived using data on consumption from UN and the spliced USD exchange rate,1.79,946.5929
ABW,1996,1857.807,Derived using data on consumption from UN and the spliced USD exchange rate,1.79,1037.881
ABW,1997,2020.761,Derived using data on consumption from UN and the spliced USD exchange rate,1.79,1128.917
ABW,1998,2176.357,Derived using data on consumption from UN and the spliced USD exchange rate,1.79,1215.842
ABW,1999,2305.663,Derived using data on consumption from UN and the spliced USD exchange rate,1.79,1288.08
ABW,2000,2374.49,Derived using data on consumption from UN and the spliced USD exchange rate,1.79,1326.531
ABW,2001,2525.57,Derived using data on consumption from UN and the spliced USD exchange rate,1.79,1410.933
ABW,2002,2720.59,Derived using data on consumption from UN and the spliced USD exchange rate,1.79,1519.883
ABW,2003,2870.46,Derived using data on consumption from UN and the spliced USD exchange rate,1.79,1603.609
ABW,2004,3012.92,Derived using data on consumption from UN and the spliced USD exchange rate,1.79,1683.196
ABW,2005,3199.55,Derived using data on consumption from UN and the spliced USD exchange rate,1.79,1787.458
ABW,2006,3418.92,Derived using data on consumption from UN and the spliced USD exchange rate,1.79,1910.011
ABW,2007,3743.47,Derived using data on consumption from UN and the spliced USD exchange rate,1.79,2091.324
ABW,2008,3865.03,Derived using data on consumption from UN and the spliced USD exchange rate,1.79,2159.235
ABW,2009,3751.99,Derived using data on consumption from UN and the spliced USD exchange rate,1.79,2096.084
ABW,2010,3809.8,Derived using data on consumption from UN and the spliced USD exchange rate,1.79,2128.38
ABW,2011,4132.45,Derived using data on consumption from UN and the spliced USD exchange rate,1.79,2308.631
ABW,2012,4068.71,Derived using data on consumption from UN and the spliced USD exchange rate,1.79,2273.022
ABW,2013,4148.9,Derived using data on consumption from UN and the spliced USD exchange rate,1.79,2317.821
ABW,2014,4157.34,Derived using data on consumption from UN and the spliced USD exchange rate,1.79,2322.536
ABW,2015,4168.04,Derived using data on consumption from UN and the spliced USD exchange rate,1.79,2328.514
