ISO3,year,nGDP,rGDP,deflator,source
ABW,1970,353.7469,430.7568,.8212218,Derived using data on nominal GDP from UN and the spliced real GDP with data from UN
ABW,1971,372.6045,469.906,.792934,Derived using data on nominal GDP from UN and the spliced real GDP with data from UN
ABW,1972,392.4673,512.6134,.7656205,Derived using data on nominal GDP from UN and the spliced real GDP with data from UN
ABW,1973,413.389,559.2021,.739248,Derived using data on nominal GDP from UN and the spliced real GDP with data from UN
ABW,1974,435.4261,610.0251,.7137839,Derived using data on nominal GDP from UN and the spliced real GDP with data from UN
ABW,1975,458.6378,665.4671,.6891968,Derived using data on nominal GDP from UN and the spliced real GDP with data from UN
ABW,1976,483.0869,725.9479,.6654567,Derived using data on nominal GDP from UN and the spliced real GDP with data from UN
ABW,1977,508.8394,791.9255,.6425344,Derived using data on nominal GDP from UN and the spliced real GDP with data from UN
ABW,1978,535.9647,863.8996,.6204016,Derived using data on nominal GDP from UN and the spliced real GDP with data from UN
ABW,1979,564.536,942.4149,.5990313,Derived using data on nominal GDP from UN and the spliced real GDP with data from UN
ABW,1980,594.6304,1028.066,.578397,Derived using data on nominal GDP from UN and the spliced real GDP with data from UN
ABW,1981,626.329,1121.502,.5584736,Derived using data on nominal GDP from UN and the spliced real GDP with data from UN
ABW,1982,659.7175,1223.429,.5392363,Derived using data on nominal GDP from UN and the spliced real GDP with data from UN
ABW,1983,694.8858,1334.62,.5206619,Derived using data on nominal GDP from UN and the spliced real GDP with data from UN
ABW,1984,731.9289,1455.917,.5027271,Derived using data on nominal GDP from UN and the spliced real GDP with data from UN
ABW,1985,770.9467,1588.238,.4854101,Derived using data on nominal GDP from UN and the spliced real GDP with data from UN
ABW,1986,812.0444,1732.584,.4686897,Derived using data on nominal GDP from UN and the spliced real GDP with data from WDI
ABW,1987,976.5489,2011.157,.4855658,Derived using data on nominal GDP from UN and the spliced real GDP with data from WDI
ABW,1988,1194.491,2386.21,.5005808,Derived using data on nominal GDP from UN and the spliced real GDP with data from WDI
ABW,1989,1392.525,2675.654,.520443,Derived using data on nominal GDP from UN and the spliced real GDP with data from WDI
ABW,1990,1531.882,2781.647,.5507106,Derived using data on nominal GDP from UN and the spliced real GDP with data from WDI
ABW,1991,1746.681,3003.146,.5816172,Derived using data on nominal GDP from UN and the spliced real GDP with data from WDI
ABW,1992,1919.568,3179.802,.6036754,Derived using data on nominal GDP from UN and the spliced real GDP with data from WDI
ABW,1993,2168.944,3412.172,.6356491,Derived using data on nominal GDP from UN and the spliced real GDP with data from WDI
ABW,1994,2495.054,3692.103,.6757812,Derived using data on nominal GDP from UN and the spliced real GDP with data from WDI
