ISO3,year,exports,source,nGDP,exports_GDP
ABW,1970,329.0844,Derived using data on exports from UN and the spliced GDP,353.7469,.9302821
ABW,1971,346.6273,Derived using data on exports from UN and the spliced GDP,372.6045,.9302821
ABW,1972,365.1054,Derived using data on exports from UN and the spliced GDP,392.4673,.9302822
ABW,1973,384.5685,Derived using data on exports from UN and the spliced GDP,413.389,.9302823
ABW,1974,405.0689,Derived using data on exports from UN and the spliced GDP,435.4261,.9302817
ABW,1975,426.6628,Derived using data on exports from UN and the spliced GDP,458.6378,.9302827
ABW,1976,449.4073,Derived using data on exports from UN and the spliced GDP,483.0869,.9302825
ABW,1977,473.363,Derived using data on exports from UN and the spliced GDP,508.8394,.9302798
ABW,1978,498.6003,Derived using data on exports from UN and the spliced GDP,535.9647,.9302858
ABW,1979,525.1777,Derived using data on exports from UN and the spliced GDP,564.536,.930282
ABW,1980,553.1678,Derived using data on exports from UN and the spliced GDP,594.6304,.9302717
ABW,1981,582.6762,Derived using data on exports from UN and the spliced GDP,626.329,.9303037
ABW,1982,613.7157,Derived using data on exports from UN and the spliced GDP,659.7175,.9302705
ABW,1983,646.4112,Derived using data on exports from UN and the spliced GDP,694.8858,.9302409
ABW,1984,680.9863,Derived using data on exports from UN and the spliced GDP,731.9289,.9303996
ABW,1985,717.1122,Derived using data on exports from UN and the spliced GDP,770.9467,.930171
ABW,1986,755.3249,Derived using data on exports from UN and the spliced GDP,812.0444,.9301522
ABW,1987,909.0455,Derived using data on exports from UN and the spliced GDP,976.5489,.9308755
ABW,1988,1110.261,Derived using data on exports from UN and the spliced GDP,1194.491,.929485
ABW,1989,1295.182,Derived using data on exports from UN and the spliced GDP,1392.525,.9300962
ABW,1990,1429.316,Derived using data on exports from UN and the spliced GDP,1531.882,.9330455
ABW,1991,1616.227,Derived using data on exports from UN and the spliced GDP,1746.681,.9253132
ABW,1992,1788.903,Derived using data on exports from UN and the spliced GDP,1919.568,.9319299
ABW,1993,2042.915,Derived using data on exports from UN and the spliced GDP,2168.944,.9418935
ABW,1994,2250.828,Derived using data on exports from UN and the spliced GDP,2495.054,.9021161
ABW,1995,2357.787,Derived using data on exports from UN and the spliced GDP,2477.24,.95178
ABW,1996,2515.286,Derived using data on exports from UN and the spliced GDP,2588.317,.9717844
ABW,1997,2659.856,Derived using data on exports from UN and the spliced GDP,2873.346,.9256998
ABW,1998,2790.322,Derived using data on exports from UN and the spliced GDP,3123.795,.8932475
ABW,1999,2897.845,Derived using data on exports from UN and the spliced GDP,3231.53,.8967409
ABW,2000,2494.52,Derived using data on exports from UN and the spliced GDP,3353.48,.7438601
ABW,2001,2410.1,Derived using data on exports from UN and the spliced GDP,3394.658,.7099684
ABW,2002,2267.31,Derived using data on exports from UN and the spliced GDP,3511.7,.6456446
ABW,2003,2295.31,Derived using data on exports from UN and the spliced GDP,3658.96,.6273122
ABW,2004,2610,Derived using data on exports from UN and the spliced GDP,4036.147,.6466563
ABW,2005,2875.79,Derived using data on exports from UN and the spliced GDP,4224.43,.6807522
ABW,2006,2855.65,Derived using data on exports from UN and the spliced GDP,4420.91,.6459416
ABW,2007,3118.37,Derived using data on exports from UN and the spliced GDP,4792.98,.6506119
ABW,2008,3334.79,Derived using data on exports from UN and the spliced GDP,5089.01,.6552925
ABW,2009,2876.19,Derived using data on exports from UN and the spliced GDP,4571.29,.6291856
ABW,2010,2644.75,Derived using data on exports from UN and the spliced GDP,4391.94,.6021826
ABW,2011,3293.48,Derived using data on exports from UN and the spliced GDP,4721.77,.6975096
ABW,2012,3422.14,Derived using data on exports from UN and the spliced GDP,4681.22,.7310359
ABW,2013,3737.74,Derived using data on exports from UN and the spliced GDP,4882.85,.7654833
ABW,2014,3910.35,Derived using data on exports from UN and the spliced GDP,4995.62,.7827557
ABW,2015,3863.83,Derived using data on exports from UN and the spliced GDP,5303.6,.7285297
ABW,2016,3835.72,Derived using data on exports from UN and the spliced GDP,5340.71,.7182041
ABW,2017,4015.9,Derived using data on exports from UN and the spliced GDP,5535.45,.7254875
ABW,2018,4237.17,Derived using data on exports from UN and the spliced GDP,5864.37,.7225277
ABW,2019,4451.55,Derived using data on exports from UN and the spliced GDP,6078.48,.7323459
ABW,2020,2354.209,Derived using data on exports from UN and the spliced GDP,4442.524,.529926
ABW,2021,3709.402,Derived using data on exports from UN and the spliced GDP,5243.709,.7074004
ABW,2022,5140.397,Derived using data on exports from UN and the spliced GDP,5870.025,.8757029
ABW,2023,5769.685,Derived using data on exports from UN and the spliced GDP,6530.946,.8834379
ABW,2024,6542.074,Derived using data on exports from IMF_WEO and the spliced GDP,7264.85,.9005106
AFG,1960,.9999655,Derived using data on exports from IMF_WEO and the spliced GDP,24.2,.0413209
AFG,1961,1.099962,Derived using data on exports from IMF_WEO and the spliced GDP,24.7,.0445329
AFG,1962,1.199959,Derived using data on exports from IMF_WEO and the spliced GDP,24.6,.0487788
AFG,1963,3.099893,Derived using data on exports from IMF_WEO and the spliced GDP,33.8,.0917128
AFG,1964,3.19989,Derived using data on exports from IMF_WEO and the spliced GDP,36,.0888858
AFG,1965,5.099822,Derived using data on exports from IMF_WEO and the spliced GDP,45.3,.1125789
AFG,1966,5.399811,Derived using data on exports from IMF_WEO and the spliced GDP,63,.0857113
AFG,1967,5.099822,Derived using data on exports from IMF_WEO and the spliced GDP,75.3,.0677267
AFG,1968,5.499808,Derived using data on exports from IMF_WEO and the spliced GDP,61.8,.0889937
AFG,1969,6.399776,Derived using data on exports from IMF_WEO and the spliced GDP,63.4,.1009428
AFG,1970,7.699731,Derived using data on exports from UN and the spliced GDP,78.69714,.09784
AFG,1971,8.999685,Derived using data on exports from UN and the spliced GDP,82.39703,.1092234
AFG,1972,10.59963,Derived using data on exports from UN and the spliced GDP,71.79749,.1476323
AFG,1973,10.09965,Derived using data on exports from UN and the spliced GDP,77.99727,.1294872
AFG,1974,13.59953,Derived using data on exports from UN and the spliced GDP,96.9966,.1402062
AFG,1975,13.49953,Derived using data on exports from UN and the spliced GDP,106.4963,.1267606
AFG,1976,15.19947,Derived using data on exports from UN and the spliced GDP,114.996,.1321739
AFG,1977,15.49946,Derived using data on exports from UN and the spliced GDP,132.8954,.116629
AFG,1978,16.09944,Derived using data on exports from UN and the spliced GDP,148.4948,.1084175
AFG,1979,19.25582,Derived using data on exports from UN and the spliced GDP,161.7137,.1190735
