ISO3,year,exports,source,USDfx,exports_USD
ABW,1970,329.0844,Derived using data on exports from UN and the spliced USD exchange rate,1.79,183.846
ABW,1971,346.6273,Derived using data on exports from UN and the spliced USD exchange rate,1.79,193.6465
ABW,1972,365.1054,Derived using data on exports from UN and the spliced USD exchange rate,1.79,203.9695
ABW,1973,384.5685,Derived using data on exports from UN and the spliced USD exchange rate,1.79,214.8427
ABW,1974,405.0689,Derived using data on exports from UN and the spliced USD exchange rate,1.79,226.2955
ABW,1975,426.6628,Derived using data on exports from UN and the spliced USD exchange rate,1.79,238.3591
ABW,1976,449.4073,Derived using data on exports from UN and the spliced USD exchange rate,1.79,251.0656
ABW,1977,473.363,Derived using data on exports from UN and the spliced USD exchange rate,1.79,264.4486
ABW,1978,498.6003,Derived using data on exports from UN and the spliced USD exchange rate,1.79,278.5477
ABW,1979,525.1777,Derived using data on exports from UN and the spliced USD exchange rate,1.79,293.3954
ABW,1980,553.1678,Derived using data on exports from UN and the spliced USD exchange rate,1.79,309.0323
ABW,1981,582.6762,Derived using data on exports from UN and the spliced USD exchange rate,1.79,325.5175
ABW,1982,613.7157,Derived using data on exports from UN and the spliced USD exchange rate,1.79,342.8579
ABW,1983,646.4112,Derived using data on exports from UN and the spliced USD exchange rate,1.79,361.1236
ABW,1984,680.9863,Derived using data on exports from UN and the spliced USD exchange rate,1.79,380.4393
ABW,1985,717.1122,Derived using data on exports from UN and the spliced USD exchange rate,1.79,400.6213
ABW,1986,755.3249,Derived using data on exports from UN and the spliced USD exchange rate,1.79,421.9692
ABW,1987,909.0455,Derived using data on exports from UN and the spliced USD exchange rate,1.79,507.8466
ABW,1988,1110.261,Derived using data on exports from UN and the spliced USD exchange rate,1.79,620.2578
ABW,1989,1295.182,Derived using data on exports from UN and the spliced USD exchange rate,1.79,723.5656
ABW,1990,1429.316,Derived using data on exports from UN and the spliced USD exchange rate,1.79,798.5006
ABW,1991,1616.227,Derived using data on exports from UN and the spliced USD exchange rate,1.79,902.9202
ABW,1992,1788.903,Derived using data on exports from UN and the spliced USD exchange rate,1.79,999.3871
ABW,1993,2042.915,Derived using data on exports from UN and the spliced USD exchange rate,1.79,1141.293
ABW,1994,2250.828,Derived using data on exports from UN and the spliced USD exchange rate,1.79,1257.446
ABW,1995,2357.787,Derived using data on exports from UN and the spliced USD exchange rate,1.79,1317.199
ABW,1996,2515.286,Derived using data on exports from UN and the spliced USD exchange rate,1.79,1405.188
ABW,1997,2659.856,Derived using data on exports from UN and the spliced USD exchange rate,1.79,1485.953
ABW,1998,2790.322,Derived using data on exports from UN and the spliced USD exchange rate,1.79,1558.839
ABW,1999,2897.845,Derived using data on exports from UN and the spliced USD exchange rate,1.79,1618.908
ABW,2000,2494.52,Derived using data on exports from UN and the spliced USD exchange rate,1.79,1393.587
ABW,2001,2410.1,Derived using data on exports from UN and the spliced USD exchange rate,1.79,1346.425
