ISO3,year,finv,source,nGDP,finv_GDP
ABW,1970,103.7065,Derived using data on fixed investment from UN and the spliced GDP,353.7469,.2931658
ABW,1971,109.2349,Derived using data on fixed investment from UN and the spliced GDP,372.6045,.2931659
ABW,1972,115.058,Derived using data on fixed investment from UN and the spliced GDP,392.4673,.2931658
ABW,1973,121.1915,Derived using data on fixed investment from UN and the spliced GDP,413.389,.2931658
ABW,1974,127.6521,Derived using data on fixed investment from UN and the spliced GDP,435.4261,.293166
ABW,1975,134.4569,Derived using data on fixed investment from UN and the spliced GDP,458.6378,.2931658
ABW,1976,141.6245,Derived using data on fixed investment from UN and the spliced GDP,483.0869,.2931656
ABW,1977,149.1748,Derived using data on fixed investment from UN and the spliced GDP,508.8394,.2931667
ABW,1978,157.1261,Derived using data on fixed investment from UN and the spliced GDP,535.9647,.293165
ABW,1979,165.5022,Derived using data on fixed investment from UN and the spliced GDP,564.536,.293165
ABW,1980,174.3279,Derived using data on fixed investment from UN and the spliced GDP,594.6304,.2931702
ABW,1981,183.6145,Derived using data on fixed investment from UN and the spliced GDP,626.329,.2931597
ABW,1982,193.4061,Derived using data on fixed investment from UN and the spliced GDP,659.7175,.293165
ABW,1983,203.7307,Derived using data on fixed investment from UN and the spliced GDP,694.8858,.2931859
ABW,1984,214.549,Derived using data on fixed investment from UN and the spliced GDP,731.9289,.2931283
ABW,1985,226.0268,Derived using data on fixed investment from UN and the spliced GDP,770.9467,.2931809
ABW,1986,238.1309,Derived using data on fixed investment from UN and the spliced GDP,812.0444,.2932486
ABW,1987,286.0851,Derived using data on fixed investment from UN and the spliced GDP,976.5489,.2929553
ABW,1988,350.3906,Derived using data on fixed investment from UN and the spliced GDP,1194.491,.2933388
ABW,1989,408.6389,Derived using data on fixed investment from UN and the spliced GDP,1392.525,.2934517
ABW,1990,447.425,Derived using data on fixed investment from UN and the spliced GDP,1531.882,.2920753
ABW,1991,514.3792,Derived using data on fixed investment from UN and the spliced GDP,1746.681,.2944894
ABW,1992,563.9508,Derived using data on fixed investment from UN and the spliced GDP,1919.568,.2937905
ABW,1993,624.5386,Derived using data on fixed investment from UN and the spliced GDP,2168.944,.2879459
ABW,1994,752.8377,Derived using data on fixed investment from UN and the spliced GDP,2495.054,.301732
ABW,1995,722.5946,Derived using data on fixed investment from UN and the spliced GDP,2477.24,.2916935
ABW,1996,699.9122,Derived using data on fixed investment from UN and the spliced GDP,2588.317,.2704121
ABW,1997,836.0063,Derived using data on fixed investment from UN and the spliced GDP,2873.346,.2909521
ABW,1998,920.255,Derived using data on fixed investment from UN and the spliced GDP,3123.795,.2945952
ABW,1999,971.1498,Derived using data on fixed investment from UN and the spliced GDP,3231.53,.3005233
ABW,2000,806.41,Derived using data on fixed investment from UN and the spliced GDP,3353.48,.2404696
ABW,2001,767.61,Derived using data on fixed investment from UN and the spliced GDP,3394.658,.2261229
ABW,2002,881.75,Derived using data on fixed investment from UN and the spliced GDP,3511.7,.2510892
ABW,2003,980.01,Derived using data on fixed investment from UN and the spliced GDP,3658.96,.2678384
ABW,2004,1073.34,Derived using data on fixed investment from UN and the spliced GDP,4036.147,.2659318
ABW,2005,1338.58,Derived using data on fixed investment from UN and the spliced GDP,4224.43,.3168664
ABW,2006,1462.03,Derived using data on fixed investment from UN and the spliced GDP,4420.91,.3307079
ABW,2007,1446.76,Derived using data on fixed investment from UN and the spliced GDP,4792.98,.3018498
ABW,2008,1554.87,Derived using data on fixed investment from UN and the spliced GDP,5089.01,.3055349
ABW,2009,1265.17,Derived using data on fixed investment from UN and the spliced GDP,4571.29,.2767643
ABW,2010,1171.21,Derived using data on fixed investment from UN and the spliced GDP,4391.94,.2666726
ABW,2011,1221.08,Derived using data on fixed investment from UN and the spliced GDP,4721.77,.2586064
ABW,2012,1025.63,Derived using data on fixed investment from UN and the spliced GDP,4681.22,.2190946
ABW,2013,1087.87,Derived using data on fixed investment from UN and the spliced GDP,4882.85,.2227941
ABW,2014,1079.05,Derived using data on fixed investment from UN and the spliced GDP,4995.62,.2159992
ABW,2015,1066.83,Derived using data on fixed investment from UN and the spliced GDP,5303.6,.201152
ABW,2016,1023.34,Derived using data on fixed investment from UN and the spliced GDP,5340.71,.1916112
ABW,2017,1062.09,Derived using data on fixed investment from UN and the spliced GDP,5535.45,.1918706
ABW,2018,1238.21,Derived using data on fixed investment from UN and the spliced GDP,5864.37,.2111412
ABW,2019,1288.41,Derived using data on fixed investment from UN and the spliced GDP,6078.48,.2119625
ABW,2020,1074.148,Derived using data on fixed investment from UN and the spliced GDP,4442.524,.2417878
ABW,2021,1142.509,Derived using data on fixed investment from UN and the spliced GDP,5243.709,.2178818
ABW,2022,1227.864,Derived using data on fixed investment from UN and the spliced GDP,5870.025,.2091752
ABW,2023,1401.606,Derived using data on fixed investment from UN and the spliced GDP,6530.946,.21461
AFG,1970,4.29985,Derived using data on fixed investment from UN and the spliced GDP,78.69714,.0546379
AFG,1971,4.499842,Derived using data on fixed investment from UN and the spliced GDP,82.39703,.0546117
AFG,1972,4.699836,Derived using data on fixed investment from UN and the spliced GDP,71.79749,.0654596
AFG,1973,5.6998,Derived using data on fixed investment from UN and the spliced GDP,77.99727,.0730769
AFG,1974,8.499703,Derived using data on fixed investment from UN and the spliced GDP,96.9966,.0876289
