ISO3,year,finv,source,USDfx,finv_USD
ABW,1970,103.7065,Derived using data on fixed investment from UN and the spliced USD exchange rate,1.79,57.9366
ABW,1971,109.2349,Derived using data on fixed investment from UN and the spliced USD exchange rate,1.79,61.0251
ABW,1972,115.058,Derived using data on fixed investment from UN and the spliced USD exchange rate,1.79,64.27823
ABW,1973,121.1915,Derived using data on fixed investment from UN and the spliced USD exchange rate,1.79,67.70477
ABW,1974,127.6521,Derived using data on fixed investment from UN and the spliced USD exchange rate,1.79,71.31403
ABW,1975,134.4569,Derived using data on fixed investment from UN and the spliced USD exchange rate,1.79,75.11559
ABW,1976,141.6245,Derived using data on fixed investment from UN and the spliced USD exchange rate,1.79,79.11981
ABW,1977,149.1748,Derived using data on fixed investment from UN and the spliced USD exchange rate,1.79,83.33788
ABW,1978,157.1261,Derived using data on fixed investment from UN and the spliced USD exchange rate,1.79,87.77994
ABW,1979,165.5022,Derived using data on fixed investment from UN and the spliced USD exchange rate,1.79,92.45933
ABW,1980,174.3279,Derived using data on fixed investment from UN and the spliced USD exchange rate,1.79,97.38991
ABW,1981,183.6145,Derived using data on fixed investment from UN and the spliced USD exchange rate,1.79,102.5779
ABW,1982,193.4061,Derived using data on fixed investment from UN and the spliced USD exchange rate,1.79,108.0481
ABW,1983,203.7307,Derived using data on fixed investment from UN and the spliced USD exchange rate,1.79,113.8161
ABW,1984,214.549,Derived using data on fixed investment from UN and the spliced USD exchange rate,1.79,119.8598
ABW,1985,226.0268,Derived using data on fixed investment from UN and the spliced USD exchange rate,1.79,126.272
ABW,1986,238.1309,Derived using data on fixed investment from UN and the spliced USD exchange rate,1.79,133.034
ABW,1987,286.0851,Derived using data on fixed investment from UN and the spliced USD exchange rate,1.79,159.8241
ABW,1988,350.3906,Derived using data on fixed investment from UN and the spliced USD exchange rate,1.79,195.749
ABW,1989,408.6389,Derived using data on fixed investment from UN and the spliced USD exchange rate,1.79,228.2899
ABW,1990,447.425,Derived using data on fixed investment from UN and the spliced USD exchange rate,1.79,249.9581
ABW,1991,514.3792,Derived using data on fixed investment from UN and the spliced USD exchange rate,1.79,287.3627
ABW,1992,563.9508,Derived using data on fixed investment from UN and the spliced USD exchange rate,1.79,315.0563
ABW,1993,624.5386,Derived using data on fixed investment from UN and the spliced USD exchange rate,1.79,348.9042
ABW,1994,752.8377,Derived using data on fixed investment from UN and the spliced USD exchange rate,1.79,420.5797
ABW,1995,722.5946,Derived using data on fixed investment from UN and the spliced USD exchange rate,1.79,403.6841
ABW,1996,699.9122,Derived using data on fixed investment from UN and the spliced USD exchange rate,1.79,391.0124
ABW,1997,836.0063,Derived using data on fixed investment from UN and the spliced USD exchange rate,1.79,467.0426
ABW,1998,920.255,Derived using data on fixed investment from UN and the spliced USD exchange rate,1.79,514.1089
ABW,1999,971.1498,Derived using data on fixed investment from UN and the spliced USD exchange rate,1.79,542.5418
ABW,2000,806.41,Derived using data on fixed investment from UN and the spliced USD exchange rate,1.79,450.5084
ABW,2001,767.61,Derived using data on fixed investment from UN and the spliced USD exchange rate,1.79,428.8324
ABW,2002,881.75,Derived using data on fixed investment from UN and the spliced USD exchange rate,1.79,492.5978
ABW,2003,980.01,Derived using data on fixed investment from UN and the spliced USD exchange rate,1.79,547.4916
ABW,2004,1073.34,Derived using data on fixed investment from UN and the spliced USD exchange rate,1.79,599.6313
ABW,2005,1338.58,Derived using data on fixed investment from UN and the spliced USD exchange rate,1.79,747.8101
ABW,2006,1462.03,Derived using data on fixed investment from UN and the spliced USD exchange rate,1.79,816.7766
ABW,2007,1446.76,Derived using data on fixed investment from UN and the spliced USD exchange rate,1.79,808.2458
ABW,2008,1554.87,Derived using data on fixed investment from UN and the spliced USD exchange rate,1.79,868.6425
ABW,2009,1265.17,Derived using data on fixed investment from UN and the spliced USD exchange rate,1.79,706.799
ABW,2010,1171.21,Derived using data on fixed investment from UN and the spliced USD exchange rate,1.79,654.3073
ABW,2011,1221.08,Derived using data on fixed investment from UN and the spliced USD exchange rate,1.79,682.1676
ABW,2012,1025.63,Derived using data on fixed investment from UN and the spliced USD exchange rate,1.79,572.9777
ABW,2013,1087.87,Derived using data on fixed investment from UN and the spliced USD exchange rate,1.79,607.7486
ABW,2014,1079.05,Derived using data on fixed investment from UN and the spliced USD exchange rate,1.79,602.8213
ABW,2015,1066.83,Derived using data on fixed investment from UN and the spliced USD exchange rate,1.79,595.9944
ABW,2016,1023.34,Derived using data on fixed investment from UN and the spliced USD exchange rate,1.79,571.6984
ABW,2017,1062.09,Derived using data on fixed investment from UN and the spliced USD exchange rate,1.79,593.3464
ABW,2018,1238.21,Derived using data on fixed investment from UN and the spliced USD exchange rate,1.79,691.7374
ABW,2019,1288.41,Derived using data on fixed investment from UN and the spliced USD exchange rate,1.79,719.7822
ABW,2020,1074.148,Derived using data on fixed investment from UN and the spliced USD exchange rate,1.79,600.0829
ABW,2021,1142.509,Derived using data on fixed investment from UN and the spliced USD exchange rate,1.79,638.2731
ABW,2022,1227.864,Derived using data on fixed investment from UN and the spliced USD exchange rate,1.79,685.9574
ABW,2023,1401.606,Derived using data on fixed investment from UN and the spliced USD exchange rate,1.79,783.0204
AFG,1970,4.29985,Derived using data on fixed investment from UN and the spliced USD exchange rate,38.69226,.1111295
AFG,1971,4.499842,Derived using data on fixed investment from UN and the spliced USD exchange rate,38.69226,.1162983
AFG,1972,4.699836,Derived using data on fixed investment from UN and the spliced USD exchange rate,38.69226,.1214671
AFG,1973,5.6998,Derived using data on fixed investment from UN and the spliced USD exchange rate,38.69226,.1473111
AFG,1974,8.499703,Derived using data on fixed investment from UN and the spliced USD exchange rate,38.37871,.2214692
AFG,1975,10.39964,Derived using data on fixed investment from UN and the spliced USD exchange rate,34.92963,.2977311
