ISO3,year,gen_govdebt_GDP,source,nGDP,gen_govdebt
ABW,1995,55.095,Derived using data on general government debt to GDP from IMF_WEO and the spliced GDP,2477.24,1364.835
ABW,1996,54.771,Derived using data on general government debt to GDP from IMF_WEO and the spliced GDP,2588.317,1417.647
ABW,1997,51.068,Derived using data on general government debt to GDP from IMF_WEO and the spliced GDP,2873.346,1467.361
ABW,1998,41.039,Derived using data on general government debt to GDP from IMF_WEO and the spliced GDP,3123.795,1281.974
ABW,1999,39.288,Derived using data on general government debt to GDP from IMF_WEO and the spliced GDP,3231.53,1269.603
ABW,2000,38.613,Derived using data on general government debt to GDP from IMF_WEO and the spliced GDP,3353.48,1294.879
ABW,2001,44.326,Derived using data on general government debt to GDP from IMF_WEO and the spliced GDP,3394.658,1504.716
ABW,2002,47.079,Derived using data on general government debt to GDP from IMF_WEO and the spliced GDP,3511.7,1653.273
ABW,2003,40.848,Derived using data on general government debt to GDP from IMF_WEO and the spliced GDP,3658.96,1494.612
ABW,2004,42.543,Derived using data on general government debt to GDP from IMF_WEO and the spliced GDP,4036.147,1717.098
ABW,2005,45.093,Derived using data on general government debt to GDP from IMF_WEO and the spliced GDP,4224.43,1904.922
ABW,2006,45.518,Derived using data on general government debt to GDP from IMF_WEO and the spliced GDP,4420.91,2012.31
ABW,2007,44.558,Derived using data on general government debt to GDP from IMF_WEO and the spliced GDP,4792.98,2135.656
ABW,2008,40.31,Derived using data on general government debt to GDP from IMF_WEO and the spliced GDP,5089.01,2051.38
ABW,2009,48.785,Derived using data on general government debt to GDP from IMF_WEO and the spliced GDP,4571.29,2230.104
ABW,2010,54.662,Derived using data on general government debt to GDP from IMF_WEO and the spliced GDP,4391.94,2400.722
ABW,2011,59.347,Derived using data on general government debt to GDP from IMF_WEO and the spliced GDP,4721.77,2802.229
ABW,2012,65.533,Derived using data on general government debt to GDP from IMF_WEO and the spliced GDP,4681.22,3067.744
ABW,2013,70.032,Derived using data on general government debt to GDP from IMF_WEO and the spliced GDP,4882.85,3419.557
ABW,2014,77.709,Derived using data on general government debt to GDP from IMF_WEO and the spliced GDP,4995.62,3882.046
ABW,2015,74.177,Derived using data on general government debt to GDP from IMF_WEO and the spliced GDP,5303.6,3934.052
ABW,2016,75.387,Derived using data on general government debt to GDP from IMF_WEO and the spliced GDP,5340.71,4026.201
ABW,2017,75.825,Derived using data on general government debt to GDP from IMF_WEO and the spliced GDP,5535.45,4197.255
ABW,2018,73.31,Derived using data on general government debt to GDP from IMF_WEO and the spliced GDP,5864.37,4299.169
ABW,2019,71.053,Derived using data on general government debt to GDP from IMF_WEO and the spliced GDP,6078.48,4318.942
ABW,2020,112.339,Derived using data on general government debt to GDP from IMF_WEO and the spliced GDP,4442.524,4990.688
ABW,2021,101.816,Derived using data on general government debt to GDP from IMF_WEO and the spliced GDP,5243.709,5338.936
ABW,2022,90.079,Derived using data on general government debt to GDP from IMF_WEO and the spliced GDP,5870.025,5287.66
ABW,2023,78.68061,Derived using data on general government debt to GDP from IMF_FPP and the spliced GDP,6530.946,5138.588
ABW,2024,70.88765,Derived using data on general government debt to GDP from IMF_WEO_forecast and the spliced GDP,7264.85,5149.881
ABW,2025,66.33067,Derived using data on general government debt to GDP from IMF_WEO_forecast and the spliced GDP,7583.199,5029.987
ABW,2026,62.44769,Derived using data on general government debt to GDP from IMF_WEO_forecast and the spliced GDP,7851.985,4903.384
ABW,2027,58.93271,Derived using data on general government debt to GDP from IMF_WEO_forecast and the spliced GDP,8122.678,4786.914
ABW,2028,55.63372,Derived using data on general government debt to GDP from IMF_WEO_forecast and the spliced GDP,8400.995,4673.787
ABW,2029,52.59274,Derived using data on general government debt to GDP from IMF_WEO_forecast and the spliced GDP,8688.844,4569.701
AFG,2002,345.977,Derived using data on general government debt to GDP from IMF_WEO and the spliced GDP,202531,700710.7
AFG,2003,270.602,Derived using data on general government debt to GDP from IMF_WEO and the spliced GDP,238878.5,646410.1
AFG,2004,244.967,Derived using data on general government debt to GDP from IMF_WEO and the spliced GDP,263344.1,645106.1
AFG,2005,206.356,Derived using data on general government debt to GDP from IMF_WEO and the spliced GDP,320476.5,661322.6
AFG,2006,22.985,Derived using data on general government debt to GDP from IMF_WEO and the spliced GDP,364100.1,83688.41
AFG,2007,20.137,Derived using data on general government debt to GDP from IMF_WEO and the spliced GDP,499587,100601.8
AFG,2008,19.057,Derived using data on general government debt to GDP from IMF_WEO and the spliced GDP,517377.4,98596.61
AFG,2009,16.247,Derived using data on general government debt to GDP from IMF_WEO and the spliced GDP,600457.8,97556.38
AFG,2010,7.697,Derived using data on general government debt to GDP from IMF_WEO and the spliced GDP,703502.6,54148.59
AFG,2011,7.501,Derived using data on general government debt to GDP from IMF_WEO and the spliced GDP,837851.3,62847.23
AFG,2012,6.759,Derived using data on general government debt to GDP from IMF_WEO and the spliced GDP,1007959,68127.94
AFG,2013,6.904,Derived using data on general government debt to GDP from IMF_WEO and the spliced GDP,1102256,76099.78
AFG,2014,8.7,Derived using data on general government debt to GDP from IMF_WEO and the spliced GDP,1116353,97122.68
AFG,2015,9.154,Derived using data on general government debt to GDP from IMF_WEO and the spliced GDP,1143357,104662.9
AFG,2016,8.437,Derived using data on general government debt to GDP from IMF_WEO and the spliced GDP,1236815,104350.1
AFG,2017,7.998,Derived using data on general government debt to GDP from IMF_WEO and the spliced GDP,1294845,103561.7
AFG,2018,7.384,Derived using data on general government debt to GDP from IMF_WEO and the spliced GDP,1359225,100365.2
AFG,2019,6.35,Derived using data on general government debt to GDP from IMF_WEO and the spliced GDP,1505967,95628.93
AFG,2020,7.797,Derived using data on general government debt to GDP from IMF_WEO and the spliced GDP,1534966,119681.3
AGO,1995,138.101,Derived using data on general government debt to GDP from IMF_HDD and the spliced GDP,18.26765,25.22782
AGO,1996,91.99272,Derived using data on general government debt to GDP from IMF_FPP and the spliced GDP,1117.154,1027.7
AGO,1997,73.46271,Derived using data on general government debt to GDP from IMF_FPP and the spliced GDP,2342.345,1720.75
AGO,1998,96.34131,Derived using data on general government debt to GDP from IMF_FPP and the spliced GDP,3385.27,3261.413
AGO,1999,104.8277,Derived using data on general government debt to GDP from IMF_FPP and the spliced GDP,22959.67,24068.1
AGO,2000,118.243,Derived using data on general government debt to GDP from IMF_WEO and the spliced GDP,122568.5,144928.6
AGO,2001,100.221,Derived using data on general government debt to GDP from IMF_WEO and the spliced GDP,263560.6,264143.1
AGO,2002,65.107,Derived using data on general government debt to GDP from IMF_WEO and the spliced GDP,665385,433212.2
AGO,2003,50.76,Derived using data on general government debt to GDP from IMF_WEO and the spliced GDP,1328940,674569.9
AGO,2004,41.627,Derived using data on general government debt to GDP from IMF_WEO and the spliced GDP,1967570,819040.3
AGO,2005,29.886,Derived using data on general government debt to GDP from IMF_WEO and the spliced GDP,3222350,963031.5
AGO,2006,16.726,Derived using data on general government debt to GDP from IMF_WEO and the spliced GDP,4209762,704124.8
AGO,2007,18.804,Derived using data on general government debt to GDP from IMF_WEO and the spliced GDP,5006335,941391.3
AGO,2008,28.122,Derived using data on general government debt to GDP from IMF_WEO and the spliced GDP,6643353,1868244
AGO,2009,48.448,Derived using data on general government debt to GDP from IMF_WEO and the spliced GDP,5577341,2702110
AGO,2010,32.594,Derived using data on general government debt to GDP from IMF_WEO and the spliced GDP,7701652,2510277
AGO,2011,26.318,Derived using data on general government debt to GDP from IMF_WEO and the spliced GDP,1.05e+07,2763638
AGO,2012,23.805,Derived using data on general government debt to GDP from IMF_WEO and the spliced GDP,1.22e+07,2910150
AGO,2013,29.473,Derived using data on general government debt to GDP from IMF_WEO and the spliced GDP,1.32e+07,3888964
AGO,2014,35.274,Derived using data on general government debt to GDP from IMF_WEO and the spliced GDP,1.43e+07,5052598
AGO,2015,50.386,Derived using data on general government debt to GDP from IMF_WEO and the spliced GDP,1.40e+07,7028994
AGO,2016,66.67,Derived using data on general government debt to GDP from IMF_WEO and the spliced GDP,1.65e+07,1.10e+07
AGO,2017,60.492,Derived using data on general government debt to GDP from IMF_WEO and the spliced GDP,2.03e+07,1.23e+07
AGO,2018,82.541,Derived using data on general government debt to GDP from IMF_WEO and the spliced GDP,2.56e+07,2.12e+07
AGO,2019,101.373,Derived using data on general government debt to GDP from IMF_WEO and the spliced GDP,3.03e+07,3.07e+07
AGO,2020,119.145,Derived using data on general government debt to GDP from IMF_WEO and the spliced GDP,3.17e+07,3.78e+07
AGO,2021,74.292,Derived using data on general government debt to GDP from IMF_WEO and the spliced GDP,4.41e+07,3.28e+07
AGO,2022,56.10804,Derived using data on general government debt to GDP from IMF_FPP and the spliced GDP,5.22e+07,2.93e+07
AGO,2023,73.68198,Derived using data on general government debt to GDP from IMF_FPP and the spliced GDP,6.20e+07,4.57e+07
AGO,2024,59.28299,Derived using data on general government debt to GDP from IMF_WEO_forecast and the spliced GDP,8.07e+07,4.78e+07
AGO,2025,52.08499,Derived using data on general government debt to GDP from IMF_WEO_forecast and the spliced GDP,9.94e+07,5.18e+07
AGO,2026,44.76899,Derived using data on general government debt to GDP from IMF_WEO_forecast and the spliced GDP,1.18e+08,5.28e+07
AGO,2027,38.60099,Derived using data on general government debt to GDP from IMF_WEO_forecast and the spliced GDP,1.36e+08,5.25e+07
AGO,2028,34.97399,Derived using data on general government debt to GDP from IMF_WEO_forecast and the spliced GDP,1.56e+08,5.45e+07
AGO,2029,32.71599,Derived using data on general government debt to GDP from IMF_WEO_forecast and the spliced GDP,1.79e+08,5.86e+07
AIA,2000,9.13,Derived using data on general government debt to GDP from IMF_HDD and the spliced GDP,410.693,37.49627
AIA,2001,10.56,Derived using data on general government debt to GDP from IMF_HDD and the spliced GDP,420.9641,44.45382
AIA,2002,12.25,Derived using data on general government debt to GDP from IMF_HDD and the spliced GDP,423.1012,51.82989
AIA,2003,11.68,Derived using data on general government debt to GDP from IMF_HDD and the spliced GDP,460.5411,53.79121
AIA,2004,15.99,Derived using data on general government debt to GDP from IMF_HDD and the spliced GDP,544.1625,87.01159
AIA,2005,17.45,Derived using data on general government debt to GDP from IMF_HDD and the spliced GDP,617.7886,107.8041
AIA,2006,14.04,Derived using data on general government debt to GDP from IMF_HDD and the spliced GDP,765.0447,107.4123
AIA,2007,14.04,Derived using data on general government debt to GDP from IMF_HDD and the spliced GDP,957.2799,134.4021
AIA,2008,15.4,Derived using data on general government debt to GDP from IMF_HDD and the spliced GDP,960.6457,147.9394
AIA,2009,25.1,Derived using data on general government debt to GDP from IMF_HDD and the spliced GDP,765.4584,192.1301
AIA,2010,32.5,Derived using data on general government debt to GDP from IMF_HDD and the spliced GDP,720.9688,234.3149
AIA,2011,29.21,Derived using data on general government debt to GDP from IMF_HDD and the spliced GDP,790.2328,230.827
AIA,2012,30.94,Derived using data on general government debt to GDP from IMF_HDD and the spliced GDP,773.9076,239.447
AIA,2013,30.42,Derived using data on general government debt to GDP from IMF_HDD and the spliced GDP,773.5588,235.3166
AIA,2014,24.11,Derived using data on general government debt to GDP from IMF_HDD and the spliced GDP,853.6184,205.8074
AIA,2015,22.15,Derived using data on general government debt to GDP from IMF_HDD and the spliced GDP,891.9136,197.5589
ALB,1994,34.58765,Derived using data on general government debt to GDP from IMF_GDD and the spliced GDP,216090.8,74740.73
ALB,1995,41.22959,Derived using data on general government debt to GDP from IMF_GDD and the spliced GDP,269295.2,111029.3
ALB,1996,48.7152,Derived using data on general government debt to GDP from IMF_GDD and the spliced GDP,338000.3,164657.5
ALB,1997,72.194,Derived using data on general government debt to GDP from IMF_WEO and the spliced GDP,336480.8,242919
ALB,1998,71.184,Derived using data on general government debt to GDP from IMF_WEO and the spliced GDP,393070,279802.9
ALB,1999,68.183,Derived using data on general government debt to GDP from IMF_WEO and the spliced GDP,453512.3,309218.3
ALB,2000,63.769,Derived using data on general government debt to GDP from IMF_WEO and the spliced GDP,516206.8,329179.9
ALB,2001,60.613,Derived using data on general government debt to GDP from IMF_WEO and the spliced GDP,583125.1,353449.6
ALB,2002,64.097,Derived using data on general government debt to GDP from IMF_WEO and the spliced GDP,633932.6,406331.8
ALB,2003,60.245,Derived using data on general government debt to GDP from IMF_WEO and the spliced GDP,700711.6,422143.7
ALB,2004,57.474,Derived using data on general government debt to GDP from IMF_WEO and the spliced GDP,760444.8,437058
ALB,2005,58.203,Derived using data on general government debt to GDP from IMF_WEO and the spliced GDP,824594.6,479938.8
ALB,2006,56.688,Derived using data on general government debt to GDP from IMF_WEO and the spliced GDP,897697.7,508886.9
ALB,2007,53.55,Derived using data on general government debt to GDP from IMF_WEO and the spliced GDP,1005281,538328.1
ALB,2008,55.14,Derived using data on general government debt to GDP from IMF_WEO and the spliced GDP,1112317,613331.6
ALB,2009,59.666,Derived using data on general government debt to GDP from IMF_WEO and the spliced GDP,1171607,699050.8
ALB,2010,57.72,Derived using data on general government debt to GDP from IMF_WEO and the spliced GDP,1256235,725099
ALB,2011,59.413,Derived using data on general government debt to GDP from IMF_WEO and the spliced GDP,1308998,777714.9
ALB,2012,62.144,Derived using data on general government debt to GDP from IMF_WEO and the spliced GDP,1324877,823331.8
ALB,2013,70.391,Derived using data on general government debt to GDP from IMF_WEO and the spliced GDP,1352247,951860
ALB,2014,71.992,Derived using data on general government debt to GDP from IMF_WEO and the spliced GDP,1402496,1009685
ALB,2015,73.716,Derived using data on general government debt to GDP from IMF_WEO and the spliced GDP,1444802,1065050
ALB,2016,73.324,Derived using data on general government debt to GDP from IMF_WEO and the spliced GDP,1488303,1091284
ALB,2017,71.895,Derived using data on general government debt to GDP from IMF_WEO and the spliced GDP,1579056,1135262
ALB,2018,69.472,Derived using data on general government debt to GDP from IMF_WEO and the spliced GDP,1660820,1153805
ALB,2019,67.368,Derived using data on general government debt to GDP from IMF_WEO and the spliced GDP,1712037,1153365
ALB,2020,75.772,Derived using data on general government debt to GDP from IMF_WEO and the spliced GDP,1655985,1254773
ALB,2021,75.218,Derived using data on general government debt to GDP from IMF_WEO and the spliced GDP,1866672,1404073
ALB,2022,65.54575,Derived using data on general government debt to GDP from IMF_FPP and the spliced GDP,2149742,1409064
ALB,2023,59.81147,Derived using data on general government debt to GDP from IMF_FPP and the spliced GDP,2364276,1414108
ALB,2024,58.29546,Derived using data on general government debt to GDP from IMF_WEO_forecast and the spliced GDP,2517820,1467775
ALB,2025,56.96745,Derived using data on general government debt to GDP from IMF_WEO_forecast and the spliced GDP,2668823,1520360
ALB,2026,56.20244,Derived using data on general government debt to GDP from IMF_WEO_forecast and the spliced GDP,2831995,1591651
ALB,2027,55.45644,Derived using data on general government debt to GDP from IMF_WEO_forecast and the spliced GDP,3015590,1672339
ALB,2028,54.61643,Derived using data on general government debt to GDP from IMF_WEO_forecast and the spliced GDP,3212191,1754384
ALB,2029,53.69742,Derived using data on general government debt to GDP from IMF_WEO_forecast and the spliced GDP,3422070,1837563
AND,2001,15.774,Derived using data on general government debt to GDP from IMF_WEO and the spliced GDP,1728.691,272.6837
AND,2002,15.266,Derived using data on general government debt to GDP from IMF_WEO and the spliced GDP,1865.833,284.8381
AND,2003,15.163,Derived using data on general government debt to GDP from IMF_WEO and the spliced GDP,2092.49,317.2842
AND,2004,15.105,Derived using data on general government debt to GDP from IMF_WEO and the spliced GDP,2331.566,352.183
AND,2005,14.76,Derived using data on general government debt to GDP from IMF_WEO and the spliced GDP,2540.884,375.0344
AND,2006,17.165,Derived using data on general government debt to GDP from IMF_WEO and the spliced GDP,2755.127,472.9176
AND,2007,20.872,Derived using data on general government debt to GDP from IMF_WEO and the spliced GDP,2887.768,602.7349
AND,2008,27.749,Derived using data on general government debt to GDP from IMF_WEO and the spliced GDP,2789.261,773.9921
AND,2009,33.512,Derived using data on general government debt to GDP from IMF_WEO and the spliced GDP,2644.839,886.3383
AND,2010,35.02,Derived using data on general government debt to GDP from IMF_WEO and the spliced GDP,2602.312,911.3297
AND,2011,36.493,Derived using data on general government debt to GDP from IMF_WEO and the spliced GDP,2607.221,951.4532
AND,2012,41.532,Derived using data on general government debt to GDP from IMF_WEO and the spliced GDP,2481.846,1030.76
AND,2013,42.533,Derived using data on general government debt to GDP from IMF_WEO and the spliced GDP,2404.538,1022.722
AND,2014,42.025,Derived using data on general government debt to GDP from IMF_WEO and the spliced GDP,2462.69,1034.946
AND,2015,40.955,Derived using data on general government debt to GDP from IMF_WEO and the spliced GDP,2514.508,1029.817
AND,2016,39.773,Derived using data on general government debt to GDP from IMF_WEO and the spliced GDP,2616.862,1040.804
AND,2017,37.854,Derived using data on general government debt to GDP from IMF_WEO and the spliced GDP,2655.758,1005.311
AND,2018,36.344,Derived using data on general government debt to GDP from IMF_WEO and the spliced GDP,2725.27,990.472
AND,2019,35.365,Derived using data on general government debt to GDP from IMF_WEO and the spliced GDP,2818.422,996.7351
AND,2020,46.353,Derived using data on general government debt to GDP from IMF_WEO and the spliced GDP,2531.087,1173.235
AND,2021,48.614,Derived using data on general government debt to GDP from IMF_WEO and the spliced GDP,2810.965,1366.523
AND,2022,38.915,Derived using data on general government debt to GDP from IMF_WEO and the spliced GDP,3210.31,1249.292
AND,2023,,Derived using data on general government debt to GDP from IMF_WEO_forecast and the spliced GDP,3500.58,
AND,2024,,Derived using data on general government debt to GDP from IMF_WEO_forecast and the spliced GDP,3732.37,
AND,2025,,Derived using data on general government debt to GDP from IMF_WEO_forecast and the spliced GDP,3877.107,
AND,2026,,Derived using data on general government debt to GDP from IMF_WEO_forecast and the spliced GDP,4012.606,
AND,2027,,Derived using data on general government debt to GDP from IMF_WEO_forecast and the spliced GDP,4142.972,
AND,2028,,Derived using data on general government debt to GDP from IMF_WEO_forecast and the spliced GDP,4277.444,
AND,2029,,Derived using data on general government debt to GDP from IMF_WEO_forecast and the spliced GDP,4414.996,
ARE,1973,.749365,Derived using data on general government debt to GDP from IMF_GDD and the spliced GDP,17054.82,127.8028
ARE,1974,1.155707,Derived using data on general government debt to GDP from IMF_GDD and the spliced GDP,46593.84,538.4881
ARE,1975,1.854354,Derived using data on general government debt to GDP from IMF_GDD and the spliced GDP,59075.06,1095.461
ARE,1976,3.307124,Derived using data on general government debt to GDP from IMF_GDD and the spliced GDP,76943.77,2544.625
ARE,1977,3.804993,Derived using data on general government debt to GDP from IMF_GDD and the spliced GDP,98350.25,3742.22
ARE,1978,3.612234,Derived using data on general government debt to GDP from IMF_GDD and the spliced GDP,93243.65,3368.179
ARE,1979,3.860047,Derived using data on general government debt to GDP from IMF_GDD and the spliced GDP,120703.7,4659.218
ARE,1980,2.596167,Derived using data on general government debt to GDP from IMF_GDD and the spliced GDP,163750.3,4251.229
ARE,1981,2.387229,Derived using data on general government debt to GDP from IMF_GDD and the spliced GDP,183469.9,4379.847
ARE,1982,2.631481,Derived using data on general government debt to GDP from IMF_GDD and the spliced GDP,173388.7,4562.69
ARE,1983,3.230878,Derived using data on general government debt to GDP from IMF_GDD and the spliced GDP,159184.6,5143.061
ARE,1984,3.621274,Derived using data on general government debt to GDP from IMF_GDD and the spliced GDP,155482.6,5630.451
ARE,1985,4.058427,Derived using data on general government debt to GDP from IMF_GDD and the spliced GDP,151003.8,6128.381
ARE,1986,5.586663,Derived using data on general government debt to GDP from IMF_GDD and the spliced GDP,126235.2,7052.338
ARE,1987,5.511879,Derived using data on general government debt to GDP from IMF_GDD and the spliced GDP,135314.1,7458.352
ARE,1988,5.840014,Derived using data on general government debt to GDP from IMF_GDD and the spliced GDP,134908.1,7878.649
ARE,1989,5.420835,Derived using data on general government debt to GDP from IMF_GDD and the spliced GDP,154207.1,8359.313
ARE,1990,4.486554,Derived using data on general government debt to GDP from IMF_GDD and the spliced GDP,188557.1,8459.716
ARE,1991,4.973335,Derived using data on general government debt to GDP from IMF_FPP and the spliced GDP,191720.8,9534.916
ARE,1992,5.313056,Derived using data on general government debt to GDP from IMF_FPP and the spliced GDP,201714.1,10717.18
ARE,1993,6.011347,Derived using data on general government debt to GDP from IMF_FPP and the spliced GDP,206868.9,12435.61
ARE,1994,5.583848,Derived using data on general government debt to GDP from IMF_FPP and the spliced GDP,220554.2,12315.41
ARE,1995,5.062284,Derived using data on general government debt to GDP from IMF_FPP and the spliced GDP,244498.8,12377.22
ARE,1996,3.48288,Derived using data on general government debt to GDP from IMF_FPP and the spliced GDP,273609.4,9529.488
ARE,1997,2.859139,Derived using data on general government debt to GDP from IMF_FPP and the spliced GDP,293199.8,8382.989
ARE,1998,4.183248,Derived using data on general government debt to GDP from IMF_FPP and the spliced GDP,281546.1,11777.77
ARE,1999,4.727,Derived using data on general government debt to GDP from IMF_WEO and the spliced GDP,314178.6,14851.22
ARE,2000,3.12,Derived using data on general government debt to GDP from IMF_WEO and the spliced GDP,388186.8,12111.43
ARE,2001,2.69,Derived using data on general government debt to GDP from IMF_WEO and the spliced GDP,384370.3,10339.56
ARE,2002,3.427,Derived using data on general government debt to GDP from IMF_WEO and the spliced GDP,408570.4,14001.71
ARE,2003,3.332,Derived using data on general government debt to GDP from IMF_WEO and the spliced GDP,462629.8,15414.82
ARE,2004,4.08,Derived using data on general government debt to GDP from IMF_WEO and the spliced GDP,549979.1,22439.15
ARE,2005,4.482,Derived using data on general government debt to GDP from IMF_WEO and the spliced GDP,671985.6,30118.39
ARE,2006,5.052,Derived using data on general government debt to GDP from IMF_WEO and the spliced GDP,826382.6,41748.85
ARE,2007,8.892,Derived using data on general government debt to GDP from IMF_WEO and the spliced GDP,959575.3,85325.43
ARE,2008,8.949,Derived using data on general government debt to GDP from IMF_WEO and the spliced GDP,1187600,106278.3
ARE,2009,21.136,Derived using data on general government debt to GDP from IMF_WEO and the spliced GDP,965761.2,204123.3
ARE,2010,18.799,Derived using data on general government debt to GDP from IMF_WEO and the spliced GDP,1102444,207248.5
ARE,2011,20.862,Derived using data on general government debt to GDP from IMF_WEO and the spliced GDP,1325158,276454.5
ARE,2012,20.657,Derived using data on general government debt to GDP from IMF_WEO and the spliced GDP,1412481,291776.1
ARE,2013,15.611,Derived using data on general government debt to GDP from IMF_WEO and the spliced GDP,1469803,229450.9
ARE,2014,13.819,Derived using data on general government debt to GDP from IMF_WEO and the spliced GDP,1520802,210159.6
ARE,2015,16.104,Derived using data on general government debt to GDP from IMF_WEO and the spliced GDP,1359837,218988.1
ARE,2016,19.267,Derived using data on general government debt to GDP from IMF_WEO and the spliced GDP,1356090,261277.9
ARE,2017,21.864,Derived using data on general government debt to GDP from IMF_WEO and the spliced GDP,1434173,313567.6
ARE,2018,21.329,Derived using data on general government debt to GDP from IMF_WEO and the spliced GDP,1568339,334511.1
ARE,2019,26.801,Derived using data on general government debt to GDP from IMF_WEO and the spliced GDP,1535067,411413.4
ARE,2020,41.294,Derived using data on general government debt to GDP from IMF_WEO and the spliced GDP,1283440,529983.6
ARE,2021,36.291,Derived using data on general government debt to GDP from IMF_WEO and the spliced GDP,1524744,553344.9
ARE,2022,32.057,Derived using data on general government debt to GDP from IMF_WEO and the spliced GDP,1846283,591862.9
ARE,2023,32.43619,Derived using data on general government debt to GDP from IMF_FPP and the spliced GDP,1888144,612442
ARE,2024,31.42418,Derived using data on general government debt to GDP from IMF_WEO_forecast and the spliced GDP,1995455,627055.3
ARE,2025,31.28418,Derived using data on general government debt to GDP from IMF_WEO_forecast and the spliced GDP,2081540,651192.8
ARE,2026,30.74818,Derived using data on general government debt to GDP from IMF_WEO_forecast and the spliced GDP,2203056,677399.7
ARE,2027,30.23618,Derived using data on general government debt to GDP from IMF_WEO_forecast and the spliced GDP,2330998,704804.6
ARE,2028,29.86817,Derived using data on general government debt to GDP from IMF_WEO_forecast and the spliced GDP,2465774,736481.7
ARE,2029,29.44217,Derived using data on general government debt to GDP from IMF_WEO_forecast and the spliced GDP,2609172,768196.8
ARG,1864,5.176359,Derived using data on general government debt to GDP from IMF_FPP and the spliced GDP,3.18e-11,1.64e-12
ARG,1865,5.491586,Derived using data on general government debt to GDP from IMF_FPP and the spliced GDP,2.96e-11,1.62e-12
ARG,1866,8.100505,Derived using data on general government debt to GDP from IMF_FPP and the spliced GDP,2.64e-11,2.14e-12
ARG,1867,10.70942,Derived using data on general government debt to GDP from IMF_FPP and the spliced GDP,2.40e-11,2.57e-12
ARG,1868,14.23499,Derived using data on general government debt to GDP from IMF_FPP and the spliced GDP,2.46e-11,3.50e-12
ARG,1869,13.61283,Derived using data on general government debt to GDP from IMF_FPP and the spliced GDP,2.55e-11,3.47e-12
ARG,1870,15.37976,Derived using data on general government debt to GDP from IMF_FPP and the spliced GDP,2.69e-11,4.14e-12
ARG,1871,27.22566,Derived using data on general government debt to GDP from IMF_FPP and the spliced GDP,2.69e-11,7.33e-12
ARG,1872,23.75816,Derived using data on general government debt to GDP from IMF_FPP and the spliced GDP,2.92e-11,6.95e-12
ARG,1873,22.09077,Derived using data on general government debt to GDP from IMF_FPP and the spliced GDP,3.08e-11,6.80e-12
ARG,1874,21.82532,Derived using data on general government debt to GDP from IMF_FPP and the spliced GDP,3.06e-11,6.69e-12
ARG,1875,22.0493,Derived using data on general government debt to GDP from IMF_FPP and the spliced GDP,3.25e-11,7.17e-12
ARG,1876,23.59225,Derived using data on general government debt to GDP from IMF_FPP and the spliced GDP,3.62e-11,8.54e-12
ARG,1877,19.38646,Derived using data on general government debt to GDP from IMF_FPP and the spliced GDP,4.35e-11,8.44e-12
ARG,1878,19.73487,Derived using data on general government debt to GDP from IMF_FPP and the spliced GDP,4.51e-11,8.89e-12
ARG,1879,19.18737,Derived using data on general government debt to GDP from IMF_FPP and the spliced GDP,4.51e-11,8.66e-12
