ISO3,year,gen_govdef_GDP,source,nGDP,gen_govdef
ABW,1995,-.834,Derived using data on general government deficit to GDP from IMF_WEO and the spliced GDP,2477.24,-20.66018
ABW,1996,-2.343,Derived using data on general government deficit to GDP from IMF_WEO and the spliced GDP,2588.317,-60.64427
ABW,1997,-2.102,Derived using data on general government deficit to GDP from IMF_WEO and the spliced GDP,2873.346,-60.39774
ABW,1998,.114,Derived using data on general government deficit to GDP from IMF_WEO and the spliced GDP,3123.795,3.561126
ABW,1999,.086,Derived using data on general government deficit to GDP from IMF_WEO and the spliced GDP,3231.53,2.779115
ABW,2000,.645,Derived using data on general government deficit to GDP from IMF_WEO and the spliced GDP,3353.48,21.62995
ABW,2001,-.835,Derived using data on general government deficit to GDP from IMF_WEO and the spliced GDP,3394.658,-28.34539
ABW,2002,-3.169,Derived using data on general government deficit to GDP from IMF_WEO and the spliced GDP,3511.7,-111.2858
ABW,2003,1.896,Derived using data on general government deficit to GDP from IMF_WEO and the spliced GDP,3658.96,69.37388
ABW,2004,-8.531,Derived using data on general government deficit to GDP from IMF_WEO and the spliced GDP,4036.147,-344.3237
ABW,2005,-2.957,Derived using data on general government deficit to GDP from IMF_WEO and the spliced GDP,4224.43,-124.9164
ABW,2006,-2.541,Derived using data on general government deficit to GDP from IMF_WEO and the spliced GDP,4420.91,-112.3353
ABW,2007,-1.046,Derived using data on general government deficit to GDP from IMF_WEO and the spliced GDP,4792.98,-50.13457
ABW,2008,1.466,Derived using data on general government deficit to GDP from IMF_WEO and the spliced GDP,5089.01,74.60488
ABW,2009,-2.631,Derived using data on general government deficit to GDP from IMF_WEO and the spliced GDP,4571.29,-120.2706
ABW,2010,-3.487,Derived using data on general government deficit to GDP from IMF_WEO and the spliced GDP,4391.94,-153.1469
ABW,2011,-6.429,Derived using data on general government deficit to GDP from IMF_WEO and the spliced GDP,4721.77,-303.5626
ABW,2012,-8.955,Derived using data on general government deficit to GDP from IMF_WEO and the spliced GDP,4681.22,-419.2033
ABW,2013,-6.048,Derived using data on general government deficit to GDP from IMF_WEO and the spliced GDP,4882.85,-295.3148
ABW,2014,-7.459,Derived using data on general government deficit to GDP from IMF_WEO and the spliced GDP,4995.62,-372.6233
ABW,2015,-1.475,Derived using data on general government deficit to GDP from IMF_WEO and the spliced GDP,5303.6,-78.2281
ABW,2016,-1.455,Derived using data on general government deficit to GDP from IMF_WEO and the spliced GDP,5340.71,-77.70733
