ISO3,year,gen_govexp_GDP,source,nGDP,gen_govexp
ABW,1995,26.332,Derived using data on general government expenditure to GDP from IMF_WEO and the spliced GDP,2477.24,652.3067
ABW,1996,27.458,Derived using data on general government expenditure to GDP from IMF_WEO and the spliced GDP,2588.317,710.7001
ABW,1997,24.989,Derived using data on general government expenditure to GDP from IMF_WEO and the spliced GDP,2873.346,718.0206
ABW,1998,21.574,Derived using data on general government expenditure to GDP from IMF_WEO and the spliced GDP,3123.795,673.9275
ABW,1999,22.798,Derived using data on general government expenditure to GDP from IMF_WEO and the spliced GDP,3231.53,736.7241
ABW,2000,21.606,Derived using data on general government expenditure to GDP from IMF_WEO and the spliced GDP,3353.48,724.5529
ABW,2001,22.508,Derived using data on general government expenditure to GDP from IMF_WEO and the spliced GDP,3394.658,764.0696
ABW,2002,24.66,Derived using data on general government expenditure to GDP from IMF_WEO and the spliced GDP,3511.7,865.9852
ABW,2003,25.136,Derived using data on general government expenditure to GDP from IMF_WEO and the spliced GDP,3658.96,919.7162
ABW,2004,29.245,Derived using data on general government expenditure to GDP from IMF_WEO and the spliced GDP,4036.147,1180.371
ABW,2005,24.477,Derived using data on general government expenditure to GDP from IMF_WEO and the spliced GDP,4224.43,1034.014
ABW,2006,24.827,Derived using data on general government expenditure to GDP from IMF_WEO and the spliced GDP,4420.91,1097.579
ABW,2007,22.62,Derived using data on general government expenditure to GDP from IMF_WEO and the spliced GDP,4792.98,1084.172
ABW,2008,25.359,Derived using data on general government expenditure to GDP from IMF_WEO and the spliced GDP,5089.01,1290.522
ABW,2009,26.888,Derived using data on general government expenditure to GDP from IMF_WEO and the spliced GDP,4571.29,1229.129
ABW,2010,30.443,Derived using data on general government expenditure to GDP from IMF_WEO and the spliced GDP,4391.94,1337.038
ABW,2011,27.199,Derived using data on general government expenditure to GDP from IMF_WEO and the spliced GDP,4721.77,1284.274
ABW,2012,30.761,Derived using data on general government expenditure to GDP from IMF_WEO and the spliced GDP,4681.22,1439.99
ABW,2013,29.454,Derived using data on general government expenditure to GDP from IMF_WEO and the spliced GDP,4882.85,1438.195
ABW,2014,29.834,Derived using data on general government expenditure to GDP from IMF_WEO and the spliced GDP,4995.62,1490.393
ABW,2015,25.373,Derived using data on general government expenditure to GDP from IMF_WEO and the spliced GDP,5303.6,1345.682
ABW,2016,25.119,Derived using data on general government expenditure to GDP from IMF_WEO and the spliced GDP,5340.71,1341.533
ABW,2017,24.558,Derived using data on general government expenditure to GDP from IMF_WEO and the spliced GDP,5535.45,1359.396
ABW,2018,24.863,Derived using data on general government expenditure to GDP from IMF_WEO and the spliced GDP,5864.37,1458.058
ABW,2019,23.688,Derived using data on general government expenditure to GDP from IMF_WEO and the spliced GDP,6078.48,1439.87
ABW,2020,40.237,Derived using data on general government expenditure to GDP from IMF_WEO and the spliced GDP,4442.524,1787.539
ABW,2021,28.859,Derived using data on general government expenditure to GDP from IMF_WEO and the spliced GDP,5243.709,1513.282
ABW,2022,21.679,Derived using data on general government expenditure to GDP from IMF_WEO and the spliced GDP,5870.025,1272.563
ABW,2023,21.69743,Derived using data on general government expenditure to GDP from IMF_FPP and the spliced GDP,6530.946,1417.047
ABW,2024,21.248,Derived using data on general government expenditure to GDP from IMF_WEO_forecast and the spliced GDP,7264.85,1543.635
ABW,2025,21.02,Derived using data on general government expenditure to GDP from IMF_WEO_forecast and the spliced GDP,7583.199,1593.989
ABW,2026,20.928,Derived using data on general government expenditure to GDP from IMF_WEO_forecast and the spliced GDP,7851.985,1643.263
ABW,2027,21.051,Derived using data on general government expenditure to GDP from IMF_WEO_forecast and the spliced GDP,8122.678,1709.905
ABW,2028,21.087,Derived using data on general government expenditure to GDP from IMF_WEO_forecast and the spliced GDP,8400.995,1771.518
ABW,2029,21.183,Derived using data on general government expenditure to GDP from IMF_WEO_forecast and the spliced GDP,8688.844,1840.558
AFG,2002,6.943,Derived using data on general government expenditure to GDP from IMF_WEO and the spliced GDP,202531,14061.73
AFG,2003,11.927,Derived using data on general government expenditure to GDP from IMF_WEO and the spliced GDP,238878.5,28491.04
AFG,2004,15.069,Derived using data on general government expenditure to GDP from IMF_WEO and the spliced GDP,263344.1,39683.32
AFG,2005,15.651,Derived using data on general government expenditure to GDP from IMF_WEO and the spliced GDP,320476.5,50157.78
AFG,2006,18.262,Derived using data on general government expenditure to GDP from IMF_WEO and the spliced GDP,364100.1,66491.95
AFG,2007,21.448,Derived using data on general government expenditure to GDP from IMF_WEO and the spliced GDP,499587,107151.4
AFG,2008,20.899,Derived using data on general government expenditure to GDP from IMF_WEO and the spliced GDP,517377.4,108126.7
AFG,2009,21.151,Derived using data on general government expenditure to GDP from IMF_WEO and the spliced GDP,600457.8,127002.8
AFG,2010,20.789,Derived using data on general government expenditure to GDP from IMF_WEO and the spliced GDP,703502.6,146251.1
AFG,2011,21.937,Derived using data on general government expenditure to GDP from IMF_WEO and the spliced GDP,837851.3,183799.4
AFG,2012,25.028,Derived using data on general government expenditure to GDP from IMF_WEO and the spliced GDP,1007959,252272
AFG,2013,24.977,Derived using data on general government expenditure to GDP from IMF_WEO and the spliced GDP,1102256,275310.6
AFG,2014,25.402,Derived using data on general government expenditure to GDP from IMF_WEO and the spliced GDP,1116353,283575.9
AFG,2015,25.947,Derived using data on general government expenditure to GDP from IMF_WEO and the spliced GDP,1143357,296666.8
AFG,2016,28.029,Derived using data on general government expenditure to GDP from IMF_WEO and the spliced GDP,1236815,346666.9
AFG,2017,27.732,Derived using data on general government expenditure to GDP from IMF_WEO and the spliced GDP,1294845,359086.3
AFG,2018,28.936,Derived using data on general government expenditure to GDP from IMF_WEO and the spliced GDP,1359225,393305.3
AFG,2019,27.999,Derived using data on general government expenditure to GDP from IMF_WEO and the spliced GDP,1505967,421655.8
AFG,2020,27.937,Derived using data on general government expenditure to GDP from IMF_WEO and the spliced GDP,1534966,428823.3
AFG,2021,17.934,Derived using data on general government expenditure to GDP from IMF_WEO and the spliced GDP,1251172,224385.1
AFG,2022,16.116,Derived using data on general government expenditure to GDP from IMF_WEO and the spliced GDP,1283441,206839.4
AFG,2023,16.887,Derived using data on general government expenditure to GDP from IMF_WEO and the spliced GDP,1357275,229203
AGO,1996,29.312,Derived using data on general government expenditure to GDP from IMF_WEO and the spliced GDP,1117.154,327.4601
AGO,1997,31.068,Derived using data on general government expenditure to GDP from IMF_WEO and the spliced GDP,2342.345,727.7197
AGO,1998,30.32,Derived using data on general government expenditure to GDP from IMF_WEO and the spliced GDP,3385.27,1026.414
AGO,1999,45.714,Derived using data on general government expenditure to GDP from IMF_WEO and the spliced GDP,22959.67,10495.78
AGO,2000,35.821,Derived using data on general government expenditure to GDP from IMF_WEO and the spliced GDP,122568.5,43905.25
AGO,2001,30.274,Derived using data on general government expenditure to GDP from IMF_WEO and the spliced GDP,263560.6,79790.34
AGO,2002,27.569,Derived using data on general government expenditure to GDP from IMF_WEO and the spliced GDP,665385,183440
AGO,2003,30.122,Derived using data on general government expenditure to GDP from IMF_WEO and the spliced GDP,1328940,400303.3
AGO,2004,25.999,Derived using data on general government expenditure to GDP from IMF_WEO and the spliced GDP,1967570,511548.5
AGO,2005,23.691,Derived using data on general government expenditure to GDP from IMF_WEO and the spliced GDP,3222350,763406.9
AGO,2006,27.331,Derived using data on general government expenditure to GDP from IMF_WEO and the spliced GDP,4209762,1150570
AGO,2007,34.072,Derived using data on general government expenditure to GDP from IMF_WEO and the spliced GDP,5006335,1705758
AGO,2008,47.201,Derived using data on general government expenditure to GDP from IMF_WEO and the spliced GDP,6643353,3135729
AGO,2009,38.729,Derived using data on general government expenditure to GDP from IMF_WEO and the spliced GDP,5577341,2160048
AGO,2010,34.551,Derived using data on general government expenditure to GDP from IMF_WEO and the spliced GDP,7701652,2660998
AGO,2011,33.302,Derived using data on general government expenditure to GDP from IMF_WEO and the spliced GDP,1.05e+07,3497024
AGO,2012,33.187,Derived using data on general government expenditure to GDP from IMF_WEO and the spliced GDP,1.22e+07,4057094
