ISO3,year,gen_govrev_GDP,source,nGDP,gen_govrev
ABW,1995,25.498,Derived using data on general government revenue to GDP from IMF_WEO and the spliced GDP,2477.24,631.6465
ABW,1996,25.114,Derived using data on general government revenue to GDP from IMF_WEO and the spliced GDP,2588.317,650.03
ABW,1997,22.887,Derived using data on general government revenue to GDP from IMF_WEO and the spliced GDP,2873.346,657.6228
ABW,1998,21.688,Derived using data on general government revenue to GDP from IMF_WEO and the spliced GDP,3123.795,677.4886
ABW,1999,22.884,Derived using data on general government revenue to GDP from IMF_WEO and the spliced GDP,3231.53,739.5032
ABW,2000,22.251,Derived using data on general government revenue to GDP from IMF_WEO and the spliced GDP,3353.48,746.1828
ABW,2001,21.673,Derived using data on general government revenue to GDP from IMF_WEO and the spliced GDP,3394.658,735.7242
ABW,2002,21.491,Derived using data on general government revenue to GDP from IMF_WEO and the spliced GDP,3511.7,754.6994
ABW,2003,27.032,Derived using data on general government revenue to GDP from IMF_WEO and the spliced GDP,3658.96,989.09
ABW,2004,20.714,Derived using data on general government revenue to GDP from IMF_WEO and the spliced GDP,4036.147,836.0475
ABW,2005,21.52,Derived using data on general government revenue to GDP from IMF_WEO and the spliced GDP,4224.43,909.0974
ABW,2006,22.285,Derived using data on general government revenue to GDP from IMF_WEO and the spliced GDP,4420.91,985.1998
ABW,2007,21.574,Derived using data on general government revenue to GDP from IMF_WEO and the spliced GDP,4792.98,1034.037
ABW,2008,26.825,Derived using data on general government revenue to GDP from IMF_WEO and the spliced GDP,5089.01,1365.127
ABW,2009,24.257,Derived using data on general government revenue to GDP from IMF_WEO and the spliced GDP,4571.29,1108.858
ABW,2010,26.957,Derived using data on general government revenue to GDP from IMF_WEO and the spliced GDP,4391.94,1183.935
ABW,2011,20.77,Derived using data on general government revenue to GDP from IMF_WEO and the spliced GDP,4721.77,980.7117
ABW,2012,21.806,Derived using data on general government revenue to GDP from IMF_WEO and the spliced GDP,4681.22,1020.787
ABW,2013,23.406,Derived using data on general government revenue to GDP from IMF_WEO and the spliced GDP,4882.85,1142.88
ABW,2014,22.376,Derived using data on general government revenue to GDP from IMF_WEO and the spliced GDP,4995.62,1117.82
ABW,2015,23.898,Derived using data on general government revenue to GDP from IMF_WEO and the spliced GDP,5303.6,1267.454
ABW,2016,23.664,Derived using data on general government revenue to GDP from IMF_WEO and the spliced GDP,5340.71,1263.826
ABW,2017,21.971,Derived using data on general government revenue to GDP from IMF_WEO and the spliced GDP,5535.45,1216.194
ABW,2018,22.222,Derived using data on general government revenue to GDP from IMF_WEO and the spliced GDP,5864.37,1303.18
ABW,2019,23.445,Derived using data on general government revenue to GDP from IMF_WEO and the spliced GDP,6078.48,1425.1
ABW,2020,24.007,Derived using data on general government revenue to GDP from IMF_WEO and the spliced GDP,4442.524,1066.517
ABW,2021,19.698,Derived using data on general government revenue to GDP from IMF_WEO and the spliced GDP,5243.709,1032.906
