ISO3,year,gen_govtax_GDP,source,nGDP,gen_govtax
AFG,2005,2.882165,Derived using data on general government tax revenue to GDP from ADB and the spliced GDP,320476.5,9236.661
AFG,2006,7.125222,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,364100.1,25942.94
AFG,2007,6.085217,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,499587,30400.96
AFG,2008,6.10163,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,517377.4,31568.46
AFG,2009,8.706008,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,600457.8,52275.91
AFG,2010,9.428106,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,703502.6,66326.97
AFG,2011,9.181273,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,837851.3,76925.41
AFG,2012,7.741053,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,1007959,78026.63
AFG,2013,7.26605,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,1102256,80090.5
AFG,2014,6.843885,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,1116353,76401.9
AFG,2015,7.5618,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,1143357,86458.34
AFG,2016,8.846468,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,1236815,109414.5
AFG,2017,9.247727,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,1294845,119743.7
AFG,2018,9.455128,Derived using data on general government tax revenue to GDP from ADB and the spliced GDP,1359225,128516.4
AFG,2019,8.360591,Derived using data on general government tax revenue to GDP from ADB and the spliced GDP,1505967,125907.8
AFG,2020,7.46868,Derived using data on general government tax revenue to GDP from ADB and the spliced GDP,1534966,114641.7
AGO,2018,9.928881,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,2.56e+07,2544548
AGO,2019,11.28885,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,3.03e+07,3423957
AGO,2020,20.51761,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,3.17e+07,6504240
AGO,2021,10.70333,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,4.41e+07,4724600
AGO,2022,12.72829,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,5.22e+07,6642129
AGO,2023,9.242218,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,6.20e+07,5732954
ALB,2005,18.02354,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,824594.6,148621.1
ALB,2006,18.71675,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,897697.7,168019.8
ALB,2007,19.05995,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,1005281,191606.1
ALB,2008,19.85576,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,1112317,220859
ALB,2009,19.68641,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,1171607,230647.3
ALB,2010,18.95035,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,1256235,238061
ALB,2011,18.76128,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,1308998,245584.7
ALB,2012,18.11008,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,1324877,239936.4
ALB,2013,17.1145,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,1352247,231430.2
ALB,2014,19.01316,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,1402496,266658.8
ALB,2015,19.15853,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,1444802,276802.8
ALB,2016,18.33358,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,1488303,272859.3
ALB,2017,19.79038,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,1579056,312501.1
ALB,2018,19.58935,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,1660820,325343.9
ALB,2019,19.24259,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,1712037,329440.2
ALB,2020,18.05603,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,1655985,299005.1
ALB,2021,19.34927,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,1866672,361187.3
ALB,2022,19.20296,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,2149742,412814
ALB,2023,19.33496,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,2364276,457131.9
AND,2018,15.46245,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,2725.27,421.3935
AND,2019,15.2259,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,2818.422,429.1302
AND,2020,14.45771,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,2531.087,365.9372
AND,2021,14.84676,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,2810.965,417.3372
AND,2022,16.69284,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,3210.31,535.8921
AND,2023,15.89099,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,3500.58,556.2768
ARE,2011,21.03272,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,1325158,278716.8
ARE,2012,21.85305,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,1412481,308670.1
ARE,2013,21.42301,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,1469803,314875.9
ARE,2014,18.12348,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,1520802,275622.3
ARE,2015,11.76843,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,1359837,160031.4
ARE,2016,8.007421,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,1356090,108587.9
ARE,2017,11.31334,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,1434173,162252.9
ARE,2018,13.58342,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,1568339,213034.1
ARE,2019,14.88795,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,1535067,228540
ARE,2020,11.77963,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,1283440,151184.5
ARE,2021,13.02293,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,1524744,198566.3
ARE,2022,17.61568,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,1846283,325235.4
ARE,2023,16.79825,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,1888144,317175.2
ARG,2002,15.12938,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,338745.9,51250.16
ARG,2003,18.20093,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,407376.3,74146.28
ARG,2004,21.12829,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,485115.2,102496.6
ARM,2000,14.79153,Derived using data on general government tax revenue to GDP from ADB and the spliced GDP,1099842,162683.5
ARM,2001,14.35601,Derived using data on general government tax revenue to GDP from ADB and the spliced GDP,1253982,180021.7
ARM,2002,14.57784,Derived using data on general government tax revenue to GDP from ADB and the spliced GDP,1452971,211811.7
ARM,2003,13.99979,Derived using data on general government tax revenue to GDP from ADB and the spliced GDP,1732556,242554.2
ARM,2004,14.45262,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,2034676,294063.9
ARM,2005,14.75774,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,2391859,352984.3
ARM,2006,14.80935,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,2832621,419492.8
ARM,2007,16.36806,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,3358467,549715.7
ARM,2008,17.70871,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,3805239,673858.6
ARM,2009,17.06365,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,3350328,571688.4
ARM,2010,17.61566,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,3690038,650024.8
ARM,2011,17.73577,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,4028887,714553.9
ARM,2012,17.96032,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,4266461,766270
ARM,2013,22.04985,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,4555638,1004511
ARM,2014,22.08018,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,4828627,1066169
ARM,2015,21.57493,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,5043633,1088160
ARM,2016,21.7615,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,5067294,1102719
