ISO3,countryname,year,gen_govtax_GDP,ADB,AMECO,AMF,EUS,IMF_GFS,CS2,CS1,chainlinking_ratio,source,source_change,source_change_count
AFG,Afghanistan,2012,7.741053,5.4225593,,,,7.7410527,,,1,IMF_GFS,,
AFG,Afghanistan,2011,9.181273,8.3507783,,,,9.1812726,,,1,IMF_GFS,,
AFG,Afghanistan,2010,9.428106,8.8060733,,,,9.4281068,,,1,IMF_GFS,,
AFG,Afghanistan,2009,8.706008,8.168736,,,,8.7060076,,,1,IMF_GFS,,
AFG,Afghanistan,2005,2.882165,2.8821647,,,,,,,1,ADB,1,2
AFG,Afghanistan,2017,9.247727,8.677272,,,,9.2477275,,,1,IMF_GFS,,
AFG,Afghanistan,2018,9.455128,9.4551279,,,,,,,1,ADB,1,2
AFG,Afghanistan,2019,8.360591,8.3605907,,,,,,,1,ADB,,
AFG,Afghanistan,2015,7.5618,7.1400608,,,,7.5618,,,1,IMF_GFS,,
AFG,Afghanistan,2014,6.843885,6.3918589,,,,6.8438854,,,1,IMF_GFS,,
AFG,Afghanistan,2007,6.085217,4.8916173,,,,6.0852177,,,1,IMF_GFS,,
AFG,Afghanistan,2006,7.125222,6.3657299,,,,7.1252219,,,1,IMF_GFS,,
AFG,Afghanistan,2020,7.46868,7.4686799,,,,,,,1,ADB,,
AFG,Afghanistan,2013,7.26605,6.6935964,,,,7.2660498,,,1,IMF_GFS,,
AFG,Afghanistan,2016,8.846468,8.239668,,,,8.8464681,,,1,IMF_GFS,,
AFG,Afghanistan,2008,6.10163,5.7816271,,,,6.1016302,,,1,IMF_GFS,,
AGO,Angola,2019,11.28885,,,,,11.288852,,,1,IMF_GFS,,
AGO,Angola,2022,12.72829,,,,,12.728287,,,1,IMF_GFS,,
AGO,Angola,2021,10.70333,,,,,10.70333,,,1,IMF_GFS,,
AGO,Angola,2020,20.51761,,,,,20.517608,,,1,IMF_GFS,,
AGO,Angola,2023,9.242218,,,,,9.2422181,,,1,IMF_GFS,,
AGO,Angola,2018,9.928881,,,,,9.9288803,,,1,IMF_GFS,1,1
ALB,Albania,2018,19.58935,,,,,19.58935,,,1,IMF_GFS,,
ALB,Albania,2022,19.20296,,,,,19.202957,,,1,IMF_GFS,,
ALB,Albania,2016,18.33358,,,,,18.333583,,,1,IMF_GFS,,
ALB,Albania,2009,19.68641,,,,,19.686408,,,1,IMF_GFS,,
ALB,Albania,2015,19.15853,,,,,19.158527,,,1,IMF_GFS,,
ALB,Albania,2020,18.05603,,,,,18.056034,,,1,IMF_GFS,,
ALB,Albania,2008,19.85576,,,,,19.855759,,,1,IMF_GFS,,
ALB,Albania,2014,19.01316,,,,,19.013156,,,1,IMF_GFS,,
ALB,Albania,2021,19.34927,,,,,19.34927,,,1,IMF_GFS,,
ALB,Albania,2006,18.71675,,,,,18.716748,,,1,IMF_GFS,,
ALB,Albania,2010,18.95035,,,,,18.950351,,,1,IMF_GFS,,
ALB,Albania,2023,19.33496,,,,,19.334963,,,1,IMF_GFS,,
ALB,Albania,2013,17.1145,,,,,17.114496,,,1,IMF_GFS,,
ALB,Albania,2012,18.11008,,,,,18.110081,,,1,IMF_GFS,,
ALB,Albania,2011,18.76128,,,,,18.761276,,,1,IMF_GFS,,
ALB,Albania,2007,19.05995,,,,,19.059951,,,1,IMF_GFS,,
ALB,Albania,2005,18.02354,,,,,18.023538,,,1,IMF_GFS,,
ALB,Albania,2017,19.79038,,,,,19.790377,,,1,IMF_GFS,,
ALB,Albania,2019,19.24259,,,,,19.242588,,,1,IMF_GFS,,
AND,Andorra,2021,14.84676,,,,,14.846758,,,1,IMF_GFS,,
AND,Andorra,2022,16.69284,,,,,16.692844,,,1,IMF_GFS,,
AND,Andorra,2018,15.46245,,,,,15.462452,,,1,IMF_GFS,,
AND,Andorra,2019,15.2259,,,,,15.225903,,,1,IMF_GFS,,
AND,Andorra,2020,14.45771,,,,,14.457709,,,1,IMF_GFS,,
AND,Andorra,2023,15.89099,,,,,15.890989,,,1,IMF_GFS,,
ARE,United Arab Emirates,2012,21.85305,,,,,21.85305,,,1,IMF_GFS,,
ARE,United Arab Emirates,2016,8.007421,,,8.281259,,8.0074217,,,1,IMF_GFS,,
ARE,United Arab Emirates,2021,13.02293,,,14.05966,,13.022929,,,1,IMF_GFS,,
ARE,United Arab Emirates,2020,11.77963,,,,,11.779634,,,1,IMF_GFS,,
ARE,United Arab Emirates,2023,16.79825,,,,,16.798255,,,1,IMF_GFS,,
ARE,United Arab Emirates,2014,18.12348,,,18.90471,,18.123482,,,1,IMF_GFS,,
ARE,United Arab Emirates,2015,11.76843,,,12.50561,,11.76843,,,1,IMF_GFS,,
ARE,United Arab Emirates,2019,14.88795,,,14.77655,,14.887946,,,1,IMF_GFS,,
ARE,United Arab Emirates,2017,11.31334,,,11.6972,,11.313343,,,1,IMF_GFS,,
ARE,United Arab Emirates,2018,13.58342,,,13.73899,,13.583423,,,1,IMF_GFS,,
ARE,United Arab Emirates,2011,21.03272,,,,,21.032723,,,1,IMF_GFS,,
