ISO3,year,govdebt_GDP,nGDP,govdebt,source
ABW,1995,55.095,2477.24,1364.835,Derived using data on general government debt to GDP and central government and the spliced GDP.
ABW,1996,54.771,2588.317,1417.647,Derived using data on general government debt to GDP and central government and the spliced GDP.
ABW,1997,51.068,2873.346,1467.361,Derived using data on general government debt to GDP and central government and the spliced GDP.
ABW,1998,41.039,3123.795,1281.974,Derived using data on general government debt to GDP and central government and the spliced GDP.
ABW,1999,39.288,3231.53,1269.603,Derived using data on general government debt to GDP and central government and the spliced GDP.
ABW,2000,38.613,3353.48,1294.879,Derived using data on general government debt to GDP and central government and the spliced GDP.
ABW,2001,44.326,3394.658,1504.716,Derived using data on general government debt to GDP and central government and the spliced GDP.
ABW,2002,47.079,3511.7,1653.273,Derived using data on general government debt to GDP and central government and the spliced GDP.
ABW,2003,40.848,3658.96,1494.612,Derived using data on general government debt to GDP and central government and the spliced GDP.
ABW,2004,42.543,4036.147,1717.098,Derived using data on general government debt to GDP and central government and the spliced GDP.
ABW,2005,45.093,4224.43,1904.922,Derived using data on general government debt to GDP and central government and the spliced GDP.
ABW,2006,45.518,4420.91,2012.31,Derived using data on general government debt to GDP and central government and the spliced GDP.
ABW,2007,44.558,4792.98,2135.656,Derived using data on general government debt to GDP and central government and the spliced GDP.
ABW,2008,40.31,5089.01,2051.38,Derived using data on general government debt to GDP and central government and the spliced GDP.
ABW,2009,48.785,4571.29,2230.104,Derived using data on general government debt to GDP and central government and the spliced GDP.
ABW,2010,54.662,4391.94,2400.722,Derived using data on general government debt to GDP and central government and the spliced GDP.
ABW,2011,59.347,4721.77,2802.229,Derived using data on general government debt to GDP and central government and the spliced GDP.
ABW,2012,65.533,4681.22,3067.744,Derived using data on general government debt to GDP and central government and the spliced GDP.
ABW,2013,70.032,4882.85,3419.557,Derived using data on general government debt to GDP and central government and the spliced GDP.
ABW,2014,77.709,4995.62,3882.046,Derived using data on general government debt to GDP and central government and the spliced GDP.
ABW,2015,74.177,5303.6,3934.052,Derived using data on general government debt to GDP and central government and the spliced GDP.
ABW,2016,75.387,5340.71,4026.201,Derived using data on general government debt to GDP and central government and the spliced GDP.
ABW,2017,75.825,5535.45,4197.255,Derived using data on general government debt to GDP and central government and the spliced GDP.
ABW,2018,73.31,5864.37,4299.169,Derived using data on general government debt to GDP and central government and the spliced GDP.
ABW,2019,71.053,6078.48,4318.942,Derived using data on general government debt to GDP and central government and the spliced GDP.
ABW,2020,112.339,4442.524,4990.688,Derived using data on general government debt to GDP and central government and the spliced GDP.
ABW,2021,101.816,5243.709,5338.936,Derived using data on general government debt to GDP and central government and the spliced GDP.
ABW,2022,90.079,5870.025,5287.66,Derived using data on general government debt to GDP and central government and the spliced GDP.
ABW,2023,78.68061,6530.946,5138.588,Derived using data on general government debt to GDP and central government and the spliced GDP.
ABW,2024,70.88765,7264.85,5149.881,Derived using data on general government debt to GDP and central government and the spliced GDP.
ABW,2025,66.33067,7583.199,5029.987,Derived using data on general government debt to GDP and central government and the spliced GDP.
ABW,2026,62.44769,7851.985,4903.384,Derived using data on general government debt to GDP and central government and the spliced GDP.
ABW,2027,58.93271,8122.678,4786.914,Derived using data on general government debt to GDP and central government and the spliced GDP.
ABW,2028,55.63372,8400.995,4673.787,Derived using data on general government debt to GDP and central government and the spliced GDP.
ABW,2029,52.59274,8688.844,4569.701,Derived using data on general government debt to GDP and central government and the spliced GDP.
AFG,2002,345.977,202531,700710.7,Derived using data on general government debt to GDP and central government and the spliced GDP.
AFG,2003,270.602,238878.5,646410.1,Derived using data on general government debt to GDP and central government and the spliced GDP.
AFG,2004,244.967,263344.1,645106.1,Derived using data on general government debt to GDP and central government and the spliced GDP.
AFG,2005,206.356,320476.5,661322.6,Derived using data on general government debt to GDP and central government and the spliced GDP.
AFG,2006,22.985,364100.1,83688.41,Derived using data on general government debt to GDP and central government and the spliced GDP.
AFG,2007,20.137,499587,100601.8,Derived using data on general government debt to GDP and central government and the spliced GDP.
AFG,2008,19.057,517377.4,98596.61,Derived using data on general government debt to GDP and central government and the spliced GDP.
AFG,2009,16.247,600457.8,97556.38,Derived using data on general government debt to GDP and central government and the spliced GDP.
AFG,2010,7.697,703502.6,54148.59,Derived using data on general government debt to GDP and central government and the spliced GDP.
AFG,2011,7.501,837851.3,62847.23,Derived using data on general government debt to GDP and central government and the spliced GDP.
AFG,2012,6.759,1007959,68127.94,Derived using data on general government debt to GDP and central government and the spliced GDP.
AFG,2013,6.904,1102256,76099.78,Derived using data on general government debt to GDP and central government and the spliced GDP.
AFG,2014,8.7,1116353,97122.68,Derived using data on general government debt to GDP and central government and the spliced GDP.
AFG,2015,9.154,1143357,104662.9,Derived using data on general government debt to GDP and central government and the spliced GDP.
AFG,2016,8.437,1236815,104350.1,Derived using data on general government debt to GDP and central government and the spliced GDP.
AFG,2017,7.998,1294845,103561.7,Derived using data on general government debt to GDP and central government and the spliced GDP.
AFG,2018,7.384,1359225,100365.2,Derived using data on general government debt to GDP and central government and the spliced GDP.
AFG,2019,6.35,1505967,95628.93,Derived using data on general government debt to GDP and central government and the spliced GDP.
AFG,2020,7.797,1534966,119681.3,Derived using data on general government debt to GDP and central government and the spliced GDP.
AGO,1995,138.101,18.26765,25.22782,Derived using data on general government debt to GDP and central government and the spliced GDP.
AGO,1996,91.99272,1117.154,1027.7,Derived using data on general government debt to GDP and central government and the spliced GDP.
AGO,1997,73.46271,2342.345,1720.75,Derived using data on general government debt to GDP and central government and the spliced GDP.
