ISO3,year,govdef_GDP,nGDP,govdef,source
ABW,1995,-.834,2477.24,-20.66018,Derived using data on general government deficit to GDP and central government and the spliced GDP.
ABW,1996,-2.343,2588.317,-60.64427,Derived using data on general government deficit to GDP and central government and the spliced GDP.
ABW,1997,-2.102,2873.346,-60.39774,Derived using data on general government deficit to GDP and central government and the spliced GDP.
ABW,1998,.114,3123.795,3.561126,Derived using data on general government deficit to GDP and central government and the spliced GDP.
ABW,1999,.086,3231.53,2.779115,Derived using data on general government deficit to GDP and central government and the spliced GDP.
ABW,2000,.645,3353.48,21.62995,Derived using data on general government deficit to GDP and central government and the spliced GDP.
ABW,2001,-.835,3394.658,-28.34539,Derived using data on general government deficit to GDP and central government and the spliced GDP.
ABW,2002,-3.169,3511.7,-111.2858,Derived using data on general government deficit to GDP and central government and the spliced GDP.
ABW,2003,1.896,3658.96,69.37388,Derived using data on general government deficit to GDP and central government and the spliced GDP.
ABW,2004,-8.531,4036.147,-344.3237,Derived using data on general government deficit to GDP and central government and the spliced GDP.
ABW,2005,-2.957,4224.43,-124.9164,Derived using data on general government deficit to GDP and central government and the spliced GDP.
ABW,2006,-2.541,4420.91,-112.3353,Derived using data on general government deficit to GDP and central government and the spliced GDP.
ABW,2007,-1.046,4792.98,-50.13457,Derived using data on general government deficit to GDP and central government and the spliced GDP.
ABW,2008,1.466,5089.01,74.60488,Derived using data on general government deficit to GDP and central government and the spliced GDP.
ABW,2009,-2.631,4571.29,-120.2706,Derived using data on general government deficit to GDP and central government and the spliced GDP.
ABW,2010,-3.487,4391.94,-153.1469,Derived using data on general government deficit to GDP and central government and the spliced GDP.
ABW,2011,-6.429,4721.77,-303.5626,Derived using data on general government deficit to GDP and central government and the spliced GDP.
ABW,2012,-8.955,4681.22,-419.2033,Derived using data on general government deficit to GDP and central government and the spliced GDP.
ABW,2013,-6.048,4882.85,-295.3148,Derived using data on general government deficit to GDP and central government and the spliced GDP.
ABW,2014,-7.459,4995.62,-372.6233,Derived using data on general government deficit to GDP and central government and the spliced GDP.
ABW,2015,-1.475,5303.6,-78.2281,Derived using data on general government deficit to GDP and central government and the spliced GDP.
ABW,2016,-1.455,5340.71,-77.70733,Derived using data on general government deficit to GDP and central government and the spliced GDP.
ABW,2017,-2.587,5535.45,-143.2021,Derived using data on general government deficit to GDP and central government and the spliced GDP.
ABW,2018,-2.641,5864.37,-154.878,Derived using data on general government deficit to GDP and central government and the spliced GDP.
ABW,2019,-.243,6078.48,-14.77071,Derived using data on general government deficit to GDP and central government and the spliced GDP.
ABW,2020,-16.23,4442.524,-721.0217,Derived using data on general government deficit to GDP and central government and the spliced GDP.
ABW,2021,-9.161,5243.709,-480.3763,Derived using data on general government deficit to GDP and central government and the spliced GDP.
ABW,2022,-.465,5870.025,-27.29562,Derived using data on general government deficit to GDP and central government and the spliced GDP.
ABW,2023,2.579962,6530.946,168.4959,Derived using data on general government deficit to GDP and central government and the spliced GDP.
ABW,2024,2.35,7264.85,170.724,Derived using data on general government deficit to GDP and central government and the spliced GDP.
ABW,2025,1.904,7583.199,144.3841,Derived using data on general government deficit to GDP and central government and the spliced GDP.
ABW,2026,1.931,7851.985,151.6218,Derived using data on general government deficit to GDP and central government and the spliced GDP.
ABW,2027,1.743,8122.678,141.5783,Derived using data on general government deficit to GDP and central government and the spliced GDP.
ABW,2028,1.643,8400.995,138.0284,Derived using data on general government deficit to GDP and central government and the spliced GDP.
ABW,2029,1.483,8688.844,128.8556,Derived using data on general government deficit to GDP and central government and the spliced GDP.
AFG,2002,-.098,202531,-198.4804,Derived using data on general government deficit to GDP and central government and the spliced GDP.
AFG,2003,-2.102,238878.5,-5021.227,Derived using data on general government deficit to GDP and central government and the spliced GDP.
AFG,2004,-2.393,263344.1,-6301.824,Derived using data on general government deficit to GDP and central government and the spliced GDP.
AFG,2005,-.917,320476.5,-2938.77,Derived using data on general government deficit to GDP and central government and the spliced GDP.
AFG,2006,.684,364100.1,2490.445,Derived using data on general government deficit to GDP and central government and the spliced GDP.
AFG,2007,-2.462,499587,-12299.83,Derived using data on general government deficit to GDP and central government and the spliced GDP.
AFG,2008,-3.864,517377.4,-19991.46,Derived using data on general government deficit to GDP and central government and the spliced GDP.
AFG,2009,-1.761,600457.8,-10574.06,Derived using data on general government deficit to GDP and central government and the spliced GDP.
AFG,2010,.933,703502.6,6563.679,Derived using data on general government deficit to GDP and central government and the spliced GDP.
AFG,2011,-.672,837851.3,-5630.361,Derived using data on general government deficit to GDP and central government and the spliced GDP.
AFG,2012,.182,1007959,1834.485,Derived using data on general government deficit to GDP and central government and the spliced GDP.
AFG,2013,-.631,1102256,-6955.237,Derived using data on general government deficit to GDP and central government and the spliced GDP.
