ISO3,year,govexp_GDP,nGDP,govexp,source
ABW,1995,26.332,2477.24,652.3067,Derived using data on general government expenditure to GDP and central government and the spliced GDP.
ABW,1996,27.458,2588.317,710.7001,Derived using data on general government expenditure to GDP and central government and the spliced GDP.
ABW,1997,24.989,2873.346,718.0206,Derived using data on general government expenditure to GDP and central government and the spliced GDP.
ABW,1998,21.574,3123.795,673.9275,Derived using data on general government expenditure to GDP and central government and the spliced GDP.
ABW,1999,22.798,3231.53,736.7241,Derived using data on general government expenditure to GDP and central government and the spliced GDP.
ABW,2000,21.606,3353.48,724.5529,Derived using data on general government expenditure to GDP and central government and the spliced GDP.
ABW,2001,22.508,3394.658,764.0696,Derived using data on general government expenditure to GDP and central government and the spliced GDP.
ABW,2002,24.66,3511.7,865.9852,Derived using data on general government expenditure to GDP and central government and the spliced GDP.
ABW,2003,25.136,3658.96,919.7162,Derived using data on general government expenditure to GDP and central government and the spliced GDP.
ABW,2004,29.245,4036.147,1180.371,Derived using data on general government expenditure to GDP and central government and the spliced GDP.
ABW,2005,24.477,4224.43,1034.014,Derived using data on general government expenditure to GDP and central government and the spliced GDP.
ABW,2006,24.827,4420.91,1097.579,Derived using data on general government expenditure to GDP and central government and the spliced GDP.
ABW,2007,22.62,4792.98,1084.172,Derived using data on general government expenditure to GDP and central government and the spliced GDP.
ABW,2008,25.359,5089.01,1290.522,Derived using data on general government expenditure to GDP and central government and the spliced GDP.
ABW,2009,26.888,4571.29,1229.129,Derived using data on general government expenditure to GDP and central government and the spliced GDP.
ABW,2010,30.443,4391.94,1337.038,Derived using data on general government expenditure to GDP and central government and the spliced GDP.
ABW,2011,27.199,4721.77,1284.274,Derived using data on general government expenditure to GDP and central government and the spliced GDP.
ABW,2012,30.761,4681.22,1439.99,Derived using data on general government expenditure to GDP and central government and the spliced GDP.
ABW,2013,29.454,4882.85,1438.195,Derived using data on general government expenditure to GDP and central government and the spliced GDP.
ABW,2014,29.834,4995.62,1490.393,Derived using data on general government expenditure to GDP and central government and the spliced GDP.
ABW,2015,25.373,5303.6,1345.682,Derived using data on general government expenditure to GDP and central government and the spliced GDP.
ABW,2016,25.119,5340.71,1341.533,Derived using data on general government expenditure to GDP and central government and the spliced GDP.
ABW,2017,24.558,5535.45,1359.396,Derived using data on general government expenditure to GDP and central government and the spliced GDP.
ABW,2018,24.863,5864.37,1458.058,Derived using data on general government expenditure to GDP and central government and the spliced GDP.
ABW,2019,23.688,6078.48,1439.87,Derived using data on general government expenditure to GDP and central government and the spliced GDP.
ABW,2020,40.237,4442.524,1787.539,Derived using data on general government expenditure to GDP and central government and the spliced GDP.
ABW,2021,28.859,5243.709,1513.282,Derived using data on general government expenditure to GDP and central government and the spliced GDP.
ABW,2022,21.679,5870.025,1272.563,Derived using data on general government expenditure to GDP and central government and the spliced GDP.
ABW,2023,21.69743,6530.946,1417.047,Derived using data on general government expenditure to GDP and central government and the spliced GDP.
ABW,2024,21.248,7264.85,1543.635,Derived using data on general government expenditure to GDP and central government and the spliced GDP.
ABW,2025,21.02,7583.199,1593.989,Derived using data on general government expenditure to GDP and central government and the spliced GDP.
ABW,2026,20.928,7851.985,1643.263,Derived using data on general government expenditure to GDP and central government and the spliced GDP.
ABW,2027,21.051,8122.678,1709.905,Derived using data on general government expenditure to GDP and central government and the spliced GDP.
ABW,2028,21.087,8400.995,1771.518,Derived using data on general government expenditure to GDP and central government and the spliced GDP.
ABW,2029,21.183,8688.844,1840.558,Derived using data on general government expenditure to GDP and central government and the spliced GDP.
AFG,2002,6.943,202531,14061.73,Derived using data on general government expenditure to GDP and central government and the spliced GDP.
AFG,2003,11.927,238878.5,28491.04,Derived using data on general government expenditure to GDP and central government and the spliced GDP.
AFG,2004,15.069,263344.1,39683.32,Derived using data on general government expenditure to GDP and central government and the spliced GDP.
AFG,2005,15.651,320476.5,50157.78,Derived using data on general government expenditure to GDP and central government and the spliced GDP.
AFG,2006,18.262,364100.1,66491.95,Derived using data on general government expenditure to GDP and central government and the spliced GDP.
AFG,2007,21.448,499587,107151.4,Derived using data on general government expenditure to GDP and central government and the spliced GDP.
AFG,2008,20.899,517377.4,108126.7,Derived using data on general government expenditure to GDP and central government and the spliced GDP.
AFG,2009,21.151,600457.8,127002.8,Derived using data on general government expenditure to GDP and central government and the spliced GDP.
AFG,2010,20.789,703502.6,146251.1,Derived using data on general government expenditure to GDP and central government and the spliced GDP.
AFG,2011,21.937,837851.3,183799.4,Derived using data on general government expenditure to GDP and central government and the spliced GDP.
AFG,2012,25.028,1007959,252272,Derived using data on general government expenditure to GDP and central government and the spliced GDP.
AFG,2013,24.977,1102256,275310.6,Derived using data on general government expenditure to GDP and central government and the spliced GDP.
AFG,2014,25.402,1116353,283575.9,Derived using data on general government expenditure to GDP and central government and the spliced GDP.
AFG,2015,25.947,1143357,296666.8,Derived using data on general government expenditure to GDP and central government and the spliced GDP.
AFG,2016,28.029,1236815,346666.9,Derived using data on general government expenditure to GDP and central government and the spliced GDP.
AFG,2017,27.732,1294845,359086.3,Derived using data on general government expenditure to GDP and central government and the spliced GDP.
AFG,2018,28.936,1359225,393305.3,Derived using data on general government expenditure to GDP and central government and the spliced GDP.
AFG,2019,27.999,1505967,421655.8,Derived using data on general government expenditure to GDP and central government and the spliced GDP.
AFG,2020,27.937,1534966,428823.3,Derived using data on general government expenditure to GDP and central government and the spliced GDP.
AFG,2021,17.934,1251172,224385.1,Derived using data on general government expenditure to GDP and central government and the spliced GDP.
AFG,2022,16.116,1283441,206839.4,Derived using data on general government expenditure to GDP and central government and the spliced GDP.
AFG,2023,16.887,1357275,229203,Derived using data on general government expenditure to GDP and central government and the spliced GDP.
AGO,1980,36.35243,.000214,.0000778,Derived using data on general government expenditure to GDP and central government and the spliced GDP.
AGO,1981,42.79131,.0002,.0000856,Derived using data on general government expenditure to GDP and central government and the spliced GDP.
AGO,1982,47.3996,.0002,.0000948,Derived using data on general government expenditure to GDP and central government and the spliced GDP.
AGO,1983,42.95641,.000209,.0000898,Derived using data on general government expenditure to GDP and central government and the spliced GDP.
AGO,1984,48.8677,.000221,.000108,Derived using data on general government expenditure to GDP and central government and the spliced GDP.
AGO,1985,43.77648,.000273,.0001195,Derived using data on general government expenditure to GDP and central government and the spliced GDP.
AGO,1986,42.93221,.000256,.0001099,Derived using data on general government expenditure to GDP and central government and the spliced GDP.
AGO,1987,36.20449,.000295,.0001068,Derived using data on general government expenditure to GDP and central government and the spliced GDP.
AGO,1988,40.48433,.000318,.0001287,Derived using data on general government expenditure to GDP and central government and the spliced GDP.
AGO,1989,36.74891,.00037,.000136,Derived using data on general government expenditure to GDP and central government and the spliced GDP.
AGO,1990,49.31081,.000409,.0002017,Derived using data on general government expenditure to GDP and central government and the spliced GDP.
AGO,1991,47.94177,.000892,.0004276,Derived using data on general government expenditure to GDP and central government and the spliced GDP.
AGO,1992,58.76971,.004673,.0027463,Derived using data on general government expenditure to GDP and central government and the spliced GDP.
AGO,1993,52.74069,.035827,.0188954,Derived using data on general government expenditure to GDP and central government and the spliced GDP.
AGO,1994,62.08797,.824921,.5121767,Derived using data on general government expenditure to GDP and central government and the spliced GDP.
AGO,1995,67.2354,18.26765,12.28233,Derived using data on general government expenditure to GDP and central government and the spliced GDP.
AGO,1996,29.312,1117.154,327.4601,Derived using data on general government expenditure to GDP and central government and the spliced GDP.
AGO,1997,31.068,2342.345,727.7197,Derived using data on general government expenditure to GDP and central government and the spliced GDP.
AGO,1998,30.32,3385.27,1026.414,Derived using data on general government expenditure to GDP and central government and the spliced GDP.
AGO,1999,45.714,22959.67,10495.78,Derived using data on general government expenditure to GDP and central government and the spliced GDP.
AGO,2000,35.821,122568.5,43905.25,Derived using data on general government expenditure to GDP and central government and the spliced GDP.
AGO,2001,30.274,263560.6,79790.34,Derived using data on general government expenditure to GDP and central government and the spliced GDP.
AGO,2002,27.569,665385,183440,Derived using data on general government expenditure to GDP and central government and the spliced GDP.
AGO,2003,30.122,1328940,400303.3,Derived using data on general government expenditure to GDP and central government and the spliced GDP.
AGO,2004,25.999,1967570,511548.5,Derived using data on general government expenditure to GDP and central government and the spliced GDP.
AGO,2005,23.691,3222350,763406.9,Derived using data on general government expenditure to GDP and central government and the spliced GDP.
AGO,2006,27.331,4209762,1150570,Derived using data on general government expenditure to GDP and central government and the spliced GDP.
AGO,2007,34.072,5006335,1705758,Derived using data on general government expenditure to GDP and central government and the spliced GDP.
AGO,2008,47.201,6643353,3135729,Derived using data on general government expenditure to GDP and central government and the spliced GDP.
AGO,2009,38.729,5577341,2160048,Derived using data on general government expenditure to GDP and central government and the spliced GDP.
AGO,2010,34.551,7701652,2660998,Derived using data on general government expenditure to GDP and central government and the spliced GDP.
AGO,2011,33.302,1.05e+07,3497024,Derived using data on general government expenditure to GDP and central government and the spliced GDP.
AGO,2012,33.187,1.22e+07,4057094,Derived using data on general government expenditure to GDP and central government and the spliced GDP.
AGO,2013,32.941,1.32e+07,4346567,Derived using data on general government expenditure to GDP and central government and the spliced GDP.
AGO,2014,32.303,1.43e+07,4627037,Derived using data on general government expenditure to GDP and central government and the spliced GDP.
AGO,2015,23.873,1.40e+07,3330353,Derived using data on general government expenditure to GDP and central government and the spliced GDP.
AGO,2016,19.423,1.65e+07,3214422,Derived using data on general government expenditure to GDP and central government and the spliced GDP.
AGO,2017,21.032,2.03e+07,4261566,Derived using data on general government expenditure to GDP and central government and the spliced GDP.
AGO,2018,18.265,2.56e+07,4680907,Derived using data on general government expenditure to GDP and central government and the spliced GDP.
AGO,2019,18.214,3.03e+07,5524385,Derived using data on general government expenditure to GDP and central government and the spliced GDP.
AGO,2020,19.994,3.17e+07,6338252,Derived using data on general government expenditure to GDP and central government and the spliced GDP.
AGO,2021,17.28,4.41e+07,7627634,Derived using data on general government expenditure to GDP and central government and the spliced GDP.
AGO,2022,19.48651,5.22e+07,1.02e+07,Derived using data on general government expenditure to GDP and central government and the spliced GDP.
AGO,2023,20.18139,6.20e+07,1.25e+07,Derived using data on general government expenditure to GDP and central government and the spliced GDP.
AGO,2024,16.441,8.07e+07,1.33e+07,Derived using data on general government expenditure to GDP and central government and the spliced GDP.
AGO,2025,15.542,9.94e+07,1.54e+07,Derived using data on general government expenditure to GDP and central government and the spliced GDP.
AGO,2026,15.169,1.18e+08,1.79e+07,Derived using data on general government expenditure to GDP and central government and the spliced GDP.
AGO,2027,14.407,1.36e+08,1.96e+07,Derived using data on general government expenditure to GDP and central government and the spliced GDP.
AGO,2028,14.066,1.56e+08,2.19e+07,Derived using data on general government expenditure to GDP and central government and the spliced GDP.
AGO,2029,13.862,1.79e+08,2.48e+07,Derived using data on general government expenditure to GDP and central government and the spliced GDP.
ALB,1997,30.3,336480.8,101953.7,Derived using data on general government expenditure to GDP and central government and the spliced GDP.
ALB,1998,36.751,393070,144457.2,Derived using data on general government expenditure to GDP and central government and the spliced GDP.
ALB,1999,37.108,453512.3,168289.4,Derived using data on general government expenditure to GDP and central government and the spliced GDP.
ALB,2000,33.838,516206.8,174674.1,Derived using data on general government expenditure to GDP and central government and the spliced GDP.
ALB,2001,32.685,583125.1,190594.5,Derived using data on general government expenditure to GDP and central government and the spliced GDP.
ALB,2002,31.535,633932.6,199910.7,Derived using data on general government expenditure to GDP and central government and the spliced GDP.
ALB,2003,29.68,700711.6,207971.2,Derived using data on general government expenditure to GDP and central government and the spliced GDP.
ALB,2004,30.155,760444.8,229312.1,Derived using data on general government expenditure to GDP and central government and the spliced GDP.
ALB,2005,28.892,824594.6,238241.9,Derived using data on general government expenditure to GDP and central government and the spliced GDP.
ALB,2006,29.191,897697.7,262046.9,Derived using data on general government expenditure to GDP and central government and the spliced GDP.
ALB,2007,29.309,1005281,294637.9,Derived using data on general government expenditure to GDP and central government and the spliced GDP.
ALB,2008,31.726,1112317,352893.7,Derived using data on general government expenditure to GDP and central government and the spliced GDP.
ALB,2009,32.679,1171607,382869.3,Derived using data on general government expenditure to GDP and central government and the spliced GDP.
ALB,2010,29.387,1256235,369169.8,Derived using data on general government expenditure to GDP and central government and the spliced GDP.
ALB,2011,28.923,1308998,378601.5,Derived using data on general government expenditure to GDP and central government and the spliced GDP.
ALB,2012,28.229,1324877,373999.6,Derived using data on general government expenditure to GDP and central government and the spliced GDP.
ALB,2013,29.193,1352247,394761.4,Derived using data on general government expenditure to GDP and central government and the spliced GDP.
ALB,2014,31.729,1402496,444998,Derived using data on general government expenditure to GDP and central government and the spliced GDP.
