ISO3,year,govrev_GDP,nGDP,govrev,source
ABW,1995,25.498,2477.24,631.6465,Derived using data on general government revenue to GDP and central government and the spliced GDP.
ABW,1996,25.114,2588.317,650.03,Derived using data on general government revenue to GDP and central government and the spliced GDP.
ABW,1997,22.887,2873.346,657.6228,Derived using data on general government revenue to GDP and central government and the spliced GDP.
ABW,1998,21.688,3123.795,677.4886,Derived using data on general government revenue to GDP and central government and the spliced GDP.
ABW,1999,22.884,3231.53,739.5032,Derived using data on general government revenue to GDP and central government and the spliced GDP.
ABW,2000,22.251,3353.48,746.1828,Derived using data on general government revenue to GDP and central government and the spliced GDP.
ABW,2001,21.673,3394.658,735.7242,Derived using data on general government revenue to GDP and central government and the spliced GDP.
ABW,2002,21.491,3511.7,754.6994,Derived using data on general government revenue to GDP and central government and the spliced GDP.
ABW,2003,27.032,3658.96,989.09,Derived using data on general government revenue to GDP and central government and the spliced GDP.
ABW,2004,20.714,4036.147,836.0475,Derived using data on general government revenue to GDP and central government and the spliced GDP.
ABW,2005,21.52,4224.43,909.0974,Derived using data on general government revenue to GDP and central government and the spliced GDP.
ABW,2006,22.285,4420.91,985.1998,Derived using data on general government revenue to GDP and central government and the spliced GDP.
ABW,2007,21.574,4792.98,1034.037,Derived using data on general government revenue to GDP and central government and the spliced GDP.
ABW,2008,26.825,5089.01,1365.127,Derived using data on general government revenue to GDP and central government and the spliced GDP.
ABW,2009,24.257,4571.29,1108.858,Derived using data on general government revenue to GDP and central government and the spliced GDP.
ABW,2010,26.957,4391.94,1183.935,Derived using data on general government revenue to GDP and central government and the spliced GDP.
ABW,2011,20.77,4721.77,980.7117,Derived using data on general government revenue to GDP and central government and the spliced GDP.
ABW,2012,21.806,4681.22,1020.787,Derived using data on general government revenue to GDP and central government and the spliced GDP.
ABW,2013,23.406,4882.85,1142.88,Derived using data on general government revenue to GDP and central government and the spliced GDP.
ABW,2014,22.376,4995.62,1117.82,Derived using data on general government revenue to GDP and central government and the spliced GDP.
ABW,2015,23.898,5303.6,1267.454,Derived using data on general government revenue to GDP and central government and the spliced GDP.
ABW,2016,23.664,5340.71,1263.826,Derived using data on general government revenue to GDP and central government and the spliced GDP.
ABW,2017,21.971,5535.45,1216.194,Derived using data on general government revenue to GDP and central government and the spliced GDP.
ABW,2018,22.222,5864.37,1303.18,Derived using data on general government revenue to GDP and central government and the spliced GDP.
ABW,2019,23.445,6078.48,1425.1,Derived using data on general government revenue to GDP and central government and the spliced GDP.
ABW,2020,24.007,4442.524,1066.517,Derived using data on general government revenue to GDP and central government and the spliced GDP.
ABW,2021,19.698,5243.709,1032.906,Derived using data on general government revenue to GDP and central government and the spliced GDP.
ABW,2022,21.214,5870.025,1245.267,Derived using data on general government revenue to GDP and central government and the spliced GDP.
ABW,2023,24.27739,6530.946,1585.543,Derived using data on general government revenue to GDP and central government and the spliced GDP.
ABW,2024,23.598,7264.85,1714.359,Derived using data on general government revenue to GDP and central government and the spliced GDP.
ABW,2025,22.924,7583.199,1738.373,Derived using data on general government revenue to GDP and central government and the spliced GDP.
ABW,2026,22.858,7851.985,1794.807,Derived using data on general government revenue to GDP and central government and the spliced GDP.
ABW,2027,22.794,8122.678,1851.483,Derived using data on general government revenue to GDP and central government and the spliced GDP.
ABW,2028,22.73,8400.995,1909.546,Derived using data on general government revenue to GDP and central government and the spliced GDP.
ABW,2029,22.666,8688.844,1969.413,Derived using data on general government revenue to GDP and central government and the spliced GDP.
AFG,2002,6.845,202531,13863.25,Derived using data on general government revenue to GDP and central government and the spliced GDP.
AFG,2003,9.826,238878.5,23472.21,Derived using data on general government revenue to GDP and central government and the spliced GDP.
AFG,2004,12.676,263344.1,33381.5,Derived using data on general government revenue to GDP and central government and the spliced GDP.
AFG,2005,14.733,320476.5,47215.81,Derived using data on general government revenue to GDP and central government and the spliced GDP.
AFG,2006,18.946,364100.1,68982.4,Derived using data on general government revenue to GDP and central government and the spliced GDP.
AFG,2007,18.986,499587,94851.59,Derived using data on general government revenue to GDP and central government and the spliced GDP.
AFG,2008,17.036,517377.4,88140.41,Derived using data on general government revenue to GDP and central government and the spliced GDP.
AFG,2009,19.391,600457.8,116434.8,Derived using data on general government revenue to GDP and central government and the spliced GDP.
AFG,2010,21.722,703502.6,152814.8,Derived using data on general government revenue to GDP and central government and the spliced GDP.
AFG,2011,21.265,837851.3,178169.1,Derived using data on general government revenue to GDP and central government and the spliced GDP.
AFG,2012,25.21,1007959,254106.4,Derived using data on general government revenue to GDP and central government and the spliced GDP.
AFG,2013,24.346,1102256,268355.3,Derived using data on general government revenue to GDP and central government and the spliced GDP.
AFG,2014,23.684,1116353,264397,Derived using data on general government revenue to GDP and central government and the spliced GDP.
AFG,2015,24.569,1143357,280911.3,Derived using data on general government revenue to GDP and central government and the spliced GDP.
AFG,2016,28.156,1236815,348237.7,Derived using data on general government revenue to GDP and central government and the spliced GDP.
