ISO3,year,govtax_GDP,nGDP,govtax,source
AFG,2005,2.882165,320476.5,9236.661,Derived using data on general government tax revenue to GDP and central government and the spliced GDP.
AFG,2006,7.125222,364100.1,25942.94,Derived using data on general government tax revenue to GDP and central government and the spliced GDP.
AFG,2007,6.085217,499587,30400.96,Derived using data on general government tax revenue to GDP and central government and the spliced GDP.
AFG,2008,6.10163,517377.4,31568.46,Derived using data on general government tax revenue to GDP and central government and the spliced GDP.
AFG,2009,8.706008,600457.8,52275.91,Derived using data on general government tax revenue to GDP and central government and the spliced GDP.
AFG,2010,9.428106,703502.6,66326.97,Derived using data on general government tax revenue to GDP and central government and the spliced GDP.
AFG,2011,9.181273,837851.3,76925.41,Derived using data on general government tax revenue to GDP and central government and the spliced GDP.
AFG,2012,7.741053,1007959,78026.63,Derived using data on general government tax revenue to GDP and central government and the spliced GDP.
AFG,2013,7.26605,1102256,80090.5,Derived using data on general government tax revenue to GDP and central government and the spliced GDP.
AFG,2014,6.843885,1116353,76401.9,Derived using data on general government tax revenue to GDP and central government and the spliced GDP.
AFG,2015,7.5618,1143357,86458.34,Derived using data on general government tax revenue to GDP and central government and the spliced GDP.
AFG,2016,8.846468,1236815,109414.5,Derived using data on general government tax revenue to GDP and central government and the spliced GDP.
AFG,2017,9.247727,1294845,119743.7,Derived using data on general government tax revenue to GDP and central government and the spliced GDP.
AFG,2018,9.455128,1359225,128516.4,Derived using data on general government tax revenue to GDP and central government and the spliced GDP.
AFG,2019,8.360591,1505967,125907.8,Derived using data on general government tax revenue to GDP and central government and the spliced GDP.
AFG,2020,7.46868,1534966,114641.7,Derived using data on general government tax revenue to GDP and central government and the spliced GDP.
AGO,2018,9.928881,2.56e+07,2544548,Derived using data on general government tax revenue to GDP and central government and the spliced GDP.
AGO,2019,11.28885,3.03e+07,3423957,Derived using data on general government tax revenue to GDP and central government and the spliced GDP.
AGO,2020,20.51761,3.17e+07,6504240,Derived using data on general government tax revenue to GDP and central government and the spliced GDP.
AGO,2021,10.70333,4.41e+07,4724600,Derived using data on general government tax revenue to GDP and central government and the spliced GDP.
AGO,2022,12.72829,5.22e+07,6642129,Derived using data on general government tax revenue to GDP and central government and the spliced GDP.
AGO,2023,9.242218,6.20e+07,5732954,Derived using data on general government tax revenue to GDP and central government and the spliced GDP.
ALB,1998,14.56893,393070,57266.09,Derived using data on general government tax revenue to GDP and central government and the spliced GDP.
ALB,1999,,453512.3,,Derived using data on general government tax revenue to GDP and central government and the spliced GDP.
ALB,2000,,516206.8,,Derived using data on general government tax revenue to GDP and central government and the spliced GDP.
ALB,2001,,583125.1,,Derived using data on general government tax revenue to GDP and central government and the spliced GDP.
ALB,2002,16.48424,633932.6,104498.9,Derived using data on general government tax revenue to GDP and central government and the spliced GDP.
ALB,2003,17.19615,700711.6,120495.4,Derived using data on general government tax revenue to GDP and central government and the spliced GDP.
ALB,2004,17.96509,760444.8,136614.6,Derived using data on general government tax revenue to GDP and central government and the spliced GDP.
ALB,2005,18.02354,824594.6,148621.1,Derived using data on general government tax revenue to GDP and central government and the spliced GDP.
ALB,2006,18.71675,897697.7,168019.8,Derived using data on general government tax revenue to GDP and central government and the spliced GDP.
ALB,2007,19.05995,1005281,191606.1,Derived using data on general government tax revenue to GDP and central government and the spliced GDP.
ALB,2008,19.85576,1112317,220859,Derived using data on general government tax revenue to GDP and central government and the spliced GDP.
ALB,2009,19.68641,1171607,230647.3,Derived using data on general government tax revenue to GDP and central government and the spliced GDP.
ALB,2010,18.95035,1256235,238061,Derived using data on general government tax revenue to GDP and central government and the spliced GDP.
