ISO3,year,imports,source,nGDP,imports_GDP
ABW,1970,303.8711,Derived using data on imports from UN and the spliced GDP,353.7469,.8590071
ABW,1971,320.0698,Derived using data on imports from UN and the spliced GDP,372.6045,.8590068
ABW,1972,337.1322,Derived using data on imports from UN and the spliced GDP,392.4673,.8590071
ABW,1973,355.1042,Derived using data on imports from UN and the spliced GDP,413.389,.8590072
ABW,1974,374.0336,Derived using data on imports from UN and the spliced GDP,435.4261,.8590059
ABW,1975,393.9737,Derived using data on imports from UN and the spliced GDP,458.6378,.8590083
ABW,1976,414.9753,Derived using data on imports from UN and the spliced GDP,483.0869,.8590075
ABW,1977,437.0941,Derived using data on imports from UN and the spliced GDP,508.8394,.8590021
ABW,1978,460.4018,Derived using data on imports from UN and the spliced GDP,535.9647,.8590152
ABW,1979,484.9394,Derived using data on imports from UN and the spliced GDP,564.536,.8590053
ABW,1980,510.779,Derived using data on imports from UN and the spliced GDP,594.6304,.8589857
ABW,1981,538.0508,Derived using data on imports from UN and the spliced GDP,626.329,.8590545
ABW,1982,566.6813,Derived using data on imports from UN and the spliced GDP,659.7175,.8589757
ABW,1983,596.8561,Derived using data on imports from UN and the spliced GDP,694.8858,.8589268
ABW,1984,628.9178,Derived using data on imports from UN and the spliced GDP,731.9289,.8592609
ABW,1985,662.0422,Derived using data on imports from UN and the spliced GDP,770.9467,.8587394
ABW,1986,697.3677,Derived using data on imports from UN and the spliced GDP,812.0444,.8587803
ABW,1987,840.089,Derived using data on imports from UN and the spliced GDP,976.5489,.8602631
ABW,1988,1023.887,Derived using data on imports from UN and the spliced GDP,1194.491,.8571746
ABW,1989,1196.044,Derived using data on imports from UN and the spliced GDP,1392.525,.8589032
ABW,1990,1324.636,Derived using data on imports from UN and the spliced GDP,1531.882,.8647115
ABW,1991,1481.027,Derived using data on imports from UN and the spliced GDP,1746.681,.8479092
ABW,1992,1658.677,Derived using data on imports from UN and the spliced GDP,1919.568,.8640888
ABW,1993,1913.305,Derived using data on imports from UN and the spliced GDP,2168.944,.8821365
ABW,1994,1989.811,Derived using data on imports from UN and the spliced GDP,2495.054,.7975023
ABW,1995,2260.797,Derived using data on imports from UN and the spliced GDP,2477.24,.9126276
ABW,1996,2423.389,Derived using data on imports from UN and the spliced GDP,2588.317,.9362797
ABW,1997,2615.844,Derived using data on imports from UN and the spliced GDP,2873.346,.9103824
ABW,1998,2757.42,Derived using data on imports from UN and the spliced GDP,3123.795,.8827149
ABW,1999,2887.051,Derived using data on imports from UN and the spliced GDP,3231.53,.8934008
ABW,2000,2370.47,Derived using data on imports from UN and the spliced GDP,3353.48,.7068687
ABW,2001,2355.7,Derived using data on imports from UN and the spliced GDP,3394.658,.6939433
ABW,2002,2411.36,Derived using data on imports from UN and the spliced GDP,3511.7,.6866646
ABW,2003,2563.58,Derived using data on imports from UN and the spliced GDP,3658.96,.7006308
ABW,2004,2735.11,Derived using data on imports from UN and the spliced GDP,4036.147,.6776537
ABW,2005,3251.76,Derived using data on imports from UN and the spliced GDP,4224.43,.7697511
ABW,2006,3379.72,Derived using data on imports from UN and the spliced GDP,4420.91,.7644851
ABW,2007,3590.47,Derived using data on imports from UN and the spliced GDP,4792.98,.7491102
ABW,2008,3744.54,Derived using data on imports from UN and the spliced GDP,5089.01,.7358091
ABW,2009,3411.92,Derived using data on imports from UN and the spliced GDP,4571.29,.7463801
ABW,2010,3304.78,Derived using data on imports from UN and the spliced GDP,4391.94,.7524648
ABW,2011,3998.71,Derived using data on imports from UN and the spliced GDP,4721.77,.8468667
ABW,2012,3910.77,Derived using data on imports from UN and the spliced GDP,4681.22,.8354168
ABW,2013,4167.17,Derived using data on imports from UN and the spliced GDP,4882.85,.8534299
ABW,2014,4226.62,Derived using data on imports from UN and the spliced GDP,4995.62,.8460652
ABW,2015,3870.61,Derived using data on imports from UN and the spliced GDP,5303.6,.729808
ABW,2016,3760.89,Derived using data on imports from UN and the spliced GDP,5340.71,.7041929
ABW,2017,3944.32,Derived using data on imports from UN and the spliced GDP,5535.45,.7125563
ABW,2018,4278.69,Derived using data on imports from UN and the spliced GDP,5864.37,.7296078
ABW,2019,4383.13,Derived using data on imports from UN and the spliced GDP,6078.48,.7210898
ABW,2020,3160.619,Derived using data on imports from UN and the spliced GDP,4442.524,.7114466
ABW,2021,3999.667,Derived using data on imports from UN and the spliced GDP,5243.709,.7627553
ABW,2022,5007.947,Derived using data on imports from UN and the spliced GDP,5870.025,.8531389
ABW,2023,5319.749,Derived using data on imports from UN and the spliced GDP,6530.946,.814545
ABW,2024,5898.567,Derived using data on imports from IMF_WEO and the spliced GDP,7264.85,.8119325
AFG,1960,1.699941,Derived using data on imports from IMF_WEO and the spliced GDP,24.2,.0702455
AFG,1961,1.99993,Derived using data on imports from IMF_WEO and the spliced GDP,24.7,.0809688
AFG,1962,2.29992,Derived using data on imports from IMF_WEO and the spliced GDP,24.6,.0934927
