ISO3,year,imports,source,USDfx,imports_USD
ABW,1970,303.8711,Derived using data on imports from UN and the spliced USD exchange rate,1.79,169.7604
ABW,1971,320.0698,Derived using data on imports from UN and the spliced USD exchange rate,1.79,178.8099
ABW,1972,337.1322,Derived using data on imports from UN and the spliced USD exchange rate,1.79,188.342
ABW,1973,355.1042,Derived using data on imports from UN and the spliced USD exchange rate,1.79,198.3822
ABW,1974,374.0336,Derived using data on imports from UN and the spliced USD exchange rate,1.79,208.9573
ABW,1975,393.9737,Derived using data on imports from UN and the spliced USD exchange rate,1.79,220.097
ABW,1976,414.9753,Derived using data on imports from UN and the spliced USD exchange rate,1.79,231.8298
ABW,1977,437.0941,Derived using data on imports from UN and the spliced USD exchange rate,1.79,244.1867
ABW,1978,460.4018,Derived using data on imports from UN and the spliced USD exchange rate,1.79,257.2077
ABW,1979,484.9394,Derived using data on imports from UN and the spliced USD exchange rate,1.79,270.9159
ABW,1980,510.779,Derived using data on imports from UN and the spliced USD exchange rate,1.79,285.3514
ABW,1981,538.0508,Derived using data on imports from UN and the spliced USD exchange rate,1.79,300.587
ABW,1982,566.6813,Derived using data on imports from UN and the spliced USD exchange rate,1.79,316.5817
ABW,1983,596.8561,Derived using data on imports from UN and the spliced USD exchange rate,1.79,333.4391
ABW,1984,628.9178,Derived using data on imports from UN and the spliced USD exchange rate,1.79,351.3508
ABW,1985,662.0422,Derived using data on imports from UN and the spliced USD exchange rate,1.79,369.856
ABW,1986,697.3677,Derived using data on imports from UN and the spliced USD exchange rate,1.79,389.5909
ABW,1987,840.089,Derived using data on imports from UN and the spliced USD exchange rate,1.79,469.3235
ABW,1988,1023.887,Derived using data on imports from UN and the spliced USD exchange rate,1.79,572.0042
ABW,1989,1196.044,Derived using data on imports from UN and the spliced USD exchange rate,1.79,668.1812
ABW,1990,1324.636,Derived using data on imports from UN and the spliced USD exchange rate,1.79,740.0203
ABW,1991,1481.027,Derived using data on imports from UN and the spliced USD exchange rate,1.79,827.3895
ABW,1992,1658.677,Derived using data on imports from UN and the spliced USD exchange rate,1.79,926.6354
ABW,1993,1913.305,Derived using data on imports from UN and the spliced USD exchange rate,1.79,1068.885
ABW,1994,1989.811,Derived using data on imports from UN and the spliced USD exchange rate,1.79,1111.626
ABW,1995,2260.797,Derived using data on imports from UN and the spliced USD exchange rate,1.79,1263.015
ABW,1996,2423.389,Derived using data on imports from UN and the spliced USD exchange rate,1.79,1353.848
ABW,1997,2615.844,Derived using data on imports from UN and the spliced USD exchange rate,1.79,1461.365
ABW,1998,2757.42,Derived using data on imports from UN and the spliced USD exchange rate,1.79,1540.458
ABW,1999,2887.051,Derived using data on imports from UN and the spliced USD exchange rate,1.79,1612.878
ABW,2000,2370.47,Derived using data on imports from UN and the spliced USD exchange rate,1.79,1324.285
ABW,2001,2355.7,Derived using data on imports from UN and the spliced USD exchange rate,1.79,1316.034
ABW,2002,2411.36,Derived using data on imports from UN and the spliced USD exchange rate,1.79,1347.129
ABW,2003,2563.58,Derived using data on imports from UN and the spliced USD exchange rate,1.79,1432.168
ABW,2004,2735.11,Derived using data on imports from UN and the spliced USD exchange rate,1.79,1527.995
ABW,2005,3251.76,Derived using data on imports from UN and the spliced USD exchange rate,1.79,1816.626
ABW,2006,3379.72,Derived using data on imports from UN and the spliced USD exchange rate,1.79,1888.112
ABW,2007,3590.47,Derived using data on imports from UN and the spliced USD exchange rate,1.79,2005.849
ABW,2008,3744.54,Derived using data on imports from UN and the spliced USD exchange rate,1.79,2091.922
ABW,2009,3411.92,Derived using data on imports from UN and the spliced USD exchange rate,1.79,1906.101
ABW,2010,3304.78,Derived using data on imports from UN and the spliced USD exchange rate,1.79,1846.246
ABW,2011,3998.71,Derived using data on imports from UN and the spliced USD exchange rate,1.79,2233.916
ABW,2012,3910.77,Derived using data on imports from UN and the spliced USD exchange rate,1.79,2184.788
ABW,2013,4167.17,Derived using data on imports from UN and the spliced USD exchange rate,1.79,2328.028
ABW,2014,4226.62,Derived using data on imports from UN and the spliced USD exchange rate,1.79,2361.24
ABW,2015,3870.61,Derived using data on imports from UN and the spliced USD exchange rate,1.79,2162.352
ABW,2016,3760.89,Derived using data on imports from UN and the spliced USD exchange rate,1.79,2101.056
ABW,2017,3944.32,Derived using data on imports from UN and the spliced USD exchange rate,1.79,2203.531
ABW,2018,4278.69,Derived using data on imports from UN and the spliced USD exchange rate,1.79,2390.33
ABW,2019,4383.13,Derived using data on imports from UN and the spliced USD exchange rate,1.79,2448.676
ABW,2020,3160.619,Derived using data on imports from UN and the spliced USD exchange rate,1.79,1765.709
ABW,2021,3999.667,Derived using data on imports from UN and the spliced USD exchange rate,1.79,2234.451
ABW,2022,5007.947,Derived using data on imports from UN and the spliced USD exchange rate,1.79,2797.736
ABW,2023,5319.749,Derived using data on imports from UN and the spliced USD exchange rate,1.79,2971.927
ABW,2024,5898.567,Derived using data on imports from IMF_WEO and the spliced USD exchange rate,1.79,3295.289
AFG,1956,1.253405,Derived using data on imports from Mitchell and the spliced USD exchange rate,17.19656,.072887
AFG,1957,1.442344,Derived using data on imports from Mitchell and the spliced USD exchange rate,17.19656,.0838739
AFG,1958,1.953027,Derived using data on imports from Mitchell and the spliced USD exchange rate,17.19656,.1135708
AFG,1959,1.82924,Derived using data on imports from Mitchell and the spliced USD exchange rate,17.19656,.1063725
AFG,1960,1.699941,Derived using data on imports from IMF_WEO and the spliced USD exchange rate,17.19656,.0988535
AFG,1961,1.99993,Derived using data on imports from IMF_WEO and the spliced USD exchange rate,17.19656,.1162983
AFG,1962,2.29992,Derived using data on imports from IMF_WEO and the spliced USD exchange rate,17.19656,.133743
AFG,1963,5.699803,Derived using data on imports from IMF_WEO and the spliced USD exchange rate,35.10965,.1623429
AFG,1964,6.499774,Derived using data on imports from IMF_WEO and the spliced USD exchange rate,38.69226,.1679864
AFG,1965,9.699661,Derived using data on imports from IMF_WEO and the spliced USD exchange rate,38.69226,.2506874
AFG,1966,11.69959,Derived using data on imports from IMF_WEO and the spliced USD exchange rate,38.69226,.3023755
AFG,1967,10.69963,Derived using data on imports from IMF_WEO and the spliced USD exchange rate,38.69226,.2765315
AFG,1968,9.399673,Derived using data on imports from IMF_WEO and the spliced USD exchange rate,38.69226,.2429342
AFG,1969,9.499668,Derived using data on imports from IMF_WEO and the spliced USD exchange rate,38.69226,.2455186
AFG,1970,9.399672,Derived using data on imports from UN and the spliced USD exchange rate,38.69226,.2429342
AFG,1971,13.29953,Derived using data on imports from UN and the spliced USD exchange rate,38.69226,.343726
AFG,1972,12.99955,Derived using data on imports from UN and the spliced USD exchange rate,38.69226,.3359728
AFG,1973,11.4996,Derived using data on imports from UN and the spliced USD exchange rate,38.69226,.2972067
AFG,1974,14.3995,Derived using data on imports from UN and the spliced USD exchange rate,38.37871,.3751949
AFG,1975,15.19947,Derived using data on imports from UN and the spliced USD exchange rate,34.92963,.4351454
AFG,1976,17.0994,Derived using data on imports from UN and the spliced USD exchange rate,34.92963,.4895386
AFG,1977,19.69931,Derived using data on imports from UN and the spliced USD exchange rate,34.92963,.5639714
AFG,1978,20.59928,Derived using data on imports from UN and the spliced USD exchange rate,34.92963,.5897365
AFG,1979,23.48342,Derived using data on imports from UN and the spliced USD exchange rate,33.84616,.693828
AFG,1980,23.15071,Derived using data on imports from UN and the spliced USD exchange rate,34.36946,.6735838
AFG,1981,24.5568,Derived using data on imports from UN and the spliced USD exchange rate,38.56166,.6368191
AFG,1982,25.0532,Derived using data on imports from UN and the spliced USD exchange rate,39.27643,.6378686
AFG,1983,24.69489,Derived using data on imports from UN and the spliced USD exchange rate,39.27643,.6287457
AFG,1984,24.38387,Derived using data on imports from UN and the spliced USD exchange rate,39.27643,.620827
AFG,1985,24.14557,Derived using data on imports from UN and the spliced USD exchange rate,39.27643,.6147599
AFG,1986,24.11768,Derived using data on imports from UN and the spliced USD exchange rate,39.27643,.6140497
AFG,1987,20.97075,Derived using data on imports from UN and the spliced USD exchange rate,39.27643,.5339271
AFG,1988,19.35547,Derived using data on imports from UN and the spliced USD exchange rate,39.27643,.4928012
AFG,1989,24.27595,Derived using data on imports from UN and the spliced USD exchange rate,39.27643,.6180794
AFG,1990,26.30587,Derived using data on imports from UN and the spliced USD exchange rate,39.27643,.6697623
AFG,1991,34.42829,Derived using data on imports from UN and the spliced USD exchange rate,39.27643,.8765636
AFG,1992,46.39119,Derived using data on imports from UN and the spliced USD exchange rate,39.27643,1.181146
AFG,1993,43.68411,Derived using data on imports from UN and the spliced USD exchange rate,39.27643,1.112222
