ISO3,year,inv,source,nGDP,inv_GDP
ABW,1970,104.832,Derived using data on investment from UN and the spliced GDP,353.7469,.2963476
ABW,1971,110.4204,Derived using data on investment from UN and the spliced GDP,372.6045,.2963476
ABW,1972,116.3068,Derived using data on investment from UN and the spliced GDP,392.4673,.2963476
ABW,1973,122.5068,Derived using data on investment from UN and the spliced GDP,413.389,.2963475
ABW,1974,129.0374,Derived using data on investment from UN and the spliced GDP,435.4261,.2963476
ABW,1975,135.9163,Derived using data on investment from UN and the spliced GDP,458.6378,.2963477
ABW,1976,143.1615,Derived using data on investment from UN and the spliced GDP,483.0869,.2963473
ABW,1977,150.7934,Derived using data on investment from UN and the spliced GDP,508.8394,.2963477
ABW,1978,158.8322,Derived using data on investment from UN and the spliced GDP,535.9647,.2963483
ABW,1979,167.2979,Derived using data on investment from UN and the spliced GDP,564.536,.2963458
ABW,1980,176.2181,Derived using data on investment from UN and the spliced GDP,594.6304,.2963489
ABW,1981,185.6127,Derived using data on investment from UN and the spliced GDP,626.329,.2963501
ABW,1982,195.4997,Derived using data on investment from UN and the spliced GDP,659.7175,.2963385
ABW,1983,205.935,Derived using data on investment from UN and the spliced GDP,694.8858,.2963581
ABW,1984,216.9098,Derived using data on investment from UN and the spliced GDP,731.9289,.2963537
ABW,1985,228.4345,Derived using data on investment from UN and the spliced GDP,770.9467,.2963038
ABW,1986,240.7035,Derived using data on investment from UN and the spliced GDP,812.0444,.2964167
ABW,1987,289.391,Derived using data on investment from UN and the spliced GDP,976.5489,.2963405
ABW,1988,353.7538,Derived using data on investment from UN and the spliced GDP,1194.491,.2961544
ABW,1989,413.2391,Derived using data on investment from UN and the spliced GDP,1392.525,.2967552
ABW,1990,453.6086,Derived using data on investment from UN and the spliced GDP,1531.882,.2961119
ABW,1991,516.3123,Derived using data on investment from UN and the spliced GDP,1746.681,.2955962
ABW,1992,573.1016,Derived using data on investment from UN and the spliced GDP,1919.568,.2985576
ABW,1993,638.0641,Derived using data on investment from UN and the spliced GDP,2168.944,.2941819
ABW,1994,733.6679,Derived using data on investment from UN and the spliced GDP,2495.054,.2940489
ABW,1995,761.6073,Derived using data on investment from UN and the spliced GDP,2477.24,.3074419
ABW,1996,727.4591,Derived using data on investment from UN and the spliced GDP,2588.317,.2810549
ABW,1997,858.8777,Derived using data on investment from UN and the spliced GDP,2873.346,.298912
ABW,1998,977.8789,Derived using data on investment from UN and the spliced GDP,3123.795,.313042
ABW,1999,985.3398,Derived using data on investment from UN and the spliced GDP,3231.53,.3049144
ABW,2000,854.94,Derived using data on investment from UN and the spliced GDP,3353.48,.2549411
ABW,2001,814.69,Derived using data on investment from UN and the spliced GDP,3394.658,.2399918
ABW,2002,935.165,Derived using data on investment from UN and the spliced GDP,3511.7,.2662998
ABW,2003,1056.77,Derived using data on investment from UN and the spliced GDP,3658.96,.288817
ABW,2004,1148.34,Derived using data on investment from UN and the spliced GDP,4036.147,.2845139
ABW,2005,1400.84,Derived using data on investment from UN and the spliced GDP,4224.43,.3316045
ABW,2006,1526.06,Derived using data on investment from UN and the spliced GDP,4420.91,.3451914
ABW,2007,1521.61,Derived using data on investment from UN and the spliced GDP,4792.98,.3174664
ABW,2008,1633.729,Derived using data on investment from UN and the spliced GDP,5089.01,.3210308
ABW,2009,1355.03,Derived using data on investment from UN and the spliced GDP,4571.29,.2964218
ABW,2010,1242.18,Derived using data on investment from UN and the spliced GDP,4391.94,.2828318
ABW,2011,1294.55,Derived using data on investment from UN and the spliced GDP,4721.77,.2741663
ABW,2012,1101.14,Derived using data on investment from UN and the spliced GDP,4681.22,.235225
ABW,2013,1163.38,Derived using data on investment from UN and the spliced GDP,4882.85,.2382584
ABW,2014,1154.56,Derived using data on investment from UN and the spliced GDP,4995.62,.2311145
ABW,2015,1142.34,Derived using data on investment from UN and the spliced GDP,5303.6,.2153895
ABW,2016,1098.85,Derived using data on investment from UN and the spliced GDP,5340.71,.2057498
ABW,2017,1137.6,Derived using data on investment from UN and the spliced GDP,5535.45,.2055117
ABW,2018,1313.72,Derived using data on investment from UN and the spliced GDP,5864.37,.2240172
ABW,2019,1363.92,Derived using data on investment from UN and the spliced GDP,6078.48,.2243851
ABW,2020,1074.148,Derived using data on investment from UN and the spliced GDP,4442.524,.2417878
