ISO3,year,inv,source,USDfx,inv_USD
ABW,1970,104.832,Derived using data on investment from UN and the spliced USD exchange rate,1.79,58.56538
ABW,1971,110.4204,Derived using data on investment from UN and the spliced USD exchange rate,1.79,61.68739
ABW,1972,116.3068,Derived using data on investment from UN and the spliced USD exchange rate,1.79,64.97585
ABW,1973,122.5068,Derived using data on investment from UN and the spliced USD exchange rate,1.79,68.43957
ABW,1974,129.0374,Derived using data on investment from UN and the spliced USD exchange rate,1.79,72.08796
ABW,1975,135.9163,Derived using data on investment from UN and the spliced USD exchange rate,1.79,75.93089
ABW,1976,143.1615,Derived using data on investment from UN and the spliced USD exchange rate,1.79,79.97849
ABW,1977,150.7934,Derived using data on investment from UN and the spliced USD exchange rate,1.79,84.24211
ABW,1978,158.8322,Derived using data on investment from UN and the spliced USD exchange rate,1.79,88.73309
ABW,1979,167.2979,Derived using data on investment from UN and the spliced USD exchange rate,1.79,93.46252
ABW,1980,176.2181,Derived using data on investment from UN and the spliced USD exchange rate,1.79,98.44585
ABW,1981,185.6127,Derived using data on investment from UN and the spliced USD exchange rate,1.79,103.6942
ABW,1982,195.4997,Derived using data on investment from UN and the spliced USD exchange rate,1.79,109.2177
ABW,1983,205.935,Derived using data on investment from UN and the spliced USD exchange rate,1.79,115.0475
ABW,1984,216.9098,Derived using data on investment from UN and the spliced USD exchange rate,1.79,121.1787
ABW,1985,228.4345,Derived using data on investment from UN and the spliced USD exchange rate,1.79,127.617
ABW,1986,240.7035,Derived using data on investment from UN and the spliced USD exchange rate,1.79,134.4712
ABW,1987,289.391,Derived using data on investment from UN and the spliced USD exchange rate,1.79,161.6709
ABW,1988,353.7538,Derived using data on investment from UN and the spliced USD exchange rate,1.79,197.6278
ABW,1989,413.2391,Derived using data on investment from UN and the spliced USD exchange rate,1.79,230.8598
ABW,1990,453.6086,Derived using data on investment from UN and the spliced USD exchange rate,1.79,253.4126
ABW,1991,516.3123,Derived using data on investment from UN and the spliced USD exchange rate,1.79,288.4426
ABW,1992,573.1016,Derived using data on investment from UN and the spliced USD exchange rate,1.79,320.1685
ABW,1993,638.0641,Derived using data on investment from UN and the spliced USD exchange rate,1.79,356.4604
ABW,1994,733.6679,Derived using data on investment from UN and the spliced USD exchange rate,1.79,409.8704
ABW,1995,761.6073,Derived using data on investment from UN and the spliced USD exchange rate,1.79,425.4789
ABW,1996,727.4591,Derived using data on investment from UN and the spliced USD exchange rate,1.79,406.4017
ABW,1997,858.8777,Derived using data on investment from UN and the spliced USD exchange rate,1.79,479.82
ABW,1998,977.8789,Derived using data on investment from UN and the spliced USD exchange rate,1.79,546.3011
ABW,1999,985.3398,Derived using data on investment from UN and the spliced USD exchange rate,1.79,550.4692
ABW,2000,854.94,Derived using data on investment from UN and the spliced USD exchange rate,1.79,477.6201
ABW,2001,814.69,Derived using data on investment from UN and the spliced USD exchange rate,1.79,455.1341
ABW,2002,935.165,Derived using data on investment from UN and the spliced USD exchange rate,1.79,522.4385
ABW,2003,1056.77,Derived using data on investment from UN and the spliced USD exchange rate,1.79,590.3743
ABW,2004,1148.34,Derived using data on investment from UN and the spliced USD exchange rate,1.79,641.5307
ABW,2005,1400.84,Derived using data on investment from UN and the spliced USD exchange rate,1.79,782.5922
ABW,2006,1526.06,Derived using data on investment from UN and the spliced USD exchange rate,1.79,852.5475
ABW,2007,1521.61,Derived using data on investment from UN and the spliced USD exchange rate,1.79,850.0615
ABW,2008,1633.729,Derived using data on investment from UN and the spliced USD exchange rate,1.79,912.6978
ABW,2009,1355.03,Derived using data on investment from UN and the spliced USD exchange rate,1.79,757.0001
ABW,2010,1242.18,Derived using data on investment from UN and the spliced USD exchange rate,1.79,693.9553
ABW,2011,1294.55,Derived using data on investment from UN and the spliced USD exchange rate,1.79,723.2123
ABW,2012,1101.14,Derived using data on investment from UN and the spliced USD exchange rate,1.79,615.162
ABW,2013,1163.38,Derived using data on investment from UN and the spliced USD exchange rate,1.79,649.933
