ISO3,year,nGDP,source,USDfx,nGDP_USD
ABW,1970,353.7469,Derived using data on nominal GDP from UN and the spliced USD exchange rate,1.79,197.624
ABW,1971,372.6045,Derived using data on nominal GDP from UN and the spliced USD exchange rate,1.79,208.1589
ABW,1972,392.4673,Derived using data on nominal GDP from UN and the spliced USD exchange rate,1.79,219.2555
ABW,1973,413.389,Derived using data on nominal GDP from UN and the spliced USD exchange rate,1.79,230.9436
ABW,1974,435.4261,Derived using data on nominal GDP from UN and the spliced USD exchange rate,1.79,243.2548
ABW,1975,458.6378,Derived using data on nominal GDP from UN and the spliced USD exchange rate,1.79,256.2223
ABW,1976,483.0869,Derived using data on nominal GDP from UN and the spliced USD exchange rate,1.79,269.881
ABW,1977,508.8394,Derived using data on nominal GDP from UN and the spliced USD exchange rate,1.79,284.2678
ABW,1978,535.9647,Derived using data on nominal GDP from UN and the spliced USD exchange rate,1.79,299.4216
ABW,1979,564.536,Derived using data on nominal GDP from UN and the spliced USD exchange rate,1.79,315.3832
ABW,1980,594.6304,Derived using data on nominal GDP from UN and the spliced USD exchange rate,1.79,332.1957
ABW,1981,626.329,Derived using data on nominal GDP from UN and the spliced USD exchange rate,1.79,349.9045
ABW,1982,659.7175,Derived using data on nominal GDP from UN and the spliced USD exchange rate,1.79,368.5573
ABW,1983,694.8858,Derived using data on nominal GDP from UN and the spliced USD exchange rate,1.79,388.2044
ABW,1984,731.9289,Derived using data on nominal GDP from UN and the spliced USD exchange rate,1.79,408.8988
ABW,1985,770.9467,Derived using data on nominal GDP from UN and the spliced USD exchange rate,1.79,430.6965
ABW,1986,812.0444,Derived using data on nominal GDP from UN and the spliced USD exchange rate,1.79,453.6561
ABW,1987,976.5489,Derived using data on nominal GDP from UN and the spliced USD exchange rate,1.79,545.558
ABW,1988,1194.491,Derived using data on nominal GDP from UN and the spliced USD exchange rate,1.79,667.3135
ABW,1989,1392.525,Derived using data on nominal GDP from UN and the spliced USD exchange rate,1.79,777.947
ABW,1990,1531.882,Derived using data on nominal GDP from UN and the spliced USD exchange rate,1.79,855.8003
ABW,1991,1746.681,Derived using data on nominal GDP from UN and the spliced USD exchange rate,1.79,975.7996
ABW,1992,1919.568,Derived using data on nominal GDP from UN and the spliced USD exchange rate,1.79,1072.384
ABW,1993,2168.944,Derived using data on nominal GDP from UN and the spliced USD exchange rate,1.79,1211.701
ABW,1994,2495.054,Derived using data on nominal GDP from UN and the spliced USD exchange rate,1.79,1393.885
ABW,1995,2477.24,Derived using data on nominal GDP from UN and the spliced USD exchange rate,1.79,1383.933
ABW,1996,2588.317,Derived using data on nominal GDP from UN and the spliced USD exchange rate,1.79,1445.987
ABW,1997,2873.346,Derived using data on nominal GDP from UN and the spliced USD exchange rate,1.79,1605.222
ABW,1998,3123.795,Derived using data on nominal GDP from UN and the spliced USD exchange rate,1.79,1745.137
ABW,1999,3231.53,Derived using data on nominal GDP from UN and the spliced USD exchange rate,1.79,1805.324
ABW,2000,3353.48,Derived using data on nominal GDP from UN and the spliced USD exchange rate,1.79,1873.453
ABW,2001,3394.658,Derived using data on nominal GDP from UN and the spliced USD exchange rate,1.79,1896.457
ABW,2002,3511.7,Derived using data on nominal GDP from UN and the spliced USD exchange rate,1.79,1961.844
ABW,2003,3658.96,Derived using data on nominal GDP from UN and the spliced USD exchange rate,1.79,2044.112
ABW,2004,4036.147,Derived using data on nominal GDP from UN and the spliced USD exchange rate,1.79,2254.831
ABW,2005,4224.43,Derived using data on nominal GDP from UN and the spliced USD exchange rate,1.79,2360.017
ABW,2006,4420.91,Derived using data on nominal GDP from UN and the spliced USD exchange rate,1.79,2469.782
ABW,2007,4792.98,Derived using data on nominal GDP from UN and the spliced USD exchange rate,1.79,2677.643
ABW,2008,5089.01,Derived using data on nominal GDP from UN and the spliced USD exchange rate,1.79,2843.022
ABW,2009,4571.29,Derived using data on nominal GDP from UN and the spliced USD exchange rate,1.79,2553.793
ABW,2010,4391.94,Derived using data on nominal GDP from UN and the spliced USD exchange rate,1.79,2453.598
ABW,2011,4721.77,Derived using data on nominal GDP from UN and the spliced USD exchange rate,1.79,2637.86
ABW,2012,4681.22,Derived using data on nominal GDP from UN and the spliced USD exchange rate,1.79,2615.207
ABW,2013,4882.85,Derived using data on nominal GDP from UN and the spliced USD exchange rate,1.79,2727.849
ABW,2014,4995.62,Derived using data on nominal GDP from UN and the spliced USD exchange rate,1.79,2790.849
ABW,2015,5303.6,Derived using data on nominal GDP from UN and the spliced USD exchange rate,1.79,2962.905
ABW,2016,5340.71,Derived using data on nominal GDP from UN and the spliced USD exchange rate,1.79,2983.637
ABW,2017,5535.45,Derived using data on nominal GDP from UN and the spliced USD exchange rate,1.79,3092.43
ABW,2018,5864.37,Derived using data on nominal GDP from UN and the spliced USD exchange rate,1.79,3276.185
ABW,2019,6078.48,Derived using data on nominal GDP from UN and the spliced USD exchange rate,1.79,3395.799
ABW,2020,4442.524,Derived using data on nominal GDP from UN and the spliced USD exchange rate,1.79,2481.857
ABW,2021,5243.709,Derived using data on nominal GDP from UN and the spliced USD exchange rate,1.79,2929.447
ABW,2022,5870.025,Derived using data on nominal GDP from UN and the spliced USD exchange rate,1.79,3279.344
ABW,2023,6530.946,Derived using data on nominal GDP from UN and the spliced USD exchange rate,1.79,3648.573
ABW,2024,7264.85,Derived using data on nominal GDP from WDI and the spliced USD exchange rate,1.79,4058.575
ABW,2025,7583.199,Derived using data on nominal GDP from IMF_WEO_forecast and the spliced USD exchange rate,1.789876,4236.717
ABW,2026,7851.985,Derived using data on nominal GDP from IMF_WEO_forecast and the spliced USD exchange rate,1.790091,4386.36
ABW,2027,8122.678,Derived using data on nominal GDP from IMF_WEO_forecast and the spliced USD exchange rate,1.78996,4537.91
ABW,2028,8400.995,Derived using data on nominal GDP from IMF_WEO_forecast and the spliced USD exchange rate,1.790008,4693.272
ABW,2029,8688.844,Derived using data on nominal GDP from IMF_WEO_forecast and the spliced USD exchange rate,1.789908,4854.353
AFG,1960,24.2,Derived using data on nominal GDP from IMF_GDD and the spliced USD exchange rate,17.19656,1.407258
AFG,1961,24.7,Derived using data on nominal GDP from IMF_GDD and the spliced USD exchange rate,17.19656,1.436334
AFG,1962,24.6,Derived using data on nominal GDP from IMF_GDD and the spliced USD exchange rate,17.19656,1.430519
AFG,1963,33.8,Derived using data on nominal GDP from IMF_GDD and the spliced USD exchange rate,35.10965,.9626985
