ISO3,year,rGDP,source,pop,rGDP_pc
ABW,1970,430.7568,Derived using data on real GDP from UN and the spliced population,.05895,7307.155
ABW,1971,469.906,Derived using data on real GDP from UN and the spliced population,.058781,7994.182
ABW,1972,512.6134,Derived using data on real GDP from UN and the spliced population,.058047,8831.006
ABW,1973,559.2021,Derived using data on real GDP from UN and the spliced population,.058299,9591.967
ABW,1974,610.0251,Derived using data on real GDP from UN and the spliced population,.058349,10454.77
ABW,1975,665.4671,Derived using data on real GDP from UN and the spliced population,.058295,11415.51
ABW,1976,725.9479,Derived using data on real GDP from UN and the spliced population,.058368,12437.43
ABW,1977,791.9255,Derived using data on real GDP from UN and the spliced population,.05858,13518.7
ABW,1978,863.8996,Derived using data on real GDP from UN and the spliced population,.058776,14698.17
ABW,1979,942.4149,Derived using data on real GDP from UN and the spliced population,.059191,15921.59
ABW,1980,1028.066,Derived using data on real GDP from UN and the spliced population,.059909,17160.46
ABW,1981,1121.502,Derived using data on real GDP from UN and the spliced population,.060563,18517.93
ABW,1982,1223.429,Derived using data on real GDP from UN and the spliced population,.061276,19965.88
ABW,1983,1334.62,Derived using data on real GDP from UN and the spliced population,.062228,21447.26
ABW,1984,1455.917,Derived using data on real GDP from UN and the spliced population,.062901,23146.16
ABW,1985,1588.238,Derived using data on real GDP from UN and the spliced population,.061728,25729.62
ABW,1986,1732.584,Derived using data on real GDP from WDI and the spliced population,.059931,28909.65
ABW,1987,2011.157,Derived using data on real GDP from WDI and the spliced population,.059159,33995.79
ABW,1988,2386.21,Derived using data on real GDP from WDI and the spliced population,.059331,40218.61
ABW,1989,2675.654,Derived using data on real GDP from WDI and the spliced population,.060443,44267.39
ABW,1990,2781.647,Derived using data on real GDP from WDI and the spliced population,.062753,44326.92
ABW,1991,3003.146,Derived using data on real GDP from WDI and the spliced population,.065896,45574.03
ABW,1992,3179.802,Derived using data on real GDP from WDI and the spliced population,.069005,46080.75
ABW,1993,3412.172,Derived using data on real GDP from WDI and the spliced population,.073685,46307.55
ABW,1994,3692.103,Derived using data on real GDP from WDI and the spliced population,.077595,47581.71
ABW,1995,3786.146,Derived using data on real GDP from WDI and the spliced population,.079805,47442.47
ABW,1996,3831.042,Derived using data on real GDP from WDI and the spliced population,.083021,46145.46
ABW,1997,4101.011,Derived using data on real GDP from WDI and the spliced population,.086301,47519.85
ABW,1998,4182.702,Derived using data on real GDP from WDI and the spliced population,.088451,47288.35
ABW,1999,4234.485,Derived using data on real GDP from WDI and the spliced population,.089659,47228.78
ABW,2000,4557.277,Derived using data on real GDP from WDI and the spliced population,.090588,50307.73
ABW,2001,4747.862,Derived using data on real GDP from WDI and the spliced population,.091439,51923.82
ABW,2002,4702.998,Derived using data on real GDP from WDI and the spliced population,.092074,51078.45
ABW,2003,4755.225,Derived using data on real GDP from WDI and the spliced population,.093128,51061.17
ABW,2004,5102.057,Derived using data on real GDP from WDI and the spliced population,.095138,53627.96
ABW,2005,5082.51,Derived using data on real GDP from WDI and the spliced population,.097635,52056.23
ABW,2006,5139.811,Derived using data on real GDP from WDI and the spliced population,.099405,51705.75
ABW,2007,5298.607,Derived using data on real GDP from WDI and the spliced population,.10015,52906.71
ABW,2008,5395.876,Derived using data on real GDP from WDI and the spliced population,.100917,53468.46
ABW,2009,4765.76,Derived using data on real GDP from WDI and the spliced population,.101604,46905.24
ABW,2010,4635.49,Derived using data on real GDP from WDI and the spliced population,.101838,45518.28
ABW,2011,4791.671,Derived using data on real GDP from WDI and the spliced population,.102591,46706.54
ABW,2012,4741.799,Derived using data on real GDP from WDI and the spliced population,.10411,45546.05
ABW,2013,5046.766,Derived using data on real GDP from WDI and the spliced population,.105675,47757.43
ABW,2014,5118.738,Derived using data on real GDP from WDI and the spliced population,.106807,47925.11
ABW,2015,5303.6,Derived using data on real GDP from WDI and the spliced population,.107906,49150.19
ABW,2016,5369.064,Derived using data on real GDP from WDI and the spliced population,.108727,49381.15
ABW,2017,5556.629,Derived using data on real GDP from WDI and the spliced population,.108735,51102.48
ABW,2018,5735.134,Derived using data on real GDP from WDI and the spliced population,.108908,52660.36
ABW,2019,5805.396,Derived using data on real GDP from WDI and the spliced population,.109203,53161.5
ABW,2020,4418.023,Derived using data on real GDP from WDI and the spliced population,.108587,40686.48
ABW,2021,5068.824,Derived using data on real GDP from WDI and the spliced population,.1077,47064.29
ABW,2022,5607.967,Derived using data on real GDP from WDI and the spliced population,.10731,52259.5
ABW,2023,6040.162,Derived using data on real GDP from WDI and the spliced population,.107359,56261.34
ABW,2024,6451.543,Derived using data on real GDP from WDI and the spliced population,.107995,59739.28
ABW,2025,6580.72,Derived using data on real GDP from IMF_WEO_forecast and the spliced population,.107995,60935.42
ABW,2026,6672.394,Derived using data on real GDP from IMF_WEO_forecast and the spliced population,.107995,61784.29
ABW,2027,6766.151,Derived using data on real GDP from IMF_WEO_forecast and the spliced population,.107995,62652.45
ABW,2028,6860.95,Derived using data on real GDP from IMF_WEO_forecast and the spliced population,.107995,63530.25
ABW,2029,6956.79,Derived using data on real GDP from IMF_WEO_forecast and the spliced population,.1069857,65025.42
AFG,1952,480359.7,Derived using data on real GDP from Maddison and the spliced population,7.748536,61993.61
AFG,1953,507860.8,Derived using data on real GDP from Maddison and the spliced population,7.855212,64652.71
AFG,1954,516833.3,Derived using data on real GDP from Maddison and the spliced population,7.961888,64913.41
AFG,1955,524808.7,Derived using data on real GDP from Maddison and the spliced population,8.078261,64965.55
AFG,1956,546041.3,Derived using data on real GDP from Maddison and the spliced population,8.194634,66634.01
AFG,1957,544229.7,Derived using data on real GDP from Maddison and the spliced population,8.330404,65330.52
AFG,1958,572307.1,Derived using data on real GDP from Maddison and the spliced population,8.456475,67676.79
AFG,1959,586188.3,Derived using data on real GDP from Maddison and the spliced population,8.601942,68146.04
AFG,1960,606107.8,Derived using data on real GDP from WDI_ARC and the spliced population,8.766804,69136.7
AFG,1961,611690.3,Derived using data on real GDP from WDI_ARC and the spliced population,8.940529,68417.69
AFG,1962,622058.3,Derived using data on real GDP from WDI_ARC and the spliced population,9.125201,68169.27
AFG,1963,633223.3,Derived using data on real GDP from WDI_ARC and the spliced population,9.319343,67947.2
AFG,1964,645983.3,Derived using data on real GDP from WDI_ARC and the spliced population,9.522943,67834.41
AFG,1965,659541.3,Derived using data on real GDP from WDI_ARC and the spliced population,9.738051,67728.27
AFG,1966,666718.8,Derived using data on real GDP from WDI_ARC and the spliced population,9.961598,66928.9
AFG,1967,685859.1,Derived using data on real GDP from WDI_ARC and the spliced population,10.19405,67280.34
AFG,1968,709784.4,Derived using data on real GDP from WDI_ARC and the spliced population,10.43756,68002.89
AFG,1969,720949.6,Derived using data on real GDP from WDI_ARC and the spliced population,10.69032,67439.51
AFG,1970,735304,Derived using data on real GDP from UN and the spliced population,10.95494,67120.78
AFG,1971,733276.7,Derived using data on real GDP from UN and the spliced population,11.22424,65329.75
AFG,1972,613010.3,Derived using data on real GDP from UN and the spliced population,11.50177,53297.02
AFG,1973,630762.3,Derived using data on real GDP from UN and the spliced population,11.79704,53467.82
AFG,1974,665157.8,Derived using data on real GDP from UN and the spliced population,12.09893,54976.56
AFG,1975,706432.6,Derived using data on real GDP from UN and the spliced population,12.39471,56994.67
AFG,1976,745061.4,Derived using data on real GDP from UN and the spliced population,12.67212,58795.32
AFG,1977,707490.8,Derived using data on real GDP from UN and the spliced population,12.94469,54654.92
AFG,1978,759878.1,Derived using data on real GDP from UN and the spliced population,13.20733,57534.55
