ISO3,year,source,rGDP_pc,USDfx,rGDP_pc_USD
ABW,1970,Derived using data on real GDP per capita derived using data on real gdp from un and the spliced population and the spliced USD exchange rate,7307.155,1.79,4082.21
ABW,1971,Derived using data on real GDP per capita derived using data on real gdp from un and the spliced population and the spliced USD exchange rate,7994.182,1.79,4466.023
ABW,1972,Derived using data on real GDP per capita derived using data on real gdp from un and the spliced population and the spliced USD exchange rate,8831.006,1.79,4933.523
ABW,1973,Derived using data on real GDP per capita derived using data on real gdp from un and the spliced population and the spliced USD exchange rate,9591.967,1.79,5358.641
ABW,1974,Derived using data on real GDP per capita derived using data on real gdp from un and the spliced population and the spliced USD exchange rate,10454.77,1.79,5840.651
ABW,1975,Derived using data on real GDP per capita derived using data on real gdp from un and the spliced population and the spliced USD exchange rate,11415.51,1.79,6377.379
ABW,1976,Derived using data on real GDP per capita derived using data on real gdp from un and the spliced population and the spliced USD exchange rate,12437.43,1.79,6948.285
ABW,1977,Derived using data on real GDP per capita derived using data on real gdp from un and the spliced population and the spliced USD exchange rate,13518.7,1.79,7552.347
ABW,1978,Derived using data on real GDP per capita derived using data on real gdp from un and the spliced population and the spliced USD exchange rate,14698.17,1.79,8211.269
ABW,1979,Derived using data on real GDP per capita derived using data on real gdp from un and the spliced population and the spliced USD exchange rate,15921.59,1.79,8894.744
ABW,1980,Derived using data on real GDP per capita derived using data on real gdp from un and the spliced population and the spliced USD exchange rate,17160.46,1.79,9586.851
ABW,1981,Derived using data on real GDP per capita derived using data on real gdp from un and the spliced population and the spliced USD exchange rate,18517.93,1.79,10345.21
ABW,1982,Derived using data on real GDP per capita derived using data on real gdp from un and the spliced population and the spliced USD exchange rate,19965.88,1.79,11154.12
ABW,1983,Derived using data on real GDP per capita derived using data on real gdp from un and the spliced population and the spliced USD exchange rate,21447.26,1.79,11981.71
ABW,1984,Derived using data on real GDP per capita derived using data on real gdp from un and the spliced population and the spliced USD exchange rate,23146.16,1.79,12930.82
ABW,1985,Derived using data on real GDP per capita derived using data on real gdp from un and the spliced population and the spliced USD exchange rate,25729.62,1.79,14374.09
ABW,1986,Derived using data on real GDP per capita derived using data on real gdp from wdi and the spliced population and the spliced USD exchange rate,28909.65,1.79,16150.64
ABW,1987,Derived using data on real GDP per capita derived using data on real gdp from wdi and the spliced population and the spliced USD exchange rate,33995.79,1.79,18992.06
ABW,1988,Derived using data on real GDP per capita derived using data on real gdp from wdi and the spliced population and the spliced USD exchange rate,40218.61,1.79,22468.5
ABW,1989,Derived using data on real GDP per capita derived using data on real gdp from wdi and the spliced population and the spliced USD exchange rate,44267.39,1.79,24730.38
ABW,1990,Derived using data on real GDP per capita derived using data on real gdp from wdi and the spliced population and the spliced USD exchange rate,44326.92,1.79,24763.64
ABW,1991,Derived using data on real GDP per capita derived using data on real gdp from wdi and the spliced population and the spliced USD exchange rate,45574.03,1.79,25460.35
ABW,1992,Derived using data on real GDP per capita derived using data on real gdp from wdi and the spliced population and the spliced USD exchange rate,46080.75,1.79,25743.43
ABW,1993,Derived using data on real GDP per capita derived using data on real gdp from wdi and the spliced population and the spliced USD exchange rate,46307.55,1.79,25870.14
ABW,1994,Derived using data on real GDP per capita derived using data on real gdp from wdi and the spliced population and the spliced USD exchange rate,47581.71,1.79,26581.96
ABW,1995,Derived using data on real GDP per capita derived using data on real gdp from wdi and the spliced population and the spliced USD exchange rate,47442.47,1.79,26504.17
ABW,1996,Derived using data on real GDP per capita derived using data on real gdp from wdi and the spliced population and the spliced USD exchange rate,46145.46,1.79,25779.59
ABW,1997,Derived using data on real GDP per capita derived using data on real gdp from wdi and the spliced population and the spliced USD exchange rate,47519.85,1.79,26547.4
ABW,1998,Derived using data on real GDP per capita derived using data on real gdp from wdi and the spliced population and the spliced USD exchange rate,47288.35,1.79,26418.07
ABW,1999,Derived using data on real GDP per capita derived using data on real gdp from wdi and the spliced population and the spliced USD exchange rate,47228.78,1.79,26384.79
ABW,2000,Derived using data on real GDP per capita derived using data on real gdp from wdi and the spliced population and the spliced USD exchange rate,50307.73,1.79,28104.88
ABW,2001,Derived using data on real GDP per capita derived using data on real gdp from wdi and the spliced population and the spliced USD exchange rate,51923.82,1.79,29007.72
ABW,2002,Derived using data on real GDP per capita derived using data on real gdp from wdi and the spliced population and the spliced USD exchange rate,51078.45,1.79,28535.45
ABW,2003,Derived using data on real GDP per capita derived using data on real gdp from wdi and the spliced population and the spliced USD exchange rate,51061.17,1.79,28525.79
ABW,2004,Derived using data on real GDP per capita derived using data on real gdp from wdi and the spliced population and the spliced USD exchange rate,53627.96,1.79,29959.76
ABW,2005,Derived using data on real GDP per capita derived using data on real gdp from wdi and the spliced population and the spliced USD exchange rate,52056.23,1.79,29081.69
ABW,2006,Derived using data on real GDP per capita derived using data on real gdp from wdi and the spliced population and the spliced USD exchange rate,51705.75,1.79,28885.9
ABW,2007,Derived using data on real GDP per capita derived using data on real gdp from wdi and the spliced population and the spliced USD exchange rate,52906.71,1.79,29556.82
ABW,2008,Derived using data on real GDP per capita derived using data on real gdp from wdi and the spliced population and the spliced USD exchange rate,53468.46,1.79,29870.65
ABW,2009,Derived using data on real GDP per capita derived using data on real gdp from wdi and the spliced population and the spliced USD exchange rate,46905.24,1.79,26204.05
ABW,2010,Derived using data on real GDP per capita derived using data on real gdp from wdi and the spliced population and the spliced USD exchange rate,45518.28,1.79,25429.21
ABW,2011,Derived using data on real GDP per capita derived using data on real gdp from wdi and the spliced population and the spliced USD exchange rate,46706.54,1.79,26093.04
ABW,2012,Derived using data on real GDP per capita derived using data on real gdp from wdi and the spliced population and the spliced USD exchange rate,45546.05,1.79,25444.72
ABW,2013,Derived using data on real GDP per capita derived using data on real gdp from wdi and the spliced population and the spliced USD exchange rate,47757.43,1.79,26680.13
ABW,2014,Derived using data on real GDP per capita derived using data on real gdp from wdi and the spliced population and the spliced USD exchange rate,47925.11,1.79,26773.81
ABW,2015,Derived using data on real GDP per capita derived using data on real gdp from wdi and the spliced population and the spliced USD exchange rate,49150.19,1.79,27458.21
ABW,2016,Derived using data on real GDP per capita derived using data on real gdp from wdi and the spliced population and the spliced USD exchange rate,49381.15,1.79,27587.24
ABW,2017,Derived using data on real GDP per capita derived using data on real gdp from wdi and the spliced population and the spliced USD exchange rate,51102.48,1.79,28548.88
ABW,2018,Derived using data on real GDP per capita derived using data on real gdp from wdi and the spliced population and the spliced USD exchange rate,52660.36,1.79,29419.2
