ISO3,countryname,year,strate,ADB,AMECO,BORDO,ECLAC,HFS,Homer_Sylla,IHD,IMF_IFS,JST,MW,NBS,OECD_EO,OECD_KEI,OECD_MEI_ARC,CS2,CS1,CS3,chainlinking_ratio,source,source_change,source_change_count
AGO,Angola,2004,52.17667,,,,,,,,52.176667,,,,,,,,,,1,IMF_IFS,,
AGO,Angola,2005,31.62667,,,,,,,,31.626667,,,,,,,,,,1,IMF_IFS,,
AGO,Angola,2006,7.86,,,,,,,,7.86,,,,,,,,,,1,IMF_IFS,,
AGO,Angola,2007,,,,,,,,,,,,,,,,,,,1,IMF_IFS,,
AGO,Angola,2008,,,,,,,,,,,,,,,,,,,1,IMF_IFS,,
AGO,Angola,2009,,,,,,,,,,,,,,,,,,,1,IMF_IFS,,
AGO,Angola,2010,10.82,,,,,,,,10.82,,,,,,,,,,1,IMF_IFS,,
AGO,Angola,2011,6.925806,,,,,,,,6.9258056,,,,,,,,,,1,IMF_IFS,,
AGO,Angola,2012,3.447222,,,,,,,,3.4472222,,,,,,,,,,1,IMF_IFS,,
AGO,Angola,2013,3.064618,,,,,,,,3.0646181,,,,,,,,,,1,IMF_IFS,,
AGO,Angola,2014,4.279305,,,,,,,,4.2793056,,,,,,,,,,1,IMF_IFS,,
AGO,Angola,2015,7.203819,,,,,,,,7.2038194,,,,,,,,,,1,IMF_IFS,,
AGO,Angola,2016,15.09191,,,,,,,,15.091907,,,,,,,,,,1,IMF_IFS,,
AGO,Angola,2017,16.34792,,,,,,,,16.347917,,,,,,,,,,1,IMF_IFS,,
AGO,Angola,2018,13.13146,,,,,,,,13.131458,,,,,,,,,,1,IMF_IFS,,
AGO,Angola,2019,13.08438,,,,,,,,13.084375,,,,,,,,,,1,IMF_IFS,,
AGO,Angola,2020,16.49704,,,,,,,,16.497037,,,,,,,,,,1,IMF_IFS,,
AGO,Angola,2021,19.36511,,,,,,,,19.365111,,,,,,,,,,1,IMF_IFS,,
AGO,Angola,2022,10.345,,,,,,,,10.345,,,,,,,,,,1,IMF_IFS,,
AGO,Angola,2023,10.52278,,,,,,,,10.522778,,,,,,,,,,1,IMF_IFS,,
AGO,Angola,2024,17.5,,,,,,,,17.5,,,,,,,,,,1,IMF_IFS,,
ALB,Albania,1994,13.97667,,,,,,,,13.976667,,,,,,,,,,1,IMF_IFS,,
ALB,Albania,1995,13.47,,,,,,,,13.47,,,,,,,,,,1,IMF_IFS,,
ALB,Albania,1996,17.805,,,,,,,,17.805,,,,,,,,,,1,IMF_IFS,,
ALB,Albania,1997,32.59417,,,,,,,,32.594167,,,,,,,,,,1,IMF_IFS,,
ALB,Albania,1998,27.49083,,,,,,,,27.490833,,,,,,,,,,1,IMF_IFS,,
ALB,Albania,1999,17.53667,,,,,,,,17.536667,,,,,,,,,,1,IMF_IFS,,
ALB,Albania,2000,10.80414,,,,,,,,10.804144,,,,,,,,,,1,IMF_IFS,,
ALB,Albania,2001,7.721257,,,,,,,,7.7212573,,,,,,,,,,1,IMF_IFS,,
ALB,Albania,2002,9.487044,,,,,,,,9.4870445,,,,,,,,,,1,IMF_IFS,,
ALB,Albania,2003,8.809724,,,,,,,,8.8097237,,,,,,,,,,1,IMF_IFS,,
ALB,Albania,2004,6.793702,,,,,,,,6.7937019,,,,,,,,,,1,IMF_IFS,,
ALB,Albania,2005,5.521743,,,,,,,,5.5217428,,,,,,,,,,1,IMF_IFS,,
