codes,units,varconcept,Documentation,finalvarlist,derived,Derivations,description,label,notelabel
CA,millions of LC,,,Yes,Yes,,The Current Account balance is the trade balance plus net factor income.,Current account,
CA_USD,millions of USD,,,Yes,Yes,,The Current Account balance is the trade balance plus net factor income.,Current account in USD,
CA_GDP,in %,,Yes,Yes,,"LC, USD",The Current Account balance is the trade balance plus net factor income.,Current account in percent of GDP,Combined in run_input_variables
cbrate,in %,,Yes,Yes,,,Central Bank Policy Rate is the rate that is used by central bank to implement or signal its monetary policy stance.,Central bank policy rate,
cons_USD,millions of LC,,,Yes,Yes,,Consumption refers to the total spending on goods.,Final consumption in USD,
cons,millions of LC,,Yes,Yes,,"USD, GDP",Consumption refers to the total spending on goods.,Final consumption,
cons_GDP,in %,,Yes,Yes,Yes,,Consumption refers to the total spending on goods.,Final consumption in percent of GDP,
CPI,"index, 2015 = 100",,Yes,Yes,,,Consumer Price Index is an economic indicator that measures the change over time of the prices of consumer goods and services acquired by households.,Consumer price index,
deflator,Ratio,,,Yes,Yes,,Deflator represents a statistical tool used to adjust GDP from nominal to constant prices.,GDP deflator,
exports,millions of LC,,Yes,Yes,,"USD, GDP",Exports of goods and services represent the value of all goods and other market services provided to the rest of the world.,Exports,
exports_GDP,in %,,,Yes,Yes,,Exports of goods and services represent the value of all goods and other market services provided to the rest of the world.,Exports in percent of GDP,
exports_USD,millions of USD,,,Yes,Yes,,Exports of goods and services represent the value of all goods and other market services provided to the rest of the world.,Exports in USD,
finv_USD,millions of USD,,,Yes,Yes,,"Gross Fixed Capital Formation is measured by the total value of a producer's acquisitions, less disposals of fixed assets during the accounting period, plus certain additions to the value of non-produced assets.",Gross fixed capital formation in USD,
finv,millions of LC,,Yes,Yes,,"USD, GDP","Gross Fixed Capital Formation is measured by the total value of a producer's acquisitions, less disposals of fixed assets during the accounting period, plus certain additions to the value of non-produced assets.",Gross fixed capital formation,
finv_GDP,in %,,,Yes,Yes,,"Gross Fixed Capital Formation is measured by the total value of a producer's acquisitions, less disposals of fixed assets during the accounting period, plus certain additions to the value of non-produced assets.",Gross fixed capital formation in percent of GDP,
HPI,"index, 2015 = 100",,Yes,Yes,,,House Prices Index measures the rate at which the prices of residential properties are changing over time.,House price index,
imports_GDP,in %,,,Yes,Yes,,Imports of goods and services represent the value of all goods and other market services received from the rest of the world.,Imports in percent of GDP,
imports,millions of LC,,Yes,Yes,,"USD, GDP",Imports of goods and services represent the value of all goods and other market services received from the rest of the world.,Imports,
imports_USD,millions of USD,,,Yes,Yes,,Imports of goods and services represent the value of all goods and other market services received from the rest of the world.,Imports in USD,
infl,in %,,Yes,Yes,,,Inflation is the period-on-period change in the consumer price index.,Inflation,
inv_GDP,in %,,,Yes,Yes,,Investment represented by Gross Capital Formation which is equal to the sum of fixed capital formation and changes in inventories.,Gross capital formation in percent of GDP,
